date,Close,High,Low,Open,Volume,aVWAP_peak_185,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_129,aVWAP_valley_120,aVWAP_valley_95,aVWAP_valley_85,aVWAP_valley_74,aVWAP_valley_63,aVWAP_OB_bull_171,aVWAP_OB_bull_95,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,51.7528362414,52.0833668896,50.7199279658,50.723563803,80828,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,80828.0,False,False,False,False
2022-01-07 00:00:00+00:00,49.7365992874,52.9592731074,48.8276400049,51.8933117669,169667,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-169667,-12567.925925925925,False,False,False,False,87408.66666666667,False,False,False,False
2022-01-14 00:00:00+00:00,48.7036910118,51.1628390344,47.9765235858,49.5795972295,83179,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-252846,-30366.301783264746,False,False,False,False,87095.35802469136,False,False,False,False
2022-01-21 00:00:00+00:00,45.241382472,48.6541114146,45.1835396085,48.6541114146,80331,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-333177,-52796.72387339328,False,False,False,False,86594.29446730681,False,False,False,False
2022-01-28 00:00:00+00:00,44.9273783562,46.6296111944,42.7871924091,44.1506313329,161280,,,,,,,,,,,,,,#000000,,44.78139398656666,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-494457,-85512.29988277156,False,False,False,False,92126.56895121002,False,False,False,False
2022-02-04 00:00:00+00:00,46.4643458703,47.4724643473,44.7951660969,44.7951660969,82477,,,,,,,,,,,,,,#000000,,45.27627497460097,,6.085658186171778,-44.24715124588449,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-411980,-109695.09248404774,False,False,False,False,91411.7860659352,False,False,False,False
2022-02-11 00:00:00+00:00,48.6789012132,52.3725812068,46.4395560717,47.3071990232,117745,,,,,,,,,,,,,,#000000,,47.85306148651237,,15.996743450133621,-35.12768553133776,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-294235,-123364.71526300717,False,False,False,False,93362.39450549555,False,False,False,False
2022-02-18 00:00:00+00:00,44.3902660529,49.0507481924,44.3902660529,49.0507481924,86131,,,,,,,,,,,,,,#000000,,47.11530808345216,,19.12383806179185,-32.760118420940046,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-380366,-142401.84746574739,False,False,False,False,92826.73565323662,False,False,False,False
2022-02-25 00:00:00+00:00,45.8115478401,45.8693907035,42.4318719623,44.2828435922,144199,,,,,,,,,,,,,,#000000,,45.743734827493114,,23.601638379774556,-29.079274230956923,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-236167,-149347.41432013648,False,False,False,False,96632.08856781169,False,False,False,False
2022-03-04 00:00:00+00:00,45.0265375506,46.2247111503,44.2663170598,45.1091702127,69374,,,,,,,,,,,,,,#000000,,45.6906192694303,,26.205383908989646,-27.18620131132778,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.23455047416945146,-0.23455047416945146,False,False,False,False,-305541,-160917.30955568192,False,False,False,False,94612.97089612194,False,False,False,False
2022-03-11 00:00:00+00:00,44.6629538376,45.5305967891,43.5391496337,44.6712171038,86368,,,,,,,,,,,,,,#000000,,45.51399216076353,,27.79574681268982,-26.173926576570487,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.3011773799572784,-0.2678639270633649,False,False,False,False,-391909,-178027.80514414993,False,False,False,False,94002.23231122403,False,False,False,False
2022-03-18 00:00:00+00:00,46.7024495514,47.4398130444,43.225145518,44.5885844418,128072,,,,,,,,,,,,,,#000000,,45.60190141950585,,31.81041886984141,-22.75937950518408,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.18825245605023339,-0.22805819155679916,False,False,False,False,-263837,-184384.04180013883,False,False,False,False,96525.91880668892,False,False,False,False
2022-03-25 00:00:00+00:00,47.4978079259,47.630367655,46.3379102965,46.6775946022,100124,,,,,,,,,,,,,,#000000,,45.835125091667216,,35.64365493937872,-19.523841125816283,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.025849599226831235,-0.10110429616498395,False,False,False,False,-163713,-182852.85351864705,False,False,False,False,96792.44333952678,False,False,False,False
