date,Close,High,Low,Open,Volume,aVWAP_peak_156,aVWAP_peak_149,aVWAP_peak_135,aVWAP_peak_118,aVWAP_peak_106,aVWAP_peak_88,aVWAP_peak_71,aVWAP_peak_57,aVWAP_peak_49,aVWAP_peak_40,aVWAP_peak_33,aVWAP_peak_13,aVWAP_valley_182,aVWAP_OB_bear_118,aVWAP_OB_bear_57,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.03,7.85,6.97,7.8458,106764630,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,106764630.0,False,False,False,False
2022-01-07 00:00:00+00:00,6.42,7.695,6.29,7.19,131022069,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-131022069,-9705338.444444444,False,False,False,False,108561477.33333334,False,False,False,False
2022-01-14 00:00:00+00:00,6.86,7.84,6.63,7.16,198635028,,,,,,,,,,,,,,,,,,#000000,,,,12.455180222683529,-81.13795055670883,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,67612959,-3978057.152263374,False,False,False,False,115233592.19753087,False,False,False,False
2022-01-21 00:00:00+00:00,5.79,6.79,5.7,6.67,95900696,,,,,,,,,,,,,,,,,,#000000,,,,14.72810509189273,-78.3081835978565,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-28287737,-5778774.178021642,False,False,False,False,113801525.81252858,False,False,False,False
2022-01-28 00:00:00+00:00,5.48,5.87,5.15,5.512,108638734,,,,,,,,,,,,,,,,,,#000000,,5.5,,15.525363391100582,-76.45575112622622,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-136926471,-15493418.387057075,False,False,False,False,113419096.78937832,False,False,False,False
2022-02-04 00:00:00+00:00,5.95,6.36,5.47,5.501,80287163,,,,,,,,,,,,,,,,,,#000000,,5.681319007914163,,20.504019917145964,-70.2855422388548,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-56639308,-18541262.062089883,False,False,False,False,110964879.47164658,False,False,False,False
2022-02-11 00:00:00+00:00,7.12,7.39,5.91,6.03,118897844,,,,,,,,,,,,,,,,,,#000000,,6.11598791922507,,30.43753710123128,-59.34564509044639,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,62258536,-12556091.835268412,False,False,False,False,111552506.47374684,False,False,False,False
2022-02-18 00:00:00+00:00,6.39,7.48,6.3243,7.11,82232744,,,,,,,,,,,,,,,,,,#000000,,6.488585544567432,,34.65828389886966,-53.963598501374015,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-19974208,-13105581.921544826,False,False,False,False,109380672.21643226,False,False,False,False
2022-02-25 00:00:00+00:00,6.06,6.38,5.43,6.17,61312904,,,,,,,,,,,,,,,,,,#000000,,6.303488471317705,,36.626514782750355,-50.61041817863509,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-81287112,-18156065.631060023,False,False,False,False,105820096.79299283,False,False,False,False
2022-03-04 00:00:00+00:00,5.24,6.2,5.16,5.93,88366386,,,,,,,,,,,,,,,,,,#000000,,6.083173746751269,,35.92612643436907,-49.70693002317101,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.27788597055128117,-0.27788597055128117,False,False,False,False,-169653498,-29378097.658388913,False,False,False,False,104527229.32684521,False,False,False,False
2022-03-11 00:00:00+00:00,5.19,5.62,5.0,5.29,81475851,,,,,,,,,,,,,,,,,,#000000,,5.924984380753143,,35.31395747142921,-48.56784252086596,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.3103571124833375,False,False,False,False,-251129349,-45804116.276286036,False,False,False,False,102819719.82115299,False,False,False,False
2022-03-18 00:00:00+00:00,5.51,5.6,4.78,5.17,90634949,,,,,,,,,,,,,,,,,,#000000,,5.643929034515686,,36.25499695927908,-45.80805727392514,False,False,False,True,True,,1.0,5.6,4.78,17.0,0,,,False,False,False,False,-0.34282825441539394,-0.32659268344936576,False,False,False,False,-160494400,-54299692.848413,False,False,False,False,101917144.20477128,False,False,False,False
2022-03-25 00:00:00+00:00,8.56,8.66,5.27,5.48,486535622,,,,,,,,,,,,,,,,,,#000000,,6.798971231929144,,44.409992337709056,-36.20557576105522,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282821268820723,0.008117764619420736,False,False,False,False,326041222,-26126291.74853056,False,False,False,False,130407401.81923267,False,False,False,False
2022-04-01 00:00:00+00:00,7.48,9.08,7.345,7.99,410075197,,,,,,,,,,,,7.968333333333333,,,,7.968333333333333,,#000000,,7.366849524734177,,47.65601466282892,-31.550470458616577,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428282299105938,0.17547299726500726,False,False,False,False,-84033975,-30415749.767157923,False,False,False,False,151123534.7955858,False,False,False,False
