date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_172,aVWAP_valley_187,aVWAP_valley_176,aVWAP_valley_157,aVWAP_valley_150,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_111,aVWAP_valley_92,aVWAP_valley_85,aVWAP_valley_78,aVWAP_valley_60,aVWAP_valley_39,aVWAP_OB_bull_150,aVWAP_OB_bull_111,aVWAP_OB_bull_92,aVWAP_OB_bull_39,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,7.4737370276,7.4785964145,7.1674984662,7.2793615522,7436740,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,7436740.0,False,False,False,False
2022-01-07 00:00:00+00:00,6.8322979589,7.5223308964,6.7642665425,7.371689903,14049767,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14049767,-1040723.4814814815,False,False,False,False,7926593.851851852,False,False,False,False
2022-01-14 00:00:00+00:00,6.9003293753,7.2987990998,6.7156726737,6.8322979589,15571457,,,,,,,,,,,,,,,,,,,,,#000000,,,,2.915451895918319,-57.288629739795795,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1521690,-850915.0754458162,False,False,False,False,8492880.010973936,False,False,False,False
2022-01-21 00:00:00+00:00,6.8322979589,7.2502052309,6.4338282344,6.7351102212,28936254,,,,,,,,,,,,,,,,,,,,,#000000,,,,4.710586534213455,-55.43222775147439,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27414564,-2818592.7735609408,False,False,False,False,10007204.010161052,False,False,False,False
2022-01-28 00:00:00+00:00,6.5407347459,7.0461109818,6.3463592705,6.744828995,21774266,,,,,,,,,,,,,,,,,,,,,#000000,,,,5.174024511346808,-54.78874475063779,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-49188830,-6253425.160704575,False,False,False,False,10878838.231630605,False,False,False,False
2022-02-04 00:00:00+00:00,6.4435470082,6.7594071556,6.326921723,6.5796098409,24424213,,,,,,,,,,,,,,,,,,,,,#000000,,6.509958628933333,,5.323887978662949,-54.35356170069919,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-73613043,-11243026.482133865,False,False,False,False,11882199.325583894,False,False,False,False
2022-02-11 00:00:00+00:00,6.997517113,7.0558297556,6.5018596508,6.5407347459,19618832,,,,,,,,,,,,,,,,,,,,,#000000,,6.662202034034208,,15.654792328868098,-44.217970725460525,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-53994211,-14409780.890864689,False,False,False,False,12455283.227392495,False,False,False,False
2022-02-18 00:00:00+00:00,7.1335799457,7.4300025456,6.7934228638,7.036392208,23708258,,,,,,,,,,,,,,,,,,,,,#000000,,6.8220502712116255,,24.551987828687984,-35.80261548452187,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30285953,-15585793.639689526,False,False,False,False,13288836.91425231,False,False,False,False
2022-02-25 00:00:00+00:00,7.2210489096,7.5514872177,6.8906106015,7.1821738145,21129248,,,,,,,,,,,,,,,,,,,,,#000000,,6.916902756792754,,31.801798918777436,-29.156396709858726,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9156705,-15109564.851564376,False,False,False,False,13869608.105789175,False,False,False,False
2022-03-04 00:00:00+00:00,7.6195186341,7.6924094374,7.0753644908,7.3473929686,24814622,,,,,,,,,,,,,,,,,,,,,#000000,,7.03596738520102,,40.1729258613358,-21.533969331772354,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282816631765856,0.34282816631765856,False,False,False,False,15657917,-12830492.121818867,False,False,False,False,14680349.875730718,False,False,False,False
2022-03-11 00:00:00+00:00,8.4747707257,8.5719584634,7.5466278308,7.6778312767,33779389,,,,,,,,,,,,,,,,,,,,,#000000,,7.749935110231442,,49.92157437011705,-12.708752904971625,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282820556350224,0.3428281859405804,False,False,False,False,49437306,-8218062.631313765,False,False,False,False,16095093.514565479,False,False,False,False
2022-03-18 00:00:00+00:00,8.0912054943,8.3397907233,7.541768444,8.2901140241,25837269,,,,,,,,,,,,,,,,,,,,,#000000,,7.756454473869979,,53.91044148728052,-9.447680782371108,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.2859562614914051,0.31439222371599274,False,False,False,False,23600037,-5861166.362327561,False,False,False,False,16816736.143116184,False,False,False,False
