date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_179,aVWAP_peak_175,aVWAP_peak_143,aVWAP_peak_135,aVWAP_peak_123,aVWAP_peak_115,aVWAP_peak_106,aVWAP_peak_71,aVWAP_peak_67,aVWAP_peak_45,aVWAP_peak_32,aVWAP_peak_23,aVWAP_peak_14,aVWAP_valley_179,aVWAP_valley_171,aVWAP_valley_155,aVWAP_OB_bear_123,aVWAP_OB_bear_71,aVWAP_OB_bear_32,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.6855923756,11.7502876967,11.3732193129,11.4611359766,6092172,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,6092172.0,False,False,False,False
2022-01-07 00:00:00+00:00,11.4672456669,11.7017662059,11.3378550247,11.6855923756,9346200,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9346200,-692311.1111111111,False,False,False,False,6333211.111111111,False,False,False,False
2022-01-14 00:00:00+00:00,11.1922905522,11.4510718366,11.1356821462,11.4348980063,18809245,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-28155445,-2726617.3251028806,False,False,False,False,7257361.769547326,False,False,False,False
2022-01-21 00:00:00+00:00,11.3378550247,11.6532447151,11.1599428916,11.2327251279,9697215,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.020645900184737,-43.36329567248161,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18458230,-3891921.967687852,False,False,False,False,7438091.638469745,False,False,False,False
2022-01-28 00:00:00+00:00,11.3135942792,11.3135942792,10.9173354374,11.184203637,13255775,,,,,,,,,,,,,,,,,,,,,,,#000000,,11.181507998600003,,11.740282934586006,-39.18971996789893,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-31714005,-5952817.007118382,False,False,False,False,7869031.146731246,False,False,False,False
2022-02-04 00:00:00+00:00,11.3540288549,11.6289839697,11.240812043,11.297420449,7732720,,,,,,,,,,,,,,,,,,,,,,,#000000,,11.264932170388487,,16.63675219335018,-34.96457328201445,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-23981285,-7288259.080665168,False,False,False,False,7858934.024751154,False,False,False,False
2022-02-11 00:00:00+00:00,11.3055073641,11.5804624788,11.2488989581,11.3297681095,9007597,,,,,,,,,,,,,,,,,,,,,,,#000000,,11.298972539577212,,19.45456801194562,-32.78981740030689,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32988882,-9192008.926541822,False,False,False,False,7944020.171065884,False,False,False,False
2022-02-18 00:00:00+00:00,11.2569858733,11.4429849215,11.184203637,11.2569858733,7449159,,,,,,,,,,,,,,,,,,,,,,,#000000,,11.298127518975264,,20.853263873449137,-31.924886960842684,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-40438041,-11506529.820872057,False,False,False,False,7907363.788023967,False,False,False,False
2022-02-25 00:00:00+00:00,11.531940988,11.5642886485,10.9901176737,11.2569858733,8829407,,,,,,,,,,,,,,,,,,,,,,,#000000,,11.310336756958268,,28.98370327523791,-24.60433650830227,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-31608634,-12995574.574881535,False,False,False,False,7975663.285207378,False,False,False,False
2022-03-04 00:00:00+00:00,11.8877652541,11.9039390844,11.4510718366,11.4510718366,12538400,,,,,,,,,,,,,,,,,,,,,,,#000000,,11.403555543017294,,39.337097016110434,-15.381152092784177,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.34282812263533263,0.34282812263533263,False,False,False,False,-19070234,-13445549.347112533,False,False,False,False,8313643.782599424,False,False,False,False
2022-03-11 00:00:00+00:00,12.1950680294,12.3406325019,11.823069933,11.879678339,12886206,,,,,,,,,,,,,,,,,,,,,,,#000000,,11.532245420644664,,48.96891946413554,-7.067663807283452,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428281777734265,0.34282815020437957,False,False,False,False,-6184028,-12907658.876956047,False,False,False,False,8652352.094999466,False,False,False,False
