date,Close,High,Low,Open,Volume,aVWAP_peak_177,aVWAP_valley_187,aVWAP_valley_179,aVWAP_valley_155,aVWAP_valley_150,aVWAP_valley_132,aVWAP_valley_123,aVWAP_valley_113,aVWAP_valley_99,aVWAP_OB_bull_179,aVWAP_OB_bull_155,aVWAP_OB_bull_123,aVWAP_OB_bull_113,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,0.7095,0.7095,0.642,0.675,1662610,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1662610.0,False,False,False,False
2022-01-07 00:00:00+00:00,0.6741,0.74,0.653,0.74,785871,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-785871,-58212.666666666664,False,False,False,False,1597666.3703703706,False,False,False,False
2022-01-14 00:00:00+00:00,0.7371,0.768,0.675,0.68,951914,,,,,,,,,,,,,,,,#000000,,,,18.742190753852558,-96.8554768846314,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,166043,-41601.135802469136,False,False,False,False,1549832.8614540468,False,False,False,False
2022-01-21 00:00:00+00:00,0.6999,0.7687,0.6808,0.73,983737,,,,,,,,,,,,,,,,#000000,,,,26.632590690081372,-88.37161963806379,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-817694,-99089.49611339734,False,False,False,False,1507899.834679673,False,False,False,False
2022-01-28 00:00:00+00:00,0.6796,0.7245,0.6341,0.694,1399375,,,,,,,,,,,,,,,,#000000,,0.6793999999999999,,30.329760998649583,-83.40658179114,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2217069,-255976.86677166418,False,False,False,False,1499860.9580367343,False,False,False,False
2022-02-04 00:00:00+00:00,0.681411,0.72,0.6605,0.68,598111,,,,,,,,,,,,,,,,#000000,,0.6817666098153712,,33.20882561671981,-78.71837457922652,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1618958,-356938.43219598534,False,False,False,False,1433064.664848828,False,False,False,False
2022-02-11 00:00:00+00:00,0.8184,0.8289,0.679,0.71,1833628,,,,,,,,,,,,,,,,#000000,,0.7265968933597382,,44.2541113845726,-65.92439057533028,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,214670,-314597.0668481346,False,False,False,False,1462736.0230081743,False,False,False,False
2022-02-18 00:00:00+00:00,0.82,0.8757,0.797,0.81,1554137,,,,,,,,,,,,,,,,#000000,,0.7566978704998151,,52.196354815911036,-56.13735240154893,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1768807,-160270.8396741987,False,False,False,False,1469506.4657483096,False,False,False,False
2022-02-25 00:00:00+00:00,0.825,0.88,0.796,0.839,1174234,,,,,,,,,,,,,,,,#000000,,0.7704762963058329,,58.04108393415686,-48.2883717570015,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2943041,69604.11141277896,False,False,False,False,1447634.4312484348,False,False,False,False
2022-03-04 00:00:00+00:00,0.8698,0.8883,0.822,0.88,1349740,,,,,,,,,,,,,,,,#000000,,0.785759552902718,,63.552786880720575,-40.66343724532897,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3428278415630525,0.3428278415630525,False,False,False,False,4292781,382432.0290859064,False,False,False,False,1440382.991896699,False,False,False,False
