date,Close,High,Low,Open,Volume,aVWAP_peak_169,aVWAP_peak_159,aVWAP_peak_145,aVWAP_peak_139,aVWAP_peak_119,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_162,aVWAP_valley_155,aVWAP_valley_141,aVWAP_valley_128,aVWAP_valley_112,aVWAP_valley_92,aVWAP_valley_74,aVWAP_valley_63,aVWAP_valley_50,aVWAP_valley_39,aVWAP_OB_bull_171,aVWAP_OB_bull_74,aVWAP_OB_bull_39,aVWAP_OB_bear_139,aVWAP_OB_bear_119,Peaks_avg,Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,21.8631250242,22.2605357524,21.7445185593,21.958010196,829116,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,829116.0,False,False,False,False
2022-01-07 00:00:00+00:00,23.1124464541,23.1361677471,22.1794089305,22.1873160281,1591800,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1591800,117911.11111111111,False,False,False,False,885611.1111111111,False,False,False,False
2022-01-14 00:00:00+00:00,24.0217626848,24.0217626848,22.6617418876,22.8198838408,2798623,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4390423,434393.4732510288,False,False,False,False,1027315.695473251,False,False,False,False
2022-01-21 00:00:00+00:00,23.4050090674,24.2273472239,23.2943097002,23.8873420246,1728732,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,93.0997334248791,43.477091753206025,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2661691,599378.475232434,False,False,False,False,1079272.4587715287,False,False,False,False
2022-01-28 00:00:00+00:00,24.0612981731,24.4724672513,22.4877857391,22.883140622,2790618,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,89.66073762723704,40.5091847844927,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5452309,958854.8104004019,False,False,False,False,1206038.7951588228,False,False,False,False
2022-02-04 00:00:00+00:00,24.4171175677,24.5743106691,23.5473368253,23.7608284621,1985499,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,87.80725268783831,39.104482700533794,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7437808,1438777.268889261,False,False,False,False,1263776.588110021,False,False,False,False
2022-02-11 00:00:00+00:00,24.3538607864,24.4566530559,23.4524516534,23.8873420246,3276034,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,85.98939636866587,37.70937055356383,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4161774,1640480.7304530193,False,False,False,False,1412832.692694464,False,False,False,False
2022-02-18 00:00:00+00:00,24.0375768801,24.5040956419,23.4643122999,24.1403691496,2511058,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,82.35943884831602,34.57471524531162,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1650716,1641238.8985676104,False,False,False,False,1494182.715457837,False,False,False,False
2022-02-25 00:00:00+00:00,24.7017730833,24.7808440599,23.2231458213,24.2589756145,3695232,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,81.17079958731782,33.79568175633345,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5345948,1915661.7949700097,False,False,False,False,1657223.4032017011,False,False,False,False
2022-03-04 00:00:00+00:00,22.7091844735,25.7455099742,22.1635947352,24.2826969075,4060917,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,23.539429727633337,,72.01954453041937,25.417476595671104,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,0.3050461090169958,0.3050461090169958,False,False,False,False,1285031,1868948.4027500092,False,False,False,False,1835274.780742316,False,False,False,False
