date,Close,High,Low,Open,Volume
2025-02-13 00:00:00+00:00,2.7,9.8,2.53,8.05,685400
2025-02-14 00:00:00+00:00,3.0492,3.7,2.6,3.05,1302526
2025-02-18 00:00:00+00:00,7.5,9.89,4.1,4.33,57930736
2025-02-19 00:00:00+00:00,6.15,7.77,6.1,6.5,1589810
2025-02-20 00:00:00+00:00,5.59,6.4,5.4,6.0,535396
2025-02-21 00:00:00+00:00,3.77,5.5,3.7,5.28,635261
2025-02-24 00:00:00+00:00,3.43,3.8828,3.25,3.77,188519
2025-02-25 00:00:00+00:00,3.36,3.44,3.22,3.43,112302
2025-02-26 00:00:00+00:00,2.91,3.36,2.82,3.36,262397
2025-02-27 00:00:00+00:00,1.85,2.88,1.81,2.88,491299
2025-02-28 00:00:00+00:00,2.24,2.85,1.76,1.85,2114432
2025-03-03 00:00:00+00:00,2.02,2.61,2.0001,2.3,491310
2025-03-04 00:00:00+00:00,2.11,2.175,1.94,2.05,230183
2025-03-05 00:00:00+00:00,2.29,2.33,2.03,2.07,118100
2025-03-06 00:00:00+00:00,2.11,2.28,2.05,2.17,89675
2025-03-07 00:00:00+00:00,2.13,2.27,2.05,2.12,56873
2025-03-10 00:00:00+00:00,1.93,2.09,1.91,2.09,185205
2025-03-11 00:00:00+00:00,1.99,2.03,1.95,2.0036,49773
2025-03-12 00:00:00+00:00,2.09,2.1681,1.99,1.99,67510
2025-03-13 00:00:00+00:00,2.13,2.15,2.01,2.04,33413
2025-03-14 00:00:00+00:00,2.25,2.28,2.032,2.08,69334
2025-03-17 00:00:00+00:00,2.23,2.364,2.18,2.364,49795
2025-03-18 00:00:00+00:00,2.2,2.2984,2.1,2.23,70094
2025-03-19 00:00:00+00:00,2.28,2.48,2.17,2.17,271183
2025-03-20 00:00:00+00:00,2.08,2.2989,2.06,2.15,88195
2025-03-21 00:00:00+00:00,2.16,2.24,2.08,2.08,34330
2025-03-24 00:00:00+00:00,2.11,2.22,2.11,2.12,21703
2025-03-25 00:00:00+00:00,2.1,2.25,2.0904,2.12,17339
2025-03-26 00:00:00+00:00,2.01,2.2493,1.95,2.1,169847
2025-03-27 00:00:00+00:00,2.0,2.09,1.76,2.05,152656
