date,Close,High,Low,Open,Volume
2022-01-03 00:00:00+00:00,10.5,10.875,10.245,10.26,188726
2022-01-04 00:00:00+00:00,10.74,10.89,10.35,10.575,200561
2022-01-05 00:00:00+00:00,9.63,10.8,9.51,10.62,189902
2022-01-06 00:00:00+00:00,9.06,9.66,8.97,9.6,374038
2022-01-07 00:00:00+00:00,8.76,9.18,8.64,9.06,221884
2022-01-10 00:00:00+00:00,8.25,8.7,7.995,8.7,263297
2022-01-11 00:00:00+00:00,8.52,8.79,8.1597,8.175,770585
2022-01-12 00:00:00+00:00,8.82,9.21,8.34,8.61,449541
2022-01-13 00:00:00+00:00,8.34,8.97,8.25,8.85,240556
2022-01-14 00:00:00+00:00,8.04,8.28,7.77,8.25,283869
2022-01-18 00:00:00+00:00,7.35,7.83,7.305,7.8,278989
2022-01-19 00:00:00+00:00,7.17,7.755,7.14,7.32,311430
2022-01-20 00:00:00+00:00,7.11,7.77,7.11,7.26,190885
2022-01-21 00:00:00+00:00,6.51,7.02,6.39,6.9,365675
2022-01-24 00:00:00+00:00,6.87,7.095,6.0,6.27,424865
2022-01-25 00:00:00+00:00,6.75,6.99,6.435,6.57,164611
2022-01-26 00:00:00+00:00,6.36,6.975,6.27,6.975,302747
2022-01-27 00:00:00+00:00,5.94,6.51,5.85,6.48,249128
2022-01-28 00:00:00+00:00,6.03,6.03,5.565,6.0,319737
2022-01-31 00:00:00+00:00,6.51,6.54,5.94,6.06,380548
2022-02-01 00:00:00+00:00,7.08,7.08,6.36,6.51,228492
2022-02-02 00:00:00+00:00,6.57,7.2003,6.45,7.11,183823
2022-02-03 00:00:00+00:00,6.03,6.42,5.985,6.33,113730
2022-02-04 00:00:00+00:00,6.81,6.9,6.03,6.09,232322
2022-02-07 00:00:00+00:00,6.96,7.545,6.84,6.9747,255622
2022-02-08 00:00:00+00:00,7.17,7.17,6.8976,6.96,126536
2022-02-09 00:00:00+00:00,7.68,7.7097,7.29,7.32,140681
2022-02-10 00:00:00+00:00,7.26,7.95,7.11,7.38,238744
2022-02-11 00:00:00+00:00,6.93,7.4697,6.855,7.2,149572
2022-02-14 00:00:00+00:00,6.93,7.2,6.75,6.99,117644
2022-02-15 00:00:00+00:00,7.68,7.71,7.05,7.08,146864
2022-02-16 00:00:00+00:00,7.41,7.59,7.17,7.59,85364
2022-02-17 00:00:00+00:00,6.75,7.26,6.63,7.17,131605
2022-02-18 00:00:00+00:00,6.42,6.84,6.345,6.84,113690
2022-02-22 00:00:00+00:00,6.48,6.72,5.91,6.09,159721
2022-02-23 00:00:00+00:00,6.15,6.66,6.09,6.51,110457
2022-02-24 00:00:00+00:00,6.75,6.87,5.52,5.61,194028
2022-02-25 00:00:00+00:00,6.81,6.84,6.36,6.57,97755
2022-02-28 00:00:00+00:00,6.87,7.1097,6.6324,6.72,102973
2022-03-01 00:00:00+00:00,6.81,7.08,6.6,6.96,135360
2022-03-02 00:00:00+00:00,6.81,6.93,6.6,6.81,55887
2022-03-03 00:00:00+00:00,6.45,6.9,6.42,6.9,90763
2022-03-04 00:00:00+00:00,6.03,6.345,5.97,6.27,165843
2022-03-07 00:00:00+00:00,6.0,6.1524,5.91,6.06,198202
2022-03-08 00:00:00+00:00,5.88,6.15,5.85,5.97,92996
2022-03-09 00:00:00+00:00,6.6,6.75,6.18,6.21,123286
2022-03-10 00:00:00+00:00,6.21,6.6,6.0726,6.6,100099
2022-03-11 00:00:00+00:00,6.06,6.33,5.91,6.27,87027
2022-03-14 00:00:00+00:00,5.73,6.12,5.52,6.12,110953
2022-03-15 00:00:00+00:00,6.06,6.06,5.52,5.82,60371
2022-03-16 00:00:00+00:00,6.42,6.465,6.06,6.12,93953
2022-03-17 00:00:00+00:00,6.96,6.99,6.12,6.42,113368
2022-03-18 00:00:00+00:00,7.38,7.53,6.78,6.87,147227
2022-03-21 00:00:00+00:00,6.93,7.41,6.75,7.41,107757
2022-03-22 00:00:00+00:00,7.29,7.4955,7.08,7.2,104333
2022-03-23 00:00:00+00:00,8.7,8.91,7.5,7.68,1096777
2022-03-24 00:00:00+00:00,8.85,9.06,8.4,8.49,363528
2022-03-25 00:00:00+00:00,8.88,9.0297,8.49,8.85,219101
2022-03-28 00:00:00+00:00,8.82,9.36,8.7,8.94,208212
2022-03-29 00:00:00+00:00,8.91,9.0,8.49,8.97,116827
2022-03-30 00:00:00+00:00,8.64,9.135,8.475,8.79,136906
2022-03-31 00:00:00+00:00,8.73,9.18,8.3082,8.64,232627
2022-04-01 00:00:00+00:00,8.64,9.075,8.46,8.82,116575
2022-04-04 00:00:00+00:00,9.33,9.42,8.55,8.7,162357
2022-04-05 00:00:00+00:00,8.94,9.39,8.73,9.33,120706
2022-04-06 00:00:00+00:00,8.25,8.715,8.07,8.7,181550
2022-04-07 00:00:00+00:00,7.98,8.25,7.65,8.25,82818
2022-04-08 00:00:00+00:00,7.62,7.8879,7.56,7.86,46799
2022-04-11 00:00:00+00:00,7.38,7.59,7.2,7.53,92983
2022-04-12 00:00:00+00:00,7.17,7.74,7.14,7.44,92343
2022-04-13 00:00:00+00:00,7.35,7.59,7.14,7.23,128507
2022-04-14 00:00:00+00:00,6.93,7.5,6.87,7.41,79095
2022-04-18 00:00:00+00:00,6.63,6.87,6.54,6.81,90530
2022-04-19 00:00:00+00:00,6.9,6.99,6.5397,6.57,144729
2022-04-20 00:00:00+00:00,6.48,6.87,6.42,6.87,135880
2022-04-21 00:00:00+00:00,5.91,6.6303,5.835,6.6,195785
2022-04-22 00:00:00+00:00,5.73,5.91,5.64,5.91,90692
2022-04-25 00:00:00+00:00,5.88,5.91,5.58,5.7,75593
2022-04-26 00:00:00+00:00,5.55,5.8047,5.37,5.76,105647
