date,Close,High,Low,Open,Volume
2022-01-03 00:00:00+00:00,103.61,104.41,101.355,102.0,274037
2022-01-04 00:00:00+00:00,102.94,104.2499,97.56,103.58,433992
2022-01-05 00:00:00+00:00,97.37,103.7,97.26,102.9,267172
2022-01-06 00:00:00+00:00,98.94,100.0,96.0,96.99,320549
2022-01-07 00:00:00+00:00,95.22,100.92,95.19,98.31,486581
2022-01-10 00:00:00+00:00,92.56,93.69,88.07,93.69,499901
2022-01-11 00:00:00+00:00,95.11,95.48,91.025,92.46,342243
2022-01-12 00:00:00+00:00,97.21,99.65,95.37,95.65,354824
2022-01-13 00:00:00+00:00,95.16,100.9801,94.82,99.45,297498
2022-01-14 00:00:00+00:00,105.96,106.09,95.75,96.03,662329
2022-01-18 00:00:00+00:00,94.02,103.55,93.99,103.53,466979
2022-01-19 00:00:00+00:00,91.42,97.24,91.06,95.75,419772
2022-01-20 00:00:00+00:00,91.57,96.21,91.31,92.67,386883
2022-01-21 00:00:00+00:00,89.47,94.89,89.35,90.56,683743
2022-01-24 00:00:00+00:00,94.7,95.0,86.2393,86.79,513359
2022-01-25 00:00:00+00:00,89.41,93.47,89.255,92.29,370669
2022-01-26 00:00:00+00:00,88.91,94.59,87.32,93.11,401637
2022-01-27 00:00:00+00:00,84.19,89.335,83.74,89.25,419797
2022-01-28 00:00:00+00:00,84.67,84.7,80.02,84.19,723370
2022-01-31 00:00:00+00:00,91.54,91.63,84.8,84.81,393003
2022-02-01 00:00:00+00:00,92.97,93.69,89.5,92.25,346668
2022-02-02 00:00:00+00:00,92.95,95.74,91.18,95.0,291982
2022-02-03 00:00:00+00:00,87.85,90.57,87.29,88.86,319323
2022-02-04 00:00:00+00:00,90.05,91.18,85.84,86.96,396861
2022-02-07 00:00:00+00:00,90.42,93.71,89.95,89.97,337927
2022-02-08 00:00:00+00:00,93.09,93.52,90.0,90.0,463508
2022-02-09 00:00:00+00:00,93.04,97.93,90.1705,97.32,506344
2022-02-10 00:00:00+00:00,91.87,96.06,90.16,90.16,301644
2022-02-11 00:00:00+00:00,87.56,92.91,86.905,91.58,304523
2022-02-14 00:00:00+00:00,87.13,90.0399,86.25,88.11,355780
2022-02-15 00:00:00+00:00,91.08,91.29,88.29,89.2,237957
2022-02-16 00:00:00+00:00,92.07,92.635,89.685,90.21,205377
2022-02-17 00:00:00+00:00,88.99,91.7,88.95,91.05,154042
2022-02-18 00:00:00+00:00,85.78,89.05,85.26,88.31,238665
2022-02-22 00:00:00+00:00,84.45,87.23,83.44,84.37,238623
2022-02-23 00:00:00+00:00,82.25,86.81,82.07,85.69,194496
2022-02-24 00:00:00+00:00,86.7,87.06,77.37,78.28,314333
2022-02-25 00:00:00+00:00,87.85,88.8,85.47,86.57,262199
2022-02-28 00:00:00+00:00,86.21,88.575,85.4,87.17,436110
2022-03-01 00:00:00+00:00,83.2,87.63,82.04,86.68,308586
2022-03-02 00:00:00+00:00,87.47,88.07,83.695,84.36,171131
2022-03-03 00:00:00+00:00,84.9,87.84,84.25,87.78,151370
2022-03-04 00:00:00+00:00,78.64,83.88,77.75,83.88,325730
2022-03-07 00:00:00+00:00,73.98,80.75,73.74,79.23,366939
2022-03-08 00:00:00+00:00,76.74,78.835,73.675,74.26,290562
2022-03-09 00:00:00+00:00,80.64,81.32,78.94,79.37,340885
2022-03-10 00:00:00+00:00,79.95,80.285,77.3645,78.46,149997
2022-03-11 00:00:00+00:00,77.93,81.91,77.87,81.76,166305
2022-03-14 00:00:00+00:00,74.95,78.42,74.0,77.26,314716
2022-03-15 00:00:00+00:00,77.88,78.13,74.855,75.23,191687
2022-03-16 00:00:00+00:00,85.82,86.1,79.36,79.36,394205
2022-03-17 00:00:00+00:00,86.83,87.28,84.05,84.29,198090
2022-03-18 00:00:00+00:00,90.33,90.48,85.6,86.49,449071
2022-03-21 00:00:00+00:00,88.67,90.97,87.51,90.0,245450
2022-03-22 00:00:00+00:00,89.55,91.31,88.6,89.09,211351
2022-03-23 00:00:00+00:00,86.51,90.0,86.02,87.82,187204
2022-03-24 00:00:00+00:00,90.28,90.4,86.46,87.79,119201
2022-03-25 00:00:00+00:00,88.29,89.9,87.19,89.9,207994
2022-03-28 00:00:00+00:00,88.72,88.883,85.42,88.15,170963
2022-03-29 00:00:00+00:00,91.54,92.76,89.87,90.89,204407
2022-03-30 00:00:00+00:00,87.09,90.97,86.76,90.97,139366
2022-03-31 00:00:00+00:00,86.89,87.78,86.19,86.94,432952
2022-04-01 00:00:00+00:00,84.84,88.91,83.81,87.55,391610
2022-04-04 00:00:00+00:00,83.88,86.45,83.06,85.45,253906
2022-04-05 00:00:00+00:00,79.09,83.35,78.35,83.35,358134
2022-04-06 00:00:00+00:00,76.43,77.95,74.91,77.4,536215
2022-04-07 00:00:00+00:00,77.03,77.77,74.33,75.94,441458
2022-04-08 00:00:00+00:00,72.59,76.23,72.42,76.23,407767
2022-04-11 00:00:00+00:00,69.68,73.16,69.61,71.7,385186
2022-04-12 00:00:00+00:00,70.21,72.93,69.81,71.0,215129
2022-04-13 00:00:00+00:00,71.8,72.7,70.2601,71.05,232297
2022-04-14 00:00:00+00:00,68.37,72.185,68.311,72.14,226488
2022-04-18 00:00:00+00:00,69.07,70.42,67.705,68.14,198315
2022-04-19 00:00:00+00:00,71.95,72.51,68.5,69.07,366265
2022-04-20 00:00:00+00:00,74.77,75.56,73.3625,74.1,322832
2022-04-21 00:00:00+00:00,73.5,77.6,73.09,76.47,314850
2022-04-22 00:00:00+00:00,71.51,74.67,71.37,73.31,224898
2022-04-25 00:00:00+00:00,73.01,73.13,70.26,70.26,319301
2022-04-26 00:00:00+00:00,70.46,72.325,69.91,72.27,230510
2022-04-27 00:00:00+00:00,69.9,72.38,69.52,70.15,238008
2022-04-28 00:00:00+00:00,73.17,74.16,69.66,71.82,224715
2022-04-29 00:00:00+00:00,71.14,74.545,70.9,72.0,200690
2022-05-02 00:00:00+00:00,72.37,72.86,69.75,70.93,248282
2022-05-03 00:00:00+00:00,72.44,73.58,70.875,72.25,361120
2022-05-04 00:00:00+00:00,77.4,77.95,70.75,72.1,348198
2022-05-05 00:00:00+00:00,73.42,77.29,71.39,75.69,354103
2022-05-06 00:00:00+00:00,71.72,73.62,70.53,72.27,199124
2022-05-09 00:00:00+00:00,69.41,70.47,67.74,69.5,342937
2022-05-10 00:00:00+00:00,71.96,72.945,69.33,71.17,431593
2022-05-11 00:00:00+00:00,69.37,72.9,69.24,71.04,290456
2022-05-12 00:00:00+00:00,69.7,71.04,67.17,68.79,287388
2022-05-13 00:00:00+00:00,72.73,73.925,70.79,71.33,259575
2022-05-16 00:00:00+00:00,73.19,75.2103,71.38,71.62,258951
2022-05-17 00:00:00+00:00,78.0,78.35,75.68,75.68,272067
2022-05-18 00:00:00+00:00,73.08,78.87,72.29,75.7,303090
2022-05-19 00:00:00+00:00,72.9,75.17,72.755,72.82,279943
2022-05-20 00:00:00+00:00,73.21,75.3,69.59,75.29,224233
2022-05-23 00:00:00+00:00,74.38,75.52,73.28,73.28,180288
2022-05-24 00:00:00+00:00,70.59,73.24,69.9,73.24,255221
2022-05-25 00:00:00+00:00,74.26,74.6,69.89,69.89,241655
2022-05-26 00:00:00+00:00,77.85,79.339,73.91,73.91,261620
2022-05-27 00:00:00+00:00,82.24,82.44,78.69,79.32,494061
2022-05-31 00:00:00+00:00,80.38,81.43,79.32,81.43,218048
2022-06-01 00:00:00+00:00,79.81,81.18,78.36,81.04,205546
2022-06-02 00:00:00+00:00,83.1,83.46,79.14,79.14,155447
2022-06-03 00:00:00+00:00,82.34,83.27,81.04,81.33,239185
2022-06-06 00:00:00+00:00,81.11,83.86,80.56,83.86,199591
2022-06-07 00:00:00+00:00,83.67,83.89,79.53,80.19,232755
2022-06-08 00:00:00+00:00,80.68,83.68,80.01,82.96,245995
2022-06-09 00:00:00+00:00,78.28,81.285,78.2,80.04,155097
2022-06-10 00:00:00+00:00,74.8,77.61,74.31,76.71,223220
2022-06-13 00:00:00+00:00,71.89,73.36,69.765,71.51,316528
2022-06-14 00:00:00+00:00,72.3,72.575,70.26,72.2,255224
2022-06-15 00:00:00+00:00,73.12,74.61,71.34,73.94,220187
2022-06-16 00:00:00+00:00,68.21,70.55,67.23,70.16,232015
2022-06-17 00:00:00+00:00,67.28,69.56,67.27,68.7,539838
