date,Close,High,Low,Open,Volume
2025-06-09 00:00:00+00:00,15.089,15.21,14.91,14.985,131171
2025-06-10 00:00:00+00:00,14.6,15.2599,14.54,15.18,39626
2025-06-11 00:00:00+00:00,14.26,14.82,14.22,14.76,77732
2025-06-12 00:00:00+00:00,14.8,14.98,14.39,14.39,112064
2025-06-13 00:00:00+00:00,15.35,15.42,14.67,14.8,76089
2025-06-16 00:00:00+00:00,15.03,15.785,15.0,15.55,90424
2025-06-17 00:00:00+00:00,14.11,14.95,13.83,14.95,105597
2025-06-18 00:00:00+00:00,13.8,14.28,13.74,13.91,114863
2025-06-20 00:00:00+00:00,13.86,14.03,13.74,13.79,220393
2025-06-23 00:00:00+00:00,13.89,14.38,13.72,13.99,148117
2025-06-24 00:00:00+00:00,13.45,13.9,13.05,13.9,51417
2025-06-25 00:00:00+00:00,13.48,13.63,13.33,13.4,23956
2025-06-26 00:00:00+00:00,13.63,13.63,13.415,13.52,11640
2025-06-27 00:00:00+00:00,13.25,13.41,13.08,13.41,20209
2025-06-30 00:00:00+00:00,13.52,13.64,13.21,13.38,77548
2025-07-01 00:00:00+00:00,13.66,13.825,13.58,13.66,17028
2025-07-02 00:00:00+00:00,13.6,13.83,13.355,13.67,38089
2025-07-03 00:00:00+00:00,13.57,13.68,13.4309,13.47,68336
2025-07-07 00:00:00+00:00,14.05,14.05,13.48,13.84,35004
2025-07-08 00:00:00+00:00,13.15,14.05,12.84,14.05,114811
2025-07-09 00:00:00+00:00,13.38,13.42,13.02,13.26,35418
2025-07-10 00:00:00+00:00,13.25,13.44,13.11,13.44,48616
2025-07-11 00:00:00+00:00,13.57,13.7241,13.34,13.4,41092
2025-07-14 00:00:00+00:00,13.47,13.85,13.415,13.68,79900
2025-07-15 00:00:00+00:00,13.2,13.51,12.89,13.51,55828
2025-07-16 00:00:00+00:00,13.27,14.36,12.8567,13.27,163520
2025-07-17 00:00:00+00:00,13.1,13.16,12.78,13.16,56682
2025-07-18 00:00:00+00:00,13.52,13.57,12.99,13.22,71272
2025-07-21 00:00:00+00:00,13.91,14.12,13.67,13.67,117755
2025-07-22 00:00:00+00:00,14.16,14.19,13.85,14.05,67618
2025-07-23 00:00:00+00:00,13.78,14.15,13.66,14.15,68395
2025-07-24 00:00:00+00:00,13.55,13.8435,13.5,13.61,62486
2025-07-25 00:00:00+00:00,13.34,13.395,13.055,13.38,27225
2025-07-28 00:00:00+00:00,12.99,13.3,12.94,13.29,86627
2025-07-29 00:00:00+00:00,13.11,13.15,12.85,12.96,15831
2025-07-30 00:00:00+00:00,12.69,13.05,12.61,12.95,117524
2025-07-31 00:00:00+00:00,12.89,12.92,12.665,12.68,18145
2025-08-01 00:00:00+00:00,13.04,13.23,12.86,13.04,63604
2025-08-04 00:00:00+00:00,13.57,13.91,13.13,13.13,32380
2025-08-05 00:00:00+00:00,13.49,13.65,13.3,13.65,43390
2025-08-06 00:00:00+00:00,13.69,13.69,13.42,13.52,77798
2025-08-07 00:00:00+00:00,12.06,13.74,11.88,13.74,242379
2025-08-08 00:00:00+00:00,11.72,12.33,11.67,12.24,133738
2025-08-11 00:00:00+00:00,11.58,11.93,11.55,11.77,155505
2025-08-12 00:00:00+00:00,11.91,12.03,11.4,11.66,90756
2025-08-13 00:00:00+00:00,12.03,12.17,11.65,11.91,66353
2025-08-14 00:00:00+00:00,11.99,12.1899,11.92,11.94,310333
2025-08-15 00:00:00+00:00,12.22,12.29,11.9,12.02,58323
2025-08-18 00:00:00+00:00,13.16,13.16,12.25,12.25,656117
2025-08-19 00:00:00+00:00,12.89,13.175,12.59,13.14,547442
2025-08-20 00:00:00+00:00,13.17,13.3692,13.0,13.0,218955
2025-08-21 00:00:00+00:00,13.1,13.42,13.06,13.06,135518
2025-08-22 00:00:00+00:00,13.51,13.75,13.05,13.13,113479
2025-08-25 00:00:00+00:00,13.49,13.79,13.46,13.61,99656
2025-08-26 00:00:00+00:00,13.89,14.0,13.5,13.58,504463
2025-08-27 00:00:00+00:00,13.95,13.95,13.61,13.93,82374
2025-08-28 00:00:00+00:00,13.85,14.02,13.81,14.02,169314
2025-08-29 00:00:00+00:00,14.0,14.03,13.78,13.83,74176
2025-09-02 00:00:00+00:00,14.18,14.3291,13.78,14.16,98331
2025-09-03 00:00:00+00:00,14.46,14.6699,14.23,14.35,102566
2025-09-04 00:00:00+00:00,14.25,14.37,14.007,14.35,71288
2025-09-05 00:00:00+00:00,15.02,15.09,14.4,14.69,153590
2025-09-08 00:00:00+00:00,15.52,15.57,14.93,15.39,222771
2025-09-09 00:00:00+00:00,15.12,15.65,15.0,15.6,157005
2025-09-10 00:00:00+00:00,15.49,15.55,15.01,15.29,147663
2025-09-11 00:00:00+00:00,15.55,15.61,15.17,15.45,205143
2025-09-12 00:00:00+00:00,15.49,15.59,15.42,15.46,609339
2025-09-15 00:00:00+00:00,15.73,15.79,15.48,15.56,161892
2025-09-16 00:00:00+00:00,15.1,16.0,15.077,15.84,139717
2025-09-17 00:00:00+00:00,15.07,15.475,14.84,15.01,131656
2025-09-18 00:00:00+00:00,15.43,15.6,14.68,15.11,141072
2025-09-19 00:00:00+00:00,15.8,16.0,15.5,15.54,538767
2025-09-22 00:00:00+00:00,16.65,16.66,15.8,15.92,154126
2025-09-23 00:00:00+00:00,17.19,17.29,16.86,17.01,194163
2025-09-24 00:00:00+00:00,16.91,17.5,16.72,17.23,148211
2025-09-25 00:00:00+00:00,16.89,17.0677,16.55,16.93,121514
2025-09-26 00:00:00+00:00,17.06,17.17,16.7308,16.95,63066
2025-09-29 00:00:00+00:00,17.51,17.68,17.09,17.46,175401
2025-09-30 00:00:00+00:00,17.51,17.8,17.3,17.3,91999
2025-10-01 00:00:00+00:00,17.59,18.0,17.54,17.63,126630
2025-10-02 00:00:00+00:00,18.39,18.8,17.2509,17.79,470804
2025-10-03 00:00:00+00:00,18.21,18.44,17.85,18.39,768980
2025-10-06 00:00:00+00:00,18.03,18.51,17.96,18.06,193885
2025-10-07 00:00:00+00:00,18.35,18.434,17.92,17.97,167526
2025-10-08 00:00:00+00:00,18.86,19.0,18.42,19.0,278732
2025-10-09 00:00:00+00:00,17.7,18.95,17.6034,18.95,275803
2025-10-10 00:00:00+00:00,17.74,18.14,17.58,17.99,158579
2025-10-13 00:00:00+00:00,18.86,19.18,18.3134,18.75,125278
2025-10-14 00:00:00+00:00,18.96,19.24,18.295,18.59,255219
2025-10-15 00:00:00+00:00,20.49,20.49,19.36,19.36,508103
2025-10-16 00:00:00+00:00,19.3,20.2,18.91,19.8,836069
2025-10-17 00:00:00+00:00,18.18,19.1,17.69,19.1,855462
2025-10-20 00:00:00+00:00,19.12,19.23,18.11,18.71,627441
2025-10-21 00:00:00+00:00,17.26,18.225,16.7901,18.06,341490
2025-10-22 00:00:00+00:00,17.61,17.795,16.6,16.71,318143
2025-10-23 00:00:00+00:00,17.67,18.02,17.64,17.94,165252
2025-10-24 00:00:00+00:00,18.11,18.12,17.5,17.5,138781
2025-10-27 00:00:00+00:00,17.51,18.08,16.9,17.75,677836
2025-10-28 00:00:00+00:00,17.26,17.6,16.9501,17.06,145967
2025-10-29 00:00:00+00:00,17.3,17.75,17.13,17.75,269088
2025-10-30 00:00:00+00:00,17.45,17.92,17.1,17.36,340737
2025-10-31 00:00:00+00:00,15.22,17.575,14.89,17.39,1027371
2025-11-03 00:00:00+00:00,15.52,15.8,14.93,15.33,789592
2025-11-04 00:00:00+00:00,14.66,15.37,14.6,15.22,872733
