date,Close,High,Low,Open,Volume
2021-12-31 00:00:00+00:00,46.36,46.64,45.5,46.02,133226
2022-01-07 00:00:00+00:00,50.66,51.1,44.65,46.35,402355
2022-01-14 00:00:00+00:00,49.78,52.52,49.28,51.12,349088
2022-01-21 00:00:00+00:00,45.33,49.18,45.33,49.18,194946
2022-01-28 00:00:00+00:00,44.76,46.51,42.94,44.43,214360
2022-02-04 00:00:00+00:00,46.63,47.38,44.5113,44.52,228360
2022-02-11 00:00:00+00:00,45.22,47.83,44.7601,46.26,271587
2022-02-18 00:00:00+00:00,46.69,48.64,45.4,45.41,220541
2022-02-25 00:00:00+00:00,46.37,46.63,43.52,46.46,160054
2022-03-04 00:00:00+00:00,44.03,47.31,43.65,45.85,211756
2022-03-11 00:00:00+00:00,42.18,44.4,41.62,43.8,158765
2022-03-18 00:00:00+00:00,47.54,48.19,41.71,42.66,266377
2022-03-25 00:00:00+00:00,46.19,48.232,45.1498,48.01,204271
2022-04-01 00:00:00+00:00,47.16,49.5064,44.65,46.31,541083
2022-04-08 00:00:00+00:00,42.23,47.99,41.921,47.38,348534
2022-04-15 00:00:00+00:00,44.11,45.345,41.83,41.83,384307
2022-04-22 00:00:00+00:00,41.95,45.37,41.75,44.02,561645
2022-04-29 00:00:00+00:00,40.07,42.796,39.75,41.63,524249
2022-05-06 00:00:00+00:00,38.62,40.69,38.11,40.36,592116
2022-05-13 00:00:00+00:00,37.27,38.27,35.32,38.18,399589
2022-05-20 00:00:00+00:00,36.82,39.57,36.02,37.11,346367
2022-05-27 00:00:00+00:00,38.51,39.14,35.31,37.32,329926
2022-06-03 00:00:00+00:00,39.26,40.02,36.97,38.37,542814
2022-06-10 00:00:00+00:00,37.63,39.79,37.5,39.75,329650
2022-06-17 00:00:00+00:00,36.75,37.91,34.0,36.71,513978
2022-06-24 00:00:00+00:00,40.51,40.66,36.605,37.04,427797
2022-07-01 00:00:00+00:00,47.13,47.5,37.615,40.61,1065208
2022-07-08 00:00:00+00:00,49.37,49.605,45.8,46.81,603441
2022-07-15 00:00:00+00:00,49.34,49.92,47.2295,49.3,567046
2022-07-22 00:00:00+00:00,50.45,51.56,49.14,49.46,347348
2022-07-29 00:00:00+00:00,52.33,52.98,50.01,50.94,355177
2022-08-05 00:00:00+00:00,52.34,52.77,50.85,52.25,293218
2022-08-12 00:00:00+00:00,53.6,53.76,50.8144,52.25,277586
2022-08-19 00:00:00+00:00,53.01,54.1,52.21,53.11,211202
2022-08-26 00:00:00+00:00,48.32,52.57,48.3,52.57,236630
2022-09-02 00:00:00+00:00,47.46,48.33,46.32,47.85,313763
2022-09-09 00:00:00+00:00,48.77,49.1,46.4682,47.49,251217
2022-09-16 00:00:00+00:00,49.46,50.41,48.06,49.01,399591
2022-09-23 00:00:00+00:00,44.33,49.422,43.85,48.89,315487
2022-09-30 00:00:00+00:00,45.39,46.74,43.29,44.48,677361
2022-10-07 00:00:00+00:00,45.83,48.49,45.39,45.8,341085
2022-10-14 00:00:00+00:00,47.05,48.485,45.72,45.98,199637
2022-10-21 00:00:00+00:00,48.95,49.69,47.35,47.35,206079
2022-10-28 00:00:00+00:00,51.11,51.19,48.59,49.12,342506
2022-11-04 00:00:00+00:00,48.99,54.7,48.15,50.91,439434
2022-11-11 00:00:00+00:00,48.39,50.61,46.45,49.61,228501
2022-11-18 00:00:00+00:00,51.99,52.18,47.8622,48.13,260620
2022-11-25 00:00:00+00:00,52.34,52.72,50.57,51.7,122561
2022-12-02 00:00:00+00:00,50.79,52.54,50.61,52.0,226154
2022-12-09 00:00:00+00:00,47.42,50.59,47.14,50.52,192235
2022-12-16 00:00:00+00:00,45.89,49.5532,45.225,47.37,284167
2022-12-23 00:00:00+00:00,47.43,48.25,45.71,46.29,253765
2022-12-30 00:00:00+00:00,46.77,48.115,46.45,47.32,104759
2023-01-06 00:00:00+00:00,44.03,48.88,41.05,47.38,429092
2023-01-13 00:00:00+00:00,46.18,46.5,43.55,43.55,331734
2023-01-20 00:00:00+00:00,45.34,46.45,44.64,46.09,182380
2023-01-27 00:00:00+00:00,45.0,45.87,44.76,45.29,218286
2023-02-03 00:00:00+00:00,48.57,48.71,44.77,44.77,263538
2023-02-10 00:00:00+00:00,47.27,49.77,46.56,48.71,311865
2023-02-17 00:00:00+00:00,49.08,49.7,46.96,47.3,258502
2023-02-24 00:00:00+00:00,47.4,49.43,47.02,48.51,269252
2023-03-03 00:00:00+00:00,47.58,48.2,46.78,47.81,267368
2023-03-10 00:00:00+00:00,45.53,48.29,45.42,47.69,301330
2023-03-17 00:00:00+00:00,44.65,46.49,43.97,45.0,339979
2023-03-24 00:00:00+00:00,46.14,47.22,44.6,44.85,300404
2023-03-31 00:00:00+00:00,38.47,46.75,35.56,46.75,1254699
2023-04-07 00:00:00+00:00,38.11,39.24,37.61,38.43,641961
