date,Open,High,Low,Close,Volume,aVWAP_peak_361,aVWAP_peak_344,aVWAP_peak_301,aVWAP_peak_234,aVWAP_peak_201,aVWAP_peak_174,aVWAP_peak_120,aVWAP_peak_84,aVWAP_peak_58,aVWAP_valley_371,aVWAP_valley_341,aVWAP_valley_322,aVWAP_valley_301,aVWAP_valley_266,aVWAP_valley_241,aVWAP_valley_189,aVWAP_valley_138,aVWAP_valley_115,aVWAP_valley_65,aVWAP_valley_43,aVWAP_valley_20,aVWAP_OB_bull_352,aVWAP_OB_bull_266,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,38.87,39.025,38.74,38.895,97833.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,97833.0,False,False,False,False
2023-12-15 17:00:00+00:00,39.385,39.72,39.245,39.3,134745.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,134745.0,2089.06976744186,False,False,False,False,98405.27906976744,False,False,False,False
2023-12-18 17:00:00+00:00,50.005,50.2,49.4,49.515,786281.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,921026.0,16336.153957093924,False,False,False,False,109070.01892915089,False,False,False,False
2023-12-19 17:00:00+00:00,48.64,48.805,48.095,48.38,415096.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,96.40879607657017,46.76791646891316,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,505930.0,23926.756221325028,False,False,False,False,113814.6077829625,False,False,False,False
2023-12-20 17:00:00+00:00,48.12,48.21,47.77,47.79,148317.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,92.25184388510564,43.24213173200087,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,357613.0,29100.186357428516,False,False,False,False,114349.52859252896,False,False,False,False
2023-12-21 17:00:00+00:00,48.215,48.455,48.135,48.15,198056.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,89.68985656050356,41.30067879689662,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,555669.0,37264.04393328234,False,False,False,False,115647.3033430324,False,False,False,False
2023-12-22 17:00:00+00:00,47.94,48.085,47.855,47.94,83351.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,87.27674976747602,39.46159180299473,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,472318.0,44009.06650796013,False,False,False,False,115146.58546174507,False,False,False,False
2023-12-25 17:00:00+00:00,47.94,47.94,47.94,47.94,0.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,85.66801190545766,38.293706717197864,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,472318.0,50649.51508923207,False,False,False,False,113361.3670824932,False,False,False,False
2023-12-26 17:00:00+00:00,48.125,48.425,48.125,48.33,79748.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,84.92035847258023,37.797936611920335,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,552066.0,58423.414080096685,False,False,False,False,112840.22960834602,False,False,False,False
2023-12-27 17:00:00+00:00,48.64,48.695,48.515,48.555,63468.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,84.6141210614052,37.56842514595314,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,615534.0,67060.78750521147,False,False,False,False,112074.76868418562,False,False,False,False
