date,Close,High,Low,Open,Volume,aVWAP_peak_895,aVWAP_peak_864,aVWAP_peak_847,aVWAP_peak_829,aVWAP_peak_808,aVWAP_peak_765,aVWAP_peak_731,aVWAP_peak_697,aVWAP_peak_659,aVWAP_peak_638,aVWAP_peak_626,aVWAP_peak_597,aVWAP_peak_565,aVWAP_peak_521,aVWAP_peak_503,aVWAP_peak_492,aVWAP_peak_481,aVWAP_peak_452,aVWAP_peak_430,aVWAP_peak_394,aVWAP_peak_356,aVWAP_peak_332,aVWAP_peak_313,aVWAP_peak_294,aVWAP_peak_293,aVWAP_peak_282,aVWAP_peak_265,aVWAP_peak_232,aVWAP_peak_230,aVWAP_peak_209,aVWAP_peak_176,aVWAP_peak_161,aVWAP_peak_108,aVWAP_peak_85,aVWAP_peak_44,aVWAP_valley_903,aVWAP_valley_889,aVWAP_valley_869,aVWAP_valley_854,aVWAP_valley_837,aVWAP_valley_817,aVWAP_valley_797,aVWAP_valley_745,aVWAP_valley_708,aVWAP_valley_686,aVWAP_valley_675,aVWAP_valley_674,aVWAP_valley_649,aVWAP_valley_607,aVWAP_valley_574,aVWAP_valley_512,aVWAP_valley_488,aVWAP_valley_460,aVWAP_valley_440,aVWAP_valley_398,aVWAP_valley_370,aVWAP_valley_369,aVWAP_valley_353,aVWAP_valley_329,aVWAP_valley_307,aVWAP_valley_277,aVWAP_valley_241,aVWAP_valley_222,aVWAP_valley_183,aVWAP_valley_170,aVWAP_valley_126,aVWAP_valley_88,aVWAP_valley_77,aVWAP_valley_49,aVWAP_valley_36,aVWAP_valley_14,aVWAP_OB_bull_460,aVWAP_OB_bull_370,aVWAP_OB_bull_241,aVWAP_OB_bull_183,aVWAP_OB_bull_126,aVWAP_OB_bull_0,aVWAP_OB_bear_765,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,6.4069741487,6.4363976809,6.0759594108,6.0833152938,29432477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3064437467999985,,,#000000,,,,,,False,False,False,False,False,,1.0,6.075959,6.4363976,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,29432477.0,False,False,False,False
2022-01-04 00:00:00+00:00,6.561447693,6.6570741728,6.443753564,6.4731770962,24559038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.419091043196811,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,24559038,963099.5294117647,False,False,False,False,29241361.74509804,False,False,False,False
2022-01-05 00:00:00+00:00,6.4805329793,6.6864977051,6.4731770962,6.6423624067,16002223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.448273680839254,,,#000000,,,,87.81470291862328,1.2588116744931312,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8556815,1260892.2929642445,False,False,False,False,28722179.83352557,False,False,False,False
2022-01-06 00:00:00+00:00,6.679141822,6.7012094712,6.4777377437,6.679141822,14648447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4778829472371875,,,#000000,,,,85.74398673037221,1.2588116744931312,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23205262,2121455.810887215,False,False,False,False,28170268.742014762,False,False,False,False
2022-01-07 00:00:00+00:00,6.796835951,6.8483271325,6.6644300559,6.6938535881,21862142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.537817972600538,,,#000000,,,,85.8634901384283,1.7178846022312086,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45067404,3805610.6418328146,False,False,False,False,27922891.222720064,False,False,False,False
2022-01-10 00:00:00+00:00,6.7085653543,6.8924624309,6.5724815176,6.8189036002,25295330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5736470637738975,,,#000000,,,,81.12402877570248,1.7178846022312086,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19772074,4431746.459800155,False,False,False,False,27819849.606142808,False,False,False,False
2022-01-11 00:00:00+00:00,6.8630388986,6.8703947817,6.679141822,6.7306330035,14785659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.596901482779107,,,#000000,,,,80.2731436421318,1.7178846022312086,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34557733,5613157.696670737,False,False,False,False,27308704.87649015,False,False,False,False
2022-01-12 00:00:00+00:00,7.0837153905,7.1057830397,6.8924624309,6.9145300801,27000650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.663851523470109,,,#000000,,,,81.68718001498232,3.25571562507335,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,61558383,7807088.100722865,False,False,False,False,27296624.29309838,False,False,False,False
2022-01-13 00:00:00+00:00,6.9439536123,7.1057830397,6.9292418462,7.0984271567,13804153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.688097823199978,,,#000000,,,,78.06754690317209,3.25571562507335,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,47754230,9373642.685008243,False,False,False,False,26767507.771800403,False,False,False,False
2022-01-14 00:00:00+00:00,7.0542918583,7.0837153905,6.9292418462,6.9586653784,14440629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.712017716862341,,,#000000,,,,76.8533929788828,3.25571562507335,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,62194859,11445062.932654977,False,False,False,False,26284100.761141565,False,False,False,False
2022-01-18 00:00:00+00:00,7.135206572,7.1793418704,7.0101565599,7.1057830397,20562307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.748651691022852,,,#000000,,,,76.81514878612546,4.372847626322333,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,82757166,14241615.994119488,False,False,False,False,26059716.69207719,False,False,False,False
2022-01-19 00:00:00+00:00,7.0542918583,7.1940536365,6.9586653784,7.1866977534,13469704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.766946421978738,,,#000000,,,,74.4746243071861,4.372847626322333,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,69287462,16400276.621801076,False,False,False,False,25565990.704152595,False,False,False,False
2022-01-20 00:00:00+00:00,7.0101565599,7.1057830397,6.9586653784,7.0322242091,19031672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.78620414000612,,,#000000,,,,71.71603460834034,4.372847626322333,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,50255790,17727943.813102994,False,False,False,False,25309742.911832884,False,False,False,False
2022-01-21 00:00:00+00:00,6.7453447696,6.9880889107,6.7012094712,6.907174197,21973678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7882155367173755,,,#000000,,,,64.2788876972735,4.372847626322333,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,28282112,18141832.76160876,False,False,False,False,25178916.836859047,False,False,False,False
2022-01-24 00:00:00+00:00,6.7527006527,6.7821241849,6.4363976809,6.5835153422,31092478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.657074172833333,,,,,,6.774975173685289,,6.657074172833333,#000000,,6.657074172833333,,59.45051869918544,4.372847626322333,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,59374590,19758803.633702535,False,False,False,False,25410821.19619791,False,False,False,False
2022-01-25 00:00:00+00:00,6.8336153664,6.8703947817,6.6386844652,6.7085653543,17401640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.701507215645903,,,,,,6.7752919604547195,,6.701507215645903,#000000,,6.701507215645903,,57.65661885227245,4.372847626322333,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,76776230,21994781.13826322,False,False,False,False,25096735.65909211,False,False,False,False
2022-01-26 00:00:00+00:00,7.1278506889,7.2014095196,6.969699203,7.1793418704,39163111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.87938909825384,,,,,,6.810139998282095,,6.87938909825384,#000000,,6.87938909825384,,60.35051170591076,4.372847626322333,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,115939341,25678881.524997998,False,False,False,False,25648358.221480653,False,False,False,False
2022-01-27 00:00:00+00:00,7.0616477413,7.2161212857,6.9218859631,7.1940536365,28850880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.9257361272538756,,,,,,6.8289456653291944,,6.9257361272538756,#000000,,6.9257361272538756,,60.85006240307803,4.372847626322333,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,87088461,28087100.327939253,False,False,False,False,25773947.310834352,False,False,False,False
2022-01-28 00:00:00+00:00,6.9880889107,7.1131389228,6.8777506647,7.1057830397,20994031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.936004980958942,,,,,,6.837257100154103,,6.936004980958942,#000000,,6.936004980958942,,59.79289474887418,4.372847626322333,False,False,True,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,66094430,29577583.844490655,False,False,False,False,25586499.61237026,False,False,False,False
