date,Close,High,Low,Open,Volume,aVWAP_peak_105,aVWAP_peak_101,aVWAP_peak_92,aVWAP_peak_86,aVWAP_peak_85,aVWAP_peak_77,aVWAP_peak_76,aVWAP_peak_71,aVWAP_peak_62,aVWAP_peak_45,aVWAP_peak_44,aVWAP_peak_43,aVWAP_peak_37,aVWAP_peak_33,aVWAP_peak_32,aVWAP_peak_26,aVWAP_peak_25,aVWAP_peak_24,aVWAP_peak_19,aVWAP_valley_105,aVWAP_valley_99,aVWAP_valley_81,aVWAP_valley_73,aVWAP_valley_57,aVWAP_valley_43,aVWAP_valley_35,aVWAP_valley_26,aVWAP_valley_22,aVWAP_valley_15,aVWAP_valley_5,aVWAP_OB_bull_105,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,47.0,47.0,40.25,40.25,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,933.0,False,False,False,False
2022-01-07 00:00:00+00:00,47.0,47.0,47.0,47.0,41164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3913.074074074074,False,False,False,False
2022-01-14 00:00:00+00:00,48.0,48.25,47.0,47.0,52197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,52197,3866.4444444444443,False,False,False,False,7489.661179698216,False,False,False,False
2022-01-21 00:00:00+00:00,49.5,50.0,47.0,48.0,1235330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1287527,98952.41152263375,False,False,False,False,98440.79738860946,False,False,False,False
2022-01-28 00:00:00+00:00,49.5,49.5,49.5,49.5,2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1287527,186994.97363206826,False,False,False,False,91301.03461908283,False,False,False,False
2022-02-04 00:00:00+00:00,46.55,49.5,46.55,49.5,1824545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.53333333333334,,47.53333333333334,#000000,,47.53333333333334,,83.37462715540184,34.28382723284081,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-537018,133364.3829926558,False,False,False,False,219689.47649915074,False,False,False,False
2022-02-11 00:00:00+00:00,47.5,49.0,46.7,46.7,313237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.562638192294635,,47.562638192294635,#000000,,47.562638192294635,,74.27916952132071,26.367677496202703,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-223781,106909.16943764426,False,False,False,False,226618.92268439883,False,False,False,False
2022-02-18 00:00:00+00:00,50.8,50.8,47.5,47.5,890800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.191302662434104,,48.191302662434104,#000000,,48.191302662434104,,73.09343003246967,26.117057807520496,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,667019,148398.78651633728,False,False,False,False,275817.521004073,False,False,False,False
2022-02-25 00:00:00+00:00,50.5,50.8,49.5,50.8,832390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.63873202568335,,48.63873202568335,#000000,,48.63873202568335,,71.52480601104152,25.3029248252833,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-165371,125156.5801077197,False,False,False,False,317045.1120408083,False,False,False,False
2022-03-04 00:00:00+00:00,53.75,53.75,50.0,50.0,1025189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.44888327803089,,49.44888327803089,#000000,,49.44888327803089,,73.1331681046417,25.3029248252833,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,859818,179575.9445441849,False,False,False,False,369500.21485260024,False,False,False,False
