date,Open,High,Low,Close,Volume,aVWAP_peak_865,aVWAP_peak_827,aVWAP_peak_797,aVWAP_peak_733,aVWAP_peak_638,aVWAP_peak_610,aVWAP_peak_552,aVWAP_peak_509,aVWAP_peak_489,aVWAP_peak_449,aVWAP_peak_425,aVWAP_peak_388,aVWAP_peak_342,aVWAP_peak_305,aVWAP_peak_286,aVWAP_peak_247,aVWAP_peak_184,aVWAP_peak_150,aVWAP_peak_126,aVWAP_peak_101,aVWAP_peak_66,aVWAP_peak_26,aVWAP_valley_848,aVWAP_valley_831,aVWAP_valley_813,aVWAP_valley_774,aVWAP_valley_704,aVWAP_valley_645,aVWAP_valley_618,aVWAP_valley_595,aVWAP_valley_576,aVWAP_valley_528,aVWAP_valley_500,aVWAP_valley_468,aVWAP_valley_437,aVWAP_valley_401,aVWAP_valley_377,aVWAP_valley_354,aVWAP_valley_334,aVWAP_valley_317,aVWAP_valley_283,aVWAP_valley_227,aVWAP_valley_196,aVWAP_valley_165,aVWAP_valley_133,aVWAP_valley_114,aVWAP_valley_79,aVWAP_valley_51,aVWAP_OB_bull_354,aVWAP_OB_bear_733,aVWAP_OB_bear_552,aVWAP_OB_bear_449,aVWAP_OB_bear_150,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,75.75,76.705,75.715,76.41,883.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,883.0,False,False,False,False
2025-02-03 16:00:00+00:00,76.415,76.445,76.23,76.23,710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-710.0,-11.007751937984496,False,False,False,False,880.3178294573643,False,False,False,False
2025-02-03 17:00:00+00:00,76.24,76.255,75.83,75.91,818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1528.0,-34.52701159786071,False,False,False,False,879.3516615588004,False,False,False,False
2025-02-03 18:00:00+00:00,75.91,76.09,75.485,75.56,2215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3743.0,-92.0227168444055,False,False,False,False,900.0593877361833,False,False,False,False
2025-02-03 19:00:00+00:00,75.56,75.56,75.325,75.37,2315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6058.0,-184.51848867627518,False,False,False,False,921.9964514922115,False,False,False,False
2025-02-03 20:00:00+00:00,75.5,75.54,75.035,75.345,6659.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12717.0,-378.8205276115267,False,False,False,False,1010.9422429419446,False,False,False,False
2025-02-04 15:00:00+00:00,74.99,75.255,74.86,75.215,728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-13445.0,-581.3969535400302,False,False,False,False,1006.5555415009843,False,False,False,False
2025-02-04 16:00:00+00:00,75.215,75.925,75.215,75.79,1886.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.425986219776625,-37.016612402201034,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11559.0,-751.5923496091771,False,False,False,False,1020.1903393071705,False,False,False,False
2025-02-04 17:00:00+00:00,75.79,76.19,75.785,76.02,1906.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,27.125309723210556,-26.452780422297096,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9653.0,-889.598669770275,False,False,False,False,1033.9238224186872,False,False,False,False
2025-02-04 18:00:00+00:00,76.065,76.065,75.39,75.43,1248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.99039470956405,-25.097794903817842,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10901.0,-1044.8141942699608,False,False,False,False,1037.2428329238237,False,False,False,False
