date,Close,High,Low,Open,Volume,aVWAP_peak_187,aVWAP_peak_180,aVWAP_peak_175,aVWAP_peak_161,aVWAP_peak_151,aVWAP_peak_138,aVWAP_peak_125,aVWAP_peak_120,aVWAP_peak_104,aVWAP_peak_93,aVWAP_peak_82,aVWAP_peak_77,aVWAP_peak_67,aVWAP_peak_60,aVWAP_peak_50,aVWAP_peak_43,aVWAP_peak_33,aVWAP_peak_26,aVWAP_peak_20,aVWAP_peak_6,aVWAP_valley_183,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_155,aVWAP_valley_145,aVWAP_valley_130,aVWAP_valley_112,aVWAP_valley_102,aVWAP_valley_84,aVWAP_valley_74,aVWAP_valley_64,aVWAP_valley_53,aVWAP_valley_39,aVWAP_valley_29,aVWAP_valley_21,aVWAP_valley_10,aVWAP_OB_bull_145,aVWAP_OB_bear_77,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,31.65,31.8999,29.85,29.94,356174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,356174.0,False,False,False,False
2022-01-07 00:00:00+00:00,33.31,34.7499,31.9901,32.26,610879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,610879,45250.29629629629,False,False,False,False,375041.037037037,False,False,False,False
2022-01-14 00:00:00+00:00,32.54,32.68,30.901,32.68,405856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,90.51451566542109,7.315320494394889,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,205023,57085.31138545953,False,False,False,False,377323.6268861454,False,False,False,False
2022-01-21 00:00:00+00:00,33.17,33.6199,31.65,32.13,403314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,85.87744264741953,7.315320494394889,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,608337,97918.76980135142,False,False,False,False,379248.8397093939,False,False,False,False
2022-01-28 00:00:00+00:00,35.0,35.26,32.46,32.9,552920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,85.5945838450308,7.315320494394889,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1161257,176684.56463088095,False,False,False,False,392113.37010129064,False,False,False,False
2022-02-04 00:00:00+00:00,37.88,38.0086,34.52,34.91,567092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,87.16334620580756,7.315320494394889,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1728349,291622.6709545194,False,False,False,False,405074.7500937877,False,False,False,False
2022-02-11 00:00:00+00:00,36.69,38.29,35.11,37.78,691340,,,,,,,,,,,,,,,,,,,,36.69666666666667,,,,,,,,,,,,,,,,,,,36.69666666666667,#000000,,36.69666666666667,,84.28497052936534,7.315320494394889,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1037009,346836.4731060365,False,False,False,False,426279.58342017373,False,False,False,False
2022-02-18 00:00:00+00:00,34.91,36.1,33.53,35.69,717313,,,,,,,,,,,,,,,,,,,,35.754611348572006,,,,,,,,,,,,,,,,,,,35.754611348572006,#000000,,35.754611348572006,,77.87673761794278,7.315320494394889,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,319696,344826.0676907745,False,False,False,False,447837.6142779386,False,False,False,False
2022-02-25 00:00:00+00:00,34.56,37.3164,33.7294,34.88,608753,,,,,,,,,,,,,,,,,,,,35.587840554884174,,,,,,,,,,,,,,,,,,,35.587840554884174,#000000,,35.587840554884174,,72.59310723781775,7.315320494394889,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-289057,297871.7663803468,False,False,False,False,459757.2724795728,False,False,False,False
2022-03-04 00:00:00+00:00,25.88,33.1799,25.265,33.09,1266465,,,,,,,,,,,,,,,,,,,,32.70326429447644,,,,,,,,,,,,,,,,,,,32.70326429447644,#000000,,32.70326429447644,,60.08079088750118,7.315320494394889,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1555522,160583.33924106183,False,False,False,False,519513.4004440489,False,False,False,False
