date,Close,High,Low,Open,Volume,aVWAP_peak_47,aVWAP_peak_38,aVWAP_peak_30,aVWAP_peak_22,aVWAP_peak_9,aVWAP_valley_56,aVWAP_valley_41,aVWAP_valley_35,aVWAP_valley_25,aVWAP_valley_11,aVWAP_OB_bear_47,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2024-06-28 00:00:00+00:00,23.04675296,23.4051473905,18.6663765875,18.9152616086,3203390,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3203390.0,False,False,False,False
2024-07-05 00:00:00+00:00,28.3728924129,31.2052039538,20.906441332,21.8620602592,2543571,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2543571,188412.66666666666,False,False,False,False,3154514.518518518,False,False,False,False
2024-07-12 00:00:00+00:00,30.642723806,32.7632241863,25.9139084038,29.3485216959,2200796,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4744367,525890.7654320988,False,False,False,False,3083868.702331961,False,False,False,False
2024-07-19 00:00:00+00:00,28.7213314426,31.9667921186,26.3917676444,31.9667921186,2750554,,,,,,,,,,,,,#000000,,,,93.67514956434007,44.02103982254023,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1993813,634625.7457704619,False,False,False,False,3059178.7243814454,False,False,False,False
2024-07-26 00:00:00+00:00,29.9956227509,30.8617426246,27.9746763791,29.4580311052,1424986,,,,,,,,,,,,,#000000,,,,90.01708109289679,40.8224396642791,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3418799,840860.8016393165,False,False,False,False,2938127.4114643014,False,False,False,False
2024-08-02 00:00:00+00:00,31.7179070974,33.9776835356,29.3306019744,30.642723806,1625306,,,,,,,,,,,,,#000000,,,,88.30296596409346,39.54126190618446,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5044105,1152212.2237401078,False,False,False,False,2840881.380985464,False,False,False,False
2024-08-09 00:00:00+00:00,32.4546067601,33.1660197046,27.8892590398,29.8662025399,1125639,,,,,,,,,,,,,#000000,,,,87.39864775851638,38.99851790282854,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6169744,1523881.2442038036,False,False,False,False,2713826.3898013555,False,False,False,False
2024-08-16 00:00:00+00:00,35.6702012335,36.2077928792,32.3550527516,32.8528227939,1276144,,,,,,,,,,,,,#000000,,,,87.80096318675069,38.99851790282854,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7445888,1962548.4112998182,False,False,False,False,2607331.397964218,False,False,False,False
2024-08-23 00:00:00+00:00,41.8525051593,42.1161241737,35.2321635963,36.0086848623,2016647,,,,,,,,,,,,,#000000,,,,89.1663941645171,37.06467002200246,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9462535,2518102.9734257576,False,False,False,False,2563576.998115017,False,False,False,False
2024-08-30 00:00:00+00:00,36.874804736,42.8878668473,35.6589516306,42.0117915728,1534321,,,,,38.473874404633335,,,,,,,38.473874404633335,#000000,,38.473874404633335,,84.18251624180407,36.745836046219964,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7928214,2918851.938357183,False,False,False,False,2487335.81306946,False,False,False,False
2024-09-06 00:00:00+00:00,34.5850625412,38.039586635,32.9324660007,36.4964995038,1003966,,,,,37.17330822543785,,,,,,,37.17330822543785,#000000,,37.17330822543785,,78.57464729503039,31.737310380173227,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6924248,3215547.9429233177,False,False,False,False,2377456.5676569073,False,False,False,False
2024-09-13 00:00:00+00:00,37.8205678164,38.4377031149,32.136033933,34.9434569717,1333851,,,,,36.814409936183175,,,,,36.13143495476667,,36.47292244547492,#000000,,36.47292244547492,,75.89993252664543,29.618324664285524,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8258099,3589070.243447516,False,False,False,False,2300152.4515341735,False,False,False,False
2024-09-20 00:00:00+00:00,38.497535074,41.2900250114,36.6358751156,37.8305232172,1149835,,,,,37.27082082405721,,,,,37.370477125784454,,37.32064897492083,#000000,,37.32064897492083,,74.24115269854519,28.417639536702097,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9407934,4020097.1883773296,False,False,False,False,2214943.751420531,False,False,False,False
2024-09-27 00:00:00+00:00,39.6224953696,45.7599004376,38.3004181372,38.8260633019,2198617,,,,,38.47563264427395,,,,,39.181625644324185,,38.82862914429907,#000000,,38.82862914429907,,73.47057248778725,27.974671579456967,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11606551,4582056.729979008,False,False,False,False,2213734.3624264174,False,False,False,False
2024-10-04 00:00:00+00:00,45.4464048649,46.412078747,37.6413706012,39.3736103485,2187825,,,,,39.56647049435814,,,,,40.45066547239798,,40.00856798337806,#000000,,40.00856798337806,,74.64320622895131,27.974671579456967,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13794376,5264450.749980563,False,False,False,False,2211815.150394831,False,False,False,False
2024-10-11 00:00:00+00:00,48.8013749502,49.7670488324,43.5947003074,46.1233721225,1210304,,,,,40.45792219152966,,,,,41.48971021105006,,40.973816201289864,#000000,,40.973816201289864,,76.22195964882988,27.974671579456967,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15004680,5985949.212944966,False,False,False,False,2137629.139254473,False,False,False,False
2024-10-18 00:00:00+00:00,54.4261764286,56.5864984123,48.9905275663,49.7770042332,1830367,,,,,42.351127967884885,,,,,43.67723624034573,,43.01418210411531,#000000,,43.01418210411531,,78.32443438047869,23.186030407033073,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16835047,6789586.086060153,False,False,False,False,2114868.980791179,False,False,False,False
2024-10-25 00:00:00+00:00,51.997058622,57.1538567066,51.0413401407,53.6496551626,1774596,,,,,43.72930156421313,,,,,45.153386301091935,,44.44134393265253,#000000,,44.44134393265253,,78.06540133205525,23.186030407033073,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15060451,7402242.746351994,False,False,False,False,2089663.5748066471,False,False,False,False
2024-11-01 00:00:00+00:00,56.0389513657,57.9802545308,51.7083519975,51.7680844025,1183466,,,,,44.61366392242075,,,,,46.08121867656936,,45.34744129949505,#000000,,45.34744129949505,,78.6299840276344,23.401694687006852,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16243917,8057181.57995555,False,False,False,False,2022537.8285246731,False,False,False,False
2024-11-08 00:00:00+00:00,75.1632763921,75.1632763921,55.4217165133,56.2977917878,2449592,,,,,47.90174994819869,,,,,49.6794662851644,,48.79060811668155,#000000,,48.79060811668155,,81.14695508807925,25.854835003764606,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,18693509,8845057.685144028,False,False,False,False,2054171.4708561788,False,False,False,False
2024-11-15 00:00:00+00:00,68.5628456308,78.0602980385,61.7234852492,77.6521266038,2388960,,,,,50.44427616285816,,,,,52.34661646479671,,51.395446313827435,#000000,,51.395446313827435,,79.93328149633084,25.854835003764606,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,16304549,9397612.597355582,False,False,False,False,2078970.6211631284,False,False,False,False
2024-11-22 00:00:00+00:00,77.1145349581,77.1145349581,57.6417709021,67.8161905673,4111787,,,,,53.85074980144555,,,,,55.79088203111665,,54.820815916281106,#000000,,54.820815916281106,,80.01250729351959,25.854835003764606,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,20416336,10213814.330884797,False,False,False,False,2229549.6121880817,False,False,False,False
2024-11-29 00:00:00+00:00,75.6610464345,80.4555674822,72.9282889021,78.6178004859,2416873,,,,76.3483009396,55.881563009004005,,,,,57.840911782619834,,63.35692524374127,#000000,,63.35692524374127,,79.48607194444115,25.854835003764606,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17999463,10790529.047115553,False,False,False,False,2243425.418692668,False,False,False,False
2024-12-06 00:00:00+00:00,63.9170450752,77.3572476307,63.0596334582,76.4176568988,2977234,,,,71.80195929493857,57.10539036918512,,,,,58.96453027410023,,62.62395997940798,#000000,,62.62395997940798,,75.07898872859842,30.3423653598293,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15022229,11103988.30288477,False,False,False,False,2297781.6099006184,False,False,False,False
