date,Open,High,Low,Close,Volume,aVWAP_peak_423,aVWAP_peak_393,aVWAP_peak_368,aVWAP_peak_334,aVWAP_peak_310,aVWAP_peak_295,aVWAP_peak_245,aVWAP_peak_217,aVWAP_peak_182,aVWAP_peak_152,aVWAP_peak_118,aVWAP_peak_84,aVWAP_peak_15,aVWAP_valley_345,aVWAP_valley_319,aVWAP_valley_272,aVWAP_valley_232,aVWAP_valley_195,aVWAP_valley_167,aVWAP_valley_131,aVWAP_valley_99,aVWAP_valley_24,aVWAP_OB_bull_345,aVWAP_OB_bear_217,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,56.33,56.5,56.04,56.465,12856.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,12856.0,False,False,False,False
2023-12-15 17:00:00+00:00,56.02,56.3,55.12,55.22,11380.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11380.0,-176.43410852713177,False,False,False,False,12833.116279069767,False,False,False,False
2023-12-18 17:00:00+00:00,56.77,56.91,56.425,56.535,21047.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.100481761871944,-77.15072264280792,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9667.0,-23.822726999579345,False,False,False,False,12960.463313502794,False,False,False,False
2023-12-19 17:00:00+00:00,57.105,57.335,56.995,57.28,11471.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.08398790515796,-60.95551893766331,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,21138.0,304.26754783762345,False,False,False,False,12937.370859029881,False,False,False,False
2023-12-20 17:00:00+00:00,57.025,57.31,55.98,56.04,12500.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,37.584608560297994,-55.867893634734926,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8638.0,433.4727021347145,False,False,False,False,12930.58991547903,False,False,False,False
2023-12-21 17:00:00+00:00,56.08,56.3,55.755,56.295,26006.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,41.20999771016051,-49.85126033747281,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,34644.0,963.8684741946413,False,False,False,False,13133.309451673153,False,False,False,False
2023-12-22 17:00:00+00:00,56.59,56.88,56.39,56.58,6957.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,45.0153366507533,-43.25360871469822,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,41601.0,1593.9015211063522,False,False,False,False,13037.552715988297,False,False,False,False
2023-12-25 17:00:00+00:00,56.58,56.58,56.58,56.58,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.55222927781516,-37.65256741912813,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,41601.0,2214.1666138023775,False,False,False,False,12835.420115740415,False,False,False,False
2023-12-26 17:00:00+00:00,58.08,58.26,57.8,57.8,3049.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,54.052195849252385,-28.433350489111632,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,44650.0,2872.0865112628057,False,False,False,False,12683.692672085524,False,False,False,False
2023-12-27 17:00:00+00:00,57.64,57.67,57.29,57.36,3411.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,55.927673703089255,-23.705678337633156,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,41239.0,3466.922379305243,False,False,False,False,12539.929994998927,False,False,False,False
2023-12-28 17:00:00+00:00,57.125,57.285,56.49,56.56,3370.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.52510234295162,-23.337768401665024,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37869.0,4000.2879238121386,False,False,False,False,12397.760537712122,False,False,False,False
2023-12-29 17:00:00+00:00,56.705,57.235,56.69,56.98,3093.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.59586351252597,-20.42646048975575,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,40962.0,4573.337723442958,False,False,False,False,12253.500684414259,False,False,False,False
2024-01-01 17:00:00+00:00,56.98,56.98,56.98,56.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.643037625575545,-17.605160912825525,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,40962.0,5137.503030056246,False,False,False,False,12063.523929617138,False,False,False,False
