date,Close,High,Low,Open,Volume,aVWAP_peak_184,aVWAP_peak_177,aVWAP_peak_167,aVWAP_peak_161,aVWAP_peak_155,aVWAP_peak_142,aVWAP_peak_124,aVWAP_peak_113,aVWAP_peak_103,aVWAP_peak_87,aVWAP_peak_81,aVWAP_peak_57,aVWAP_peak_50,aVWAP_peak_46,aVWAP_peak_33,aVWAP_peak_11,aVWAP_valley_189,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_158,aVWAP_valley_151,aVWAP_valley_120,aVWAP_valley_110,aVWAP_valley_96,aVWAP_valley_85,aVWAP_valley_68,aVWAP_valley_63,aVWAP_valley_42,aVWAP_valley_24,aVWAP_valley_8,aVWAP_OB_bull_96,aVWAP_OB_bull_42,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,284.9587908753,288.0245383095,280.467227571,281.4648120535,1398296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1398296.0,False,False,False,False
2022-01-07 00:00:00+00:00,260.2965559603,287.0415526243,259.5082209058,284.9587908753,4329420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4329420,-320697.77777777775,False,False,False,False,1615416.2962962962,False,False,False,False
2022-01-14 00:00:00+00:00,242.8266618511,260.3160210234,240.7098362418,255.9655794263,4515190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8844610,-952098.6831275721,False,False,False,False,1830214.3484224963,False,False,False,False
2022-01-21 00:00:00+00:00,219.6243066667,241.1234688322,219.5269813513,238.9433817678,7762001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16606611,-2111692.188081085,False,False,False,False,2269605.952243052,False,False,False,False
2022-01-28 00:00:00+00:00,227.7899006263,228.5003754285,211.2444023626,219.8676199551,6265680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.5842731265806873,-46.611741810029194,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10340931,-2721265.433408412,False,False,False,False,2565611.4372620853,False,False,False,False
2022-02-04 00:00:00+00:00,227.8093656894,238.7098010109,226.1645678596,229.9991852852,4747183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.1524716827239345,-44.33100281488244,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5593748,-2934041.919822604,False,False,False,False,2727209.330798227,False,False,False,False
2022-02-11 00:00:00+00:00,218.9819595852,235.2255547207,217.0159882147,229.4346984561,6266603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.503115106200488,-43.2667546409901,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11860351,-3595249.9998357445,False,False,False,False,2989386.639627988,False,False,False,False
2022-02-18 00:00:00+00:00,207.7214205968,221.3566972803,205.5178418766,218.144961873,6614700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.9846398290244895,-43.0188054496086,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18475051,-4697457.481329393,False,False,False,False,3257928.370025915,False,False,False,False
2022-02-25 00:00:00+00:00,213.1036128691,213.2791191388,197.9418212324,206.1028627757,6743598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.10818441343332,,,208.10818441343332,#000000,,208.10818441343332,,10.241809261135653,-41.04822740459804,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11731453,-5218494.186416104,False,False,False,False,3516126.120394366,False,False,False,False
2022-03-04 00:00:00+00:00,221.9861801881,222.746707357,209.5544860808,210.3442642947,4841264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.28196233359822,,,212.28196233359822,#000000,,212.28196233359822,,14.626209948586466,-37.102863337589,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6890189,-5342323.431866763,False,False,False,False,3614284.481846635,False,False,False,False
