date,Close,High,Low,Open,Volume,aVWAP_peak_183,aVWAP_peak_176,aVWAP_peak_150,aVWAP_peak_132,aVWAP_peak_114,aVWAP_peak_103,aVWAP_peak_93,aVWAP_peak_80,aVWAP_peak_71,aVWAP_peak_57,aVWAP_peak_32,aVWAP_peak_14,aVWAP_valley_188,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_148,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_108,aVWAP_valley_95,aVWAP_valley_87,aVWAP_valley_79,aVWAP_valley_75,aVWAP_valley_62,aVWAP_valley_52,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_11,aVWAP_valley_8,aVWAP_valley_4,aVWAP_OB_bull_171,aVWAP_OB_bear_32,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,10.26,12.54,9.945,11.1,2336413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2336413.0,False,False,False,False
2022-01-07 00:00:00+00:00,8.76,10.89,8.64,10.26,1175111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1175111,-87045.25925925926,False,False,False,False,2250390.6296296297,False,False,False,False
2022-01-14 00:00:00+00:00,8.04,9.21,7.77,8.7,2007848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3182959,-316372.20301783265,False,False,False,False,2232424.5089163235,False,False,False,False
2022-01-21 00:00:00+00:00,6.51,7.83,6.39,7.8,1146979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4329938,-613673.3731646598,False,False,False,False,2152021.137885485,False,False,False,False
2022-01-28 00:00:00+00:00,6.03,7.095,5.565,6.27,1461088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.23,,,6.23,#000000,,6.23,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5791026,-997180.9751524628,False,False,False,False,2100840.905449523,False,False,False,False
2022-02-04 00:00:00+00:00,6.81,7.2003,5.94,6.06,1138915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.414022169012882,,,6.414022169012882,#000000,,6.414022169012882,,5.201548391787932,-45.082911285887974,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4652111,-1267916.5325485766,False,False,False,False,2029587.1346754844,False,False,False,False
2022-02-11 00:00:00+00:00,6.93,7.95,6.84,6.9747,911155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.628365650734032,,,6.628365650734032,#000000,,6.628365650734032,,9.597813000170614,-41.140412156533145,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3740956,-1451104.641248682,False,False,False,False,1946740.3098847077,False,False,False,False
2022-02-18 00:00:00+00:00,6.42,7.71,6.345,6.99,595167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.656865653960658,,,6.656865653960658,#000000,,6.656865653960658,,12.04900754057358,-39.15914674436567,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4336123,-1664809.704859891,False,False,False,False,1846623.7684117665,False,False,False,False
2022-02-25 00:00:00+00:00,6.81,6.87,5.52,6.09,561961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3999999999999995,6.625944566485429,,,6.512972283242714,#000000,,6.512972283242714,,15.846906678373529,-35.909857293767274,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3774162,-1821058.0230184174,False,False,False,False,1751463.563344228,False,False,False,False
2022-03-04 00:00:00+00:00,6.03,7.1097,5.97,6.72,550826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.385100596430404,6.598921577827799,,,6.492011087129102,#000000,,6.492011087129102,,17.415767135806,-34.819373747299636,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4324988,-2006534.317609646,False,False,False,False,1662527.447540952,False,False,False,False
2022-03-11 00:00:00+00:00,6.06,6.75,5.85,6.06,601610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3271640917477106,6.559757534185622,,,6.443460812966666,#000000,,6.443460812966666,,18.681759989707828,-33.953948123754486,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3723378,-2133707.9237126354,False,False,False,False,1583940.9699453257,False,False,False,False
2022-03-18 00:00:00+00:00,7.38,7.53,5.52,6.12,525872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81,6.440503108064255,6.58049235761733,,,6.610331821893862,#000000,,6.610331821893862,,24.80405886589185,-28.431963813830766,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3197506,-2212507.781215403,False,False,False,False,1505565.4906901165,False,False,False,False
2022-03-25 00:00:00+00:00,8.88,9.06,6.75,7.41,1891496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92109451270969,7.2597235170441685,6.959225426512699,,,7.380014485422186,#000000,,7.380014485422186,,32.96726877575715,-21.1242324313336,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1306010,-2145359.7974216696,False,False,False,False,1534152.9358241821,False,False,False,False
2022-04-01 00:00:00+00:00,8.64,9.36,8.3082,8.94,811147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.13422669611261,7.507466052238033,7.121484153382213,,,7.587725633910952,#000000,,7.587725633910952,,38.2402568893547,-16.73065689635385,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2117157,-2143270.701316361,False,False,False,False,1480596.9405779464,False,False,False,False
