date,Close,High,Low,Open,Volume,aVWAP_peak_182,aVWAP_peak_164,aVWAP_peak_146,aVWAP_peak_133,aVWAP_peak_124,aVWAP_peak_119,aVWAP_peak_115,aVWAP_peak_102,aVWAP_peak_87,aVWAP_peak_78,aVWAP_peak_72,aVWAP_peak_65,aVWAP_peak_57,aVWAP_peak_48,aVWAP_peak_33,aVWAP_peak_21,aVWAP_peak_13,aVWAP_valley_187,aVWAP_valley_170,aVWAP_valley_149,aVWAP_valley_136,aVWAP_valley_130,aVWAP_valley_116,aVWAP_valley_95,aVWAP_valley_85,aVWAP_valley_77,aVWAP_valley_62,aVWAP_valley_52,aVWAP_valley_41,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_8,aVWAP_OB_bull_136,aVWAP_OB_bear_33,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,9.35,9.67,9.17,9.43,38800408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,38800408.0,False,False,False,False
2022-01-07 00:00:00+00:00,8.86,9.49,8.47,9.32,38304735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-38304735,-2837387.7777777775,False,False,False,False,38763691.48148148,False,False,False,False
2022-01-14 00:00:00+00:00,9.04,9.35,8.51,8.82,30513063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.069336521219356,-70.17334130304839,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7791672,-3204371.794238683,False,False,False,False,38152533.816186555,False,False,False,False
2022-01-21 00:00:00+00:00,8.54,9.32,8.52,8.94,34796318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.147996261372707,-67.76706642643049,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-42587990,-6121676.846517298,False,False,False,False,37903925.237209775,False,False,False,False
2022-01-28 00:00:00+00:00,7.88,8.3791,7.44,8.23,53888995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.912294521213843,-67.3286549121517,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-96476985,-12814662.635664165,False,False,False,False,39088004.478897944,False,False,False,False
2022-02-04 00:00:00+00:00,7.37,8.35,7.13,7.52,64048909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.09072664130245,-67.25339449017058,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-160525894,-23756235.329318672,False,False,False,False,40936960.36934995,False,False,False,False
2022-02-11 00:00:00+00:00,7.04,7.587,6.985,7.41,37680919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,8.211754047812345,-67.08217483605145,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-198206813,-36678500.341961734,False,False,False,False,40695772.11976847,False,False,False,False
2022-02-18 00:00:00+00:00,6.65,7.215,6.64,6.98,30776152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.316883156726465,-66.8267129006074,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-228982965,-50923275.50181642,False,False,False,False,39960985.444230065,False,False,False,False
2022-02-25 00:00:00+00:00,6.72,6.72,5.8,6.47,33646398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.413333333333333,,,6.413333333333333,#000000,,6.413333333333333,,7.464637650358396,-65.42907147213815,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-195336567,-61620556.35353373,False,False,False,False,39493238.22613895,False,False,False,False
2022-03-04 00:00:00+00:00,6.48,7.0,6.45,6.68,27994136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5177881597629685,,,6.5177881597629685,#000000,,6.5177881597629685,,7.354570948993221,-64.2304985567104,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-223330703,-73599085.73475344,False,False,False,False,38641452.87605458,False,False,False,False
2022-03-11 00:00:00+00:00,6.24,6.77,6.2,6.51,31179246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.479341449491335,,,6.479341449491335,#000000,,6.479341449491335,,7.08672693856189,-63.17379636882849,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-254509949,-86999890.42106801,False,False,False,False,38088696.811161645,False,False,False,False
2022-03-18 00:00:00+00:00,7.03,7.12,5.88,6.24,33913602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.532145286761674,,,6.532145286761674,#000000,,6.532145286761674,,13.528664036322596,-55.75347634634002,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-220596347,-96895924.24172965,False,False,False,False,37779430.52885337,False,False,False,False
2022-03-25 00:00:00+00:00,7.39,7.8599,7.08,7.28,45658833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.773468602254265,,,6.773468602254265,#000000,,6.773468602254265,,20.3021505553179,-48.30005700112848,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-174937514,-102676782.74234226,False,False,False,False,38363089.97116053,False,False,False,False
2022-04-01 00:00:00+00:00,6.75,7.97,6.52,7.35,76959557,,,,,,,,,,,,,,,,,7.079999999999999,,,,,,,,,,,,,,,6.868075993201952,,,6.974037996600975,#000000,,6.974037996600975,,23.324650801560132,-44.63161667396133,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-251897071,-113730137.42809469,False,False,False,False,41222087.52885234,False,False,False,False
2022-04-08 00:00:00+00:00,6.8,7.18,6.6,6.8,36803833,,,,,,,,,,,,,,,,,7.008827338390671,,,,,,,,,,,,,,,6.867037301315719,,,6.937932319853195,#000000,,6.937932319853195,,25.761726720371513,-41.552703790696796,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-215093238,-121238515.24823582,False,False,False,False,40894809.41560402,False,False,False,False
2022-04-15 00:00:00+00:00,6.68,7.03,6.5996,6.73,20012372,,,,,,,,,,,,,,,,,6.973079682878078,,,,,,,,,,,,,,,6.860685837301986,,,6.916882760090032,#000000,,6.916882760090032,,27.184390774319205,-39.445897274554476,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-235105610,-129673114.85947761,False,False,False,False,39347962.19963335,False,False,False,False
2022-04-22 00:00:00+00:00,6.06,6.74,5.905,6.64,28544952,,,,,,,,,,,,,,,,,6.843284485452258,,,,,,,,,,,,,,,6.8073261650412675,,,6.825305325246763,#000000,,6.825305325246763,,26.776689500283354,-39.09224988863275,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-263650562,-139597370.20322,False,False,False,False,38547739.22188273,False,False,False,False
2022-04-29 00:00:00+00:00,5.72,6.095,5.57,5.97,30046025,,,,,,,,,,,,,,,,,6.679551492832309,,,,,,,,,,,,,,,6.72393855541734,,,6.701745024124825,#000000,,6.701745024124825,,25.845449885996878,-39.09224988863275,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-293696587,-151012127.00298148,False,False,False,False,37917982.61285438,False,False,False,False
2022-05-06 00:00:00+00:00,5.61,6.13,5.545,5.69,31895786,,,,,,,,,,,,,,,,,6.5490051254085655,,,,,,,,,,,,,,,6.646560384574337,,,6.597782754991451,#000000,,6.597782754991451,,24.983643993220237,-39.09224988863275,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-325592373,-163943997.0768347,False,False,False,False,37471893.97486516,False,False,False,False
2022-05-13 00:00:00+00:00,5.83,5.87,4.7008,5.51,63089295,,,,,,,,,,,,,,,,,6.311431733663864,,,,,,,,,,,,,,5.4669333333333325,6.484683702420703,,,6.0876829231393,#000000,,6.0876829231393,,25.66914811049626,-37.84648116940967,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-262503078,-171244669.73780993,False,False,False,False,39369479.23598626,False,False,False,False
2022-05-20 00:00:00+00:00,5.89,6.25,5.68,5.77,61148798,,,,,,,,,,,,,,,,,6.246259384234626,,,,,,,,,,,,,,5.6997722102189705,6.420742039984323,,,6.122257878145973,#000000,,6.122257878145973,,26.51048105380513,-36.23696612608019,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-201354280,-173475011.2387129,False,False,False,False,40982762.10739469,False,False,False,False
2022-05-27 00:00:00+00:00,6.57,6.7696,5.62,5.91,57675860,,,,,,,,,,,,,,,,6.319866666666667,6.256711400898503,,,,,,,,,,,,,,5.896373298079743,6.410686062225228,,,6.220909356967535,#000000,,6.220909356967535,,30.592937858009662,-31.5904503958416,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-143678420,-171267856.33214158,False,False,False,False,42219287.8772173,False,False,False,False
2022-06-03 00:00:00+00:00,5.83,6.51,5.635,6.5,49256875,,,,,,,,,,,,,,,,6.168686521737241,6.228045789876672,,,,,,,,,,,,,,5.916677994764115,6.37781134822568,,,6.172805413650927,#000000,,6.172805413650927,,31.574067006453525,-30.040753690992016,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-192935295,-172872851.78902,False,False,False,False,42740590.62705306,False,False,False,False
2022-06-10 00:00:00+00:00,5.54,6.19,5.49,5.91,50391664,,,,,,,,,,,,,,,,6.031376433143088,6.179425340840876,,,,,,,,,,,,,,5.885057667478664,6.330421848757498,,,6.106570322555032,#000000,,6.106570322555032,,31.641438508063402,-29.36027545960571,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-243326959,-178091674.5453889,False,False,False,False,43307336.802826904,False,False,False,False
2022-06-17 00:00:00+00:00,5.19,5.505,5.0,5.3,41768987,,,,,,,,,,,,,,,,5.863600559163393,6.107132876987089,,,,,,,,,,,,,5.231666666666667,5.800650543547396,6.266679113541431,,,5.853945951981195,#000000,,5.750762661591136,,30.983333473255726,-29.36027545960571,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-285095946,-186017916.8753601,False,False,False,False,43193384.96558046,False,False,False,False
2022-06-24 00:00:00+00:00,5.75,5.76,5.13,5.4,39544645,,,,,,,,,,,,,,,,5.811081527663124,6.0693846596633545,,,,,,,,,,,,,5.384858239452396,5.7729724970111285,6.229191977788586,,,5.853497780315718,#000000,,5.7595742309475,,32.8864971127186,-26.988081707870798,False,False,False,True,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,-0.30898573133376855,-0.30898573133376855,False,False,False,False,-245551301,-190427797.18088898,False,False,False,False,42923107.93109302,False,False,False,False
