date,Close,High,Low,Open,Volume,aVWAP_peak_273,aVWAP_peak_245,aVWAP_peak_199,aVWAP_peak_172,aVWAP_peak_147,aVWAP_peak_108,aVWAP_peak_88,aVWAP_peak_53,aVWAP_valley_242,aVWAP_valley_186,aVWAP_valley_164,aVWAP_valley_160,aVWAP_valley_117,aVWAP_valley_96,aVWAP_valley_94,aVWAP_valley_79,aVWAP_valley_23,aVWAP_OB_bull_117,aVWAP_OB_bear_199,aVWAP_OB_bear_147,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,10.07,10.13,8.78,9.17,220152,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,220152.0,False,False,False,False
2022-01-04 00:00:00+00:00,9.29,10.09,9.141,9.97,128965,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-128965,-5057.450980392156,False,False,False,False,216576.0392156863,False,False,False,False
2022-01-05 00:00:00+00:00,8.02,9.405,8.0,9.22,93718,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-222683,-13591.786236063052,False,False,False,False,211758.07689350253,False,False,False,False
2022-01-06 00:00:00+00:00,8.44,8.54,7.5,8.05,138158,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.308654848800828,-44.21706638859924,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-84525,-16373.480893472344,False,False,False,False,208871.79936826715,False,False,False,False
2022-01-07 00:00:00+00:00,8.05,8.51,7.76,8.51,39254,,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.492432467195334,-41.649084396670986,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-123779,-20585.462034904802,False,False,False,False,202220.12096166844,False,False,False,False
2022-01-10 00:00:00+00:00,9.15,9.23,7.61,8.05,91713,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.99632575157876,-31.499775935924795,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32066,-21035.679210006572,False,False,False,False,197886.50837493635,False,False,False,False
2022-01-11 00:00:00+00:00,8.88,9.27,8.44,9.21,106283,,,,,,,,,,,,,,,,,,,,,,#000000,,,,27.45060587412457,-26.454700237575224,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-138349,-25636.201593927883,False,False,False,False,194294.21392886044,False,False,False,False
2022-01-12 00:00:00+00:00,8.21,9.26,8.08,9.13,109307,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.27263256791529,-25.654642559745014,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-247656,-34342.86035495032,False,False,False,False,190961.38201008158,False,False,False,False
2022-01-13 00:00:00+00:00,7.54,8.25,7.38,8.2,73767,,,,,,,,,,,,,,,,,,,,,,#000000,,,,28.63697201571186,-25.654642559745014,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-321423,-45600.905046913045,False,False,False,False,186365.52389203917,False,False,False,False
2022-01-14 00:00:00+00:00,8.35,8.39,7.33,7.34,81773,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.648327365807916,-23.519364728590332,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-239650,-53210.67347644587,False,False,False,False,182263.8562884298,False,False,False,False
