date,Close,High,Low,Open,Volume,aVWAP_peak_184,aVWAP_peak_176,aVWAP_peak_164,aVWAP_peak_151,aVWAP_peak_144,aVWAP_peak_135,aVWAP_peak_118,aVWAP_peak_105,aVWAP_peak_96,aVWAP_peak_90,aVWAP_peak_84,aVWAP_peak_66,aVWAP_peak_61,aVWAP_peak_56,aVWAP_peak_47,aVWAP_peak_34,aVWAP_peak_23,aVWAP_peak_6,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_155,aVWAP_valley_148,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_132,aVWAP_valley_128,aVWAP_valley_124,aVWAP_valley_97,aVWAP_valley_92,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_49,aVWAP_valley_39,aVWAP_valley_27,aVWAP_OB_bull_171,aVWAP_OB_bull_70,aVWAP_OB_bull_27,aVWAP_OB_bear_164,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,58.6919021293,59.7742031844,57.0225903325,57.4078161318,21913090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,21913090.0,False,False,False,False
2022-01-07 00:00:00+00:00,65.0572998599,65.1306762026,58.9487193288,59.1046440571,37440455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37440455,2773367.037037037,False,False,False,False,23063265.185185187,False,False,False,False
2022-01-14 00:00:00+00:00,68.5518481817,68.5747782888,64.075891276,65.0756439455,32356756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,69797211,7738096.219478738,False,False,False,False,23751671.912208505,False,False,False,False
2022-01-21 00:00:00+00:00,64.8463428746,69.5974610654,64.0575471904,68.762805167,31766857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,91.53843218044862,42.00117417058034,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,38030354,9981967.166184016,False,False,False,False,24345389.326118987,False,False,False,False
2022-01-28 00:00:00+00:00,65.8552675869,67.2173159485,61.9021171231,63.3329558061,45220211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.16736383929373,37.27089262193114,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,83250565,15409270.709429644,False,False,False,False,25891672.413073134,False,False,False,False
2022-02-04 00:00:00+00:00,71.7162029613,72.3995201528,64.5069772895,65.5434181303,40217538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,84.90962688618886,36.555297909232664,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,123468103,23413628.6568793,False,False,False,False,26952847.641734384,False,False,False,False
2022-02-11 00:00:00+00:00,74.4678158131,74.6466706484,71.330977162,71.6978588756,33698790,,,,,,,,,,,,,,,,,,73.48182120783335,,,,,,,,,,,,,,,,,,,,,73.48182120783335,#000000,,73.48182120783335,,84.75504722454264,36.555297909232664,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,157166893,33321277.86748083,False,False,False,False,27452547.075679988,False,False,False,False
2022-02-18 00:00:00+00:00,71.1656218752,74.3852674275,70.3894712341,74.1651383994,28475765,,,,,,,,,,,,,,,,,,72.7940465128763,,,,,,,,,,,,,,,,,,,,,72.7940465128763,#000000,,72.7940465128763,,80.90590285911898,33.43254118697595,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,128691128,40385711.210630395,False,False,False,False,27528340.99599999,False,False,False,False
2022-02-25 00:00:00+00:00,70.7221072232,72.6255242715,67.2201894498,72.4961658313,23370255,,,,,,,,,,,,,,,,,,72.08244044273195,,,,,,,,,,,,,,,,,,,,,72.08244044273195,#000000,,72.08244044273195,,77.71187087801697,30.74361558468722,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,105320873,45195723.19502814,False,False,False,False,27220334.625925913,False,False,False,False
2022-03-04 00:00:00+00:00,71.8216539647,73.2538366952,68.6708519575,69.8627975848,34905342,,,,,,,,,,,,,,,,,,71.84085359598657,,,,,,,,,,,,,,,,,,,,,71.84085359598657,#000000,,71.84085359598657,,75.90452029483107,29.374455546756494,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,140226215,52235018.884285316,False,False,False,False,27789594.431412883,False,False,False,False
