date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_176,aVWAP_peak_164,aVWAP_peak_158,aVWAP_peak_153,aVWAP_peak_143,aVWAP_peak_135,aVWAP_peak_105,aVWAP_peak_89,aVWAP_peak_75,aVWAP_peak_57,aVWAP_peak_29,aVWAP_peak_20,aVWAP_peak_8,aVWAP_valley_171,aVWAP_valley_151,aVWAP_valley_141,aVWAP_valley_131,aVWAP_valley_121,aVWAP_valley_114,aVWAP_valley_100,aVWAP_valley_70,aVWAP_valley_64,aVWAP_valley_59,aVWAP_valley_51,aVWAP_valley_45,aVWAP_valley_27,aVWAP_valley_17,aVWAP_valley_11,aVWAP_valley_4,aVWAP_OB_bear_164,aVWAP_OB_bear_135,aVWAP_OB_bear_105,aVWAP_OB_bear_75,aVWAP_OB_bear_20,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,20.97,22.28,19.6,19.6,3637922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3637922.0,False,False,False,False
2022-01-07 00:00:00+00:00,18.29,20.97,17.9,20.95,7023786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7023786,-520280.44444444444,False,False,False,False,3888726.7407407407,False,False,False,False
2022-01-14 00:00:00+00:00,19.95,20.74,17.55,18.09,6028799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,11.39744587357532,-78.49361468393829,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-994987,-555443.8930041152,False,False,False,False,4047250.611796982,False,False,False,False
2022-01-21 00:00:00+00:00,18.0,20.06,17.915,20.06,2445591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.728852639918754,-73.77578390391812,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3440578,-769157.5305593659,False,False,False,False,3928609.1590712797,False,False,False,False
2022-01-28 00:00:00+00:00,17.23,18.21,16.53,17.65,3705137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.32333333333333,,,,,,17.32333333333333,#000000,,17.32333333333333,,17.882628272805686,-70.82667704448599,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7145715,-1241495.1208883016,False,False,False,False,3912055.6658067405,False,False,False,False
2022-02-04 00:00:00+00:00,18.41,18.54,17.3,17.3,2193749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.605971316166023,,,,,,17.605971316166023,#000000,,17.605971316166023,,23.12699157113024,-64.65535649813219,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4951966,-1516344.8156373166,False,False,False,False,3784773.6905617965,False,False,False,False
2022-02-11 00:00:00+00:00,18.61,18.98,18.36,18.43,1678744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.837264858977456,,,,,,17.837264858977456,#000000,,17.837264858977456,,27.415541608810564,-59.30128570903292,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3273222,-1646483.8663308485,False,False,False,False,3628771.4912609225,False,False,False,False
2022-02-18 00:00:00+00:00,18.78,18.98,18.0,18.6,2453807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.02057731974658,,,,,,18.02057731974658,#000000,,18.02057731974658,,30.945546813564484,-54.57483791176753,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-819415,-1585219.5058618968,False,False,False,False,3541737.084500854,False,False,False,False
2022-02-25 00:00:00+00:00,18.22,19.0,17.31,18.55,2291310,,,,,,,,,,,,,,18.176666666666666,,,,,,,,,,,,,,,,18.04960080627044,,,,,,18.113133736468555,#000000,,18.113133736468555,,32.49820846764558,-51.63605507066909,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3110725,-1698219.9128350897,False,False,False,False,3449112.8560193093,False,False,False,False
2022-03-04 00:00:00+00:00,17.14,18.295,17.06,18.22,2816865,,,,,,,,,,,,,,17.802604809937012,,,,,,,,,,,,,,,,17.947032388390582,,,,,,17.874818599163795,#000000,,17.874818599163795,,32.05039084653641,-50.513765816336345,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5927590,-2011506.5859584163,False,False,False,False,3402279.68149936,False,False,False,False
2022-03-11 00:00:00+00:00,16.3,17.17,15.8,17.13,3206205,,,,,,,,,,,,,,17.27072785643668,,,,,,,,,,,,,,,,17.680743264890666,,,,,,17.475735560663672,#000000,,17.475735560663672,,30.749863431384227,-50.17448780013706,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9133795,-2539083.5055170525,False,False,False,False,3387755.6310179257,False,False,False,False
