date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_179,aVWAP_peak_178,aVWAP_peak_167,aVWAP_peak_153,aVWAP_peak_147,aVWAP_peak_133,aVWAP_peak_115,aVWAP_peak_109,aVWAP_peak_81,aVWAP_peak_59,aVWAP_peak_47,aVWAP_peak_37,aVWAP_peak_16,aVWAP_peak_7,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_162,aVWAP_valley_150,aVWAP_valley_141,aVWAP_valley_135,aVWAP_valley_126,aVWAP_valley_120,aVWAP_valley_111,aVWAP_valley_92,aVWAP_valley_63,aVWAP_valley_53,aVWAP_valley_41,aVWAP_valley_24,aVWAP_valley_20,aVWAP_valley_10,aVWAP_valley_4,aVWAP_OB_bull_63,aVWAP_OB_bull_24,aVWAP_OB_bear_147,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,53.8052893304,54.1067691981,52.4175952335,52.5993698596,3076949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3076949.0,False,False,False,False
2022-01-07 00:00:00+00:00,51.6949302565,53.9471622093,51.2870457296,53.1313931555,6650004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6650004,-492592.8888888889,False,False,False,False,3341619.7407407407,False,False,False,False
2022-01-14 00:00:00+00:00,50.7106871589,53.1668613752,49.9436869073,51.5796585423,8012593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14662597,-1542222.8230452673,False,False,False,False,3687617.75994513,False,False,False,False
2022-01-21 00:00:00+00:00,49.1146172711,50.6663518843,49.0791490514,50.4180743462,5462970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20125567,-2918766.8361530253,False,False,False,False,3819125.333282528,False,False,False,False
2022-01-28 00:00:00+00:00,48.7422009639,49.5313688529,47.4121427241,48.5648598653,6592377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.561904180300004,,,,48.561904180300004,#000000,,48.561904180300004,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26717944,-4681668.848289838,False,False,False,False,4024551.3826690074,False,False,False,False
2022-02-04 00:00:00+00:00,49.4249641937,50.8082247632,48.5027904808,48.6889986343,4924309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.996648942011085,,,,48.996648942011085,#000000,,48.996648942011085,,4.045235007315861,-46.175988782146725,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-21793635,-5949221.896564664,False,False,False,False,4091200.095063896,False,False,False,False
2022-02-11 00:00:00+00:00,50.9500976421,51.9343407396,49.3185595345,49.5579700177,5015241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5238048217118,,,,49.5238048217118,#000000,,49.5238048217118,,13.142087336215035,-37.74253840708116,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16778394,-6751382.79311543,False,False,False,False,4159647.5695036077,False,False,False,False
2022-02-18 00:00:00+00:00,50.5865483899,52.9628304413,50.1878856001,50.7993577083,8071451,,,,,,,,,,,,,,,51.24575481043333,,,,,,,,,,,,,,,,,50.08871241116624,,,,50.667233610799784,#000000,,50.667233610799784,,19.01735099555859,-32.682673072772815,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-24849845,-8092009.623255027,False,False,False,False,4449410.786577415,False,False,False,False
2022-02-25 00:00:00+00:00,50.5510801702,50.9589646971,48.0683047891,50.0633921489,5299755,,,,,,,,,,,,,,,50.69628481815165,,,,,,,,,,,,,,,,,50.048080039404766,,,,50.37218242877821,#000000,,50.37218242877821,,23.153235526891695,-29.370696193284395,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30149600,-9725905.206717618,False,False,False,False,4512399.246830939,False,False,False,False
2022-03-04 00:00:00+00:00,49.2121548754,50.178663863,48.3077152722,49.8594498854,7313920,,,,,,,,,,,,,,,50.178836475467804,,,,,,,,,,,,,,,,,49.88786944262446,,,,50.033352959046134,#000000,,50.033352959046134,,24.162601595116563,-29.007897694731408,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-37463520,-11780543.33955335,False,False,False,False,4719919.30262124,False,False,False,False
2022-03-11 00:00:00+00:00,50.0722592038,51.623993817,47.8909636904,49.5402359079,8947728,,,,,,,,,,,,,,,50.083289226818025,,,,,,,,,,,,,,,,49.8624055704,49.882933996218,,,,49.94287626447868,#000000,,49.94287626447868,,27.45406511189376,-26.341925333154123,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-28515792,-13020191.388475325,False,False,False,False,5033090.317241889,False,False,False,False
2022-03-18 00:00:00+00:00,51.7836008058,51.8722713551,49.3362936444,50.1077274235,10674633,,,,,,,,,,,,,,,50.325370191902906,,,,,,,,,,,,,,,,50.47984030830267,50.092232317087245,,,,50.29914760576427,#000000,,50.29914760576427,,33.6156095654582,-20.936919656890048,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17841159,-13377300.100440117,False,False,False,False,5450982.367816564,False,False,False,False
2022-03-25 00:00:00+00:00,51.2619046264,52.2821310802,50.2953743017,51.8722713551,7030253,,,,,,,,,,,,,,,50.46711558311277,,,,,,,,,,,,,,,,50.69084934764347,50.222950467208925,,,,50.46030513265506,#000000,,50.46030513265506,,37.12831695841654,-18.124405181755517,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-24871412,-14228715.796703812,False,False,False,False,5567965.3776079295,False,False,False,False
