date,Open,High,Low,Close,Volume,aVWAP_peak_410,aVWAP_peak_406,aVWAP_peak_405,aVWAP_peak_404,aVWAP_peak_403,aVWAP_peak_291,aVWAP_peak_290,aVWAP_peak_256,aVWAP_peak_237,aVWAP_peak_219,aVWAP_peak_218,aVWAP_peak_149,aVWAP_peak_113,aVWAP_peak_80,aVWAP_peak_70,aVWAP_peak_42,aVWAP_valley_416,aVWAP_valley_397,aVWAP_valley_342,aVWAP_valley_322,aVWAP_valley_265,aVWAP_valley_241,aVWAP_valley_191,aVWAP_valley_167,aVWAP_valley_121,aVWAP_valley_92,aVWAP_valley_66,aVWAP_OB_bull_342,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,4.695,4.705,4.69,4.69,1440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1440.0,False,False,False,False
2023-12-15 17:00:00+00:00,4.685,4.69,4.665,4.665,2040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2040.0,-31.627906976744185,False,False,False,False,1449.3023255813955,False,False,False,False
2023-12-18 17:00:00+00:00,4.69,4.695,4.675,4.685,1446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.78947368421023,-73.68421052631535,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-594.0,-40.34685415539931,False,False,False,False,1449.2511267351722,False,False,False,False
2023-12-19 17:00:00+00:00,4.705,4.715,4.695,4.705,14383.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,32.41472780664078,-57.14253444770683,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13789.0,174.0616242035991,False,False,False,False,1649.7743650803634,False,False,False,False
2023-12-20 17:00:00+00:00,4.705,4.715,4.67,4.685,22703.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,37.344488803861424,-51.17694900808045,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8914.0,33.16144398338827,False,False,False,False,1976.1809640713655,False,False,False,False
2023-12-21 17:00:00+00:00,4.645,4.665,4.625,4.66,3816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.172787464839544,-50.262035325387174,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12730.0,-164.7170280163542,False,False,False,False,2004.7052902097937,False,False,False,False
2023-12-22 17:00:00+00:00,4.675,4.675,4.655,4.66,1121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,35.39165323882496,-48.328456448496446,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12730.0,-359.5276167292789,False,False,False,False,1991.0044329972386,False,False,False,False
2023-12-25 17:00:00+00:00,4.66,4.66,4.66,4.66,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.87089708814857,-45.815067440888214,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12730.0,-551.3178862373521,False,False,False,False,1960.1361472143356,False,False,False,False
2023-12-26 17:00:00+00:00,4.715,4.73,4.685,4.685,3013.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,40.86411292025215,-37.251881709531375,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9717.0,-693.4214849003389,False,False,False,False,1976.4596178001598,False,False,False,False
2023-12-27 17:00:00+00:00,4.71,4.735,4.7,4.705,2796.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,4.713333333333334,,48.08989749168326,-27.979255074529938,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6921.0,-789.973089785605,False,False,False,False,1989.1656702373664,False,False,False,False
