date,Close,High,Low,Open,Volume,aVWAP_peak_33,aVWAP_peak_24,aVWAP_peak_16,aVWAP_peak_15,aVWAP_valley_36,aVWAP_valley_27,aVWAP_valley_26,aVWAP_valley_21,aVWAP_valley_4,aVWAP_OB_bull_21,aVWAP_OB_bear_1,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,9.68,9.75,9.68,9.7,11213,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,11213.0,False,False,False,False
2022-01-07 00:00:00+00:00,9.75,9.75,9.7,9.705,16264,,,,,,,,,,,9.733333333333333,,#000000,,,,100.0,,False,False,True,False,False,,-1.0,9.75,9.7,11.0,0,,,False,False,False,False,,,False,False,False,False,16264,1204.7407407407406,False,False,False,False,11587.148148148148,False,False,False,False
2022-01-14 00:00:00+00:00,9.7,9.73,9.7,9.71,213466,,,,,,,,,,,9.711651910213439,,#000000,,,,87.61354252683725,-5.739058629232375,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-197202,-13492.054869684498,False,False,False,False,26541.137174211246,False,False,False,False
2022-01-21 00:00:00+00:00,9.67,9.73,9.65,9.7,9075,,,,,,,,,,,9.710575755672341,,#000000,,,,75.23851220204232,-5.739058629232375,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-206277,-27772.421175633794,False,False,False,False,25247.349235380785,False,False,False,False
2022-01-28 00:00:00+00:00,9.67,9.73,9.65,9.67,123902,,,,,,,,,9.683333333333335,,9.701269647401347,9.683333333333335,#000000,,9.683333333333335,,66.39920482718878,-5.739058629232375,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-206277,-40994.982570031294,False,False,False,False,32555.1011438711,False,False,False,False
2022-02-04 00:00:00+00:00,9.67,9.68,9.66,9.66,20763,,,,,,,,,9.681419670733534,,9.699576550968786,9.681419670733534,#000000,,9.681419670733534,,60.085413845150555,-5.739058629232375,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-206277,-53238.0949722512,False,False,False,False,31681.612170251017,False,False,False,False
2022-02-11 00:00:00+00:00,9.7,9.7,9.67,9.67,262414,,,,,,,,,9.686950780233484,,9.695685726848783,9.686950780233484,#000000,,9.686950780233484,,58.939811188292026,-5.739058629232375,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,56137,-45136.23608541778,False,False,False,False,48772.90015763983,False,False,False,False
2022-02-18 00:00:00+00:00,9.68,9.7,9.68,9.7,2199,,,,,,,,,9.68694925372648,,9.695655124420792,9.68694925372648,#000000,,9.68694925372648,,56.019624535612024,-5.739058629232375,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,53938,-37797.403782794245,False,False,False,False,45322.981627444286,False,False,False,False
2022-02-25 00:00:00+00:00,9.69,9.71,9.6899,9.69,8660,,,,,,,,,9.687149915378198,,9.695668023361751,9.687149915378198,#000000,,9.687149915378198,,54.89589178103911,-5.739058629232375,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,62598,-30360.707206290965,False,False,False,False,42607.20521059656,False,False,False,False
2022-03-04 00:00:00+00:00,9.735,9.75,9.69,9.7069,31675,,,,,,,,,9.68981643398508,,9.697017625434933,9.68981643398508,#000000,,9.68981643398508,,57.38515024866827,-5.739058629232375,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,94273,-21128.58074656571,False,False,False,False,41797.41223203386,False,False,False,False
