date,Open,High,Low,Close,Volume,aVWAP_peak_869,aVWAP_peak_833,aVWAP_peak_798,aVWAP_peak_768,aVWAP_peak_751,aVWAP_peak_738,aVWAP_peak_676,aVWAP_peak_633,aVWAP_peak_620,aVWAP_peak_575,aVWAP_peak_574,aVWAP_peak_552,aVWAP_peak_519,aVWAP_peak_498,aVWAP_peak_459,aVWAP_peak_457,aVWAP_peak_440,aVWAP_peak_425,aVWAP_peak_387,aVWAP_peak_370,aVWAP_peak_360,aVWAP_peak_321,aVWAP_peak_228,aVWAP_peak_211,aVWAP_peak_165,aVWAP_peak_137,aVWAP_peak_113,aVWAP_peak_82,aVWAP_peak_21,aVWAP_valley_881,aVWAP_valley_852,aVWAP_valley_779,aVWAP_valley_725,aVWAP_valley_665,aVWAP_valley_626,aVWAP_valley_602,aVWAP_valley_510,aVWAP_valley_469,aVWAP_valley_468,aVWAP_valley_396,aVWAP_valley_375,aVWAP_valley_335,aVWAP_valley_281,aVWAP_valley_209,aVWAP_valley_155,aVWAP_valley_127,aVWAP_valley_106,aVWAP_valley_73,aVWAP_valley_53,aVWAP_OB_bull_852,aVWAP_OB_bull_779,aVWAP_OB_bull_469,aVWAP_OB_bear_738,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,20.745,20.745,20.215,20.68,1134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1134.0,False,False,False,False
2025-02-03 16:00:00+00:00,20.68,21.06,20.59,20.73,1765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1765.0,27.364341085271317,False,False,False,False,1143.782945736434,False,False,False,False
2025-02-03 17:00:00+00:00,20.73,20.73,20.27,20.31,748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,69.85645933014358,-55.502392344497466,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1017.0,42.707529595577185,False,False,False,False,1137.646776035094,False,False,False,False
2025-02-03 18:00:00+00:00,20.31,20.34,19.98,20.13,879.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,48.7922695687005,-55.502392344497466,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,138.0,44.18493223750622,False,False,False,False,1133.6367484996663,False,False,False,False
2025-02-03 19:00:00+00:00,20.13,20.27,20.04,20.16,1444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.425264492737824,-55.502392344497466,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1582.0,68.02702631134332,False,False,False,False,1138.4485818562605,False,False,False,False
2025-02-03 20:00:00+00:00,20.16,20.29,19.86,19.88,4788.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,26.772766319551167,-55.502392344497466,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3206.0,17.266917376283743,False,False,False,False,1195.0307743856208,False,False,False,False
2025-02-04 15:00:00+00:00,19.71,19.97,19.57,19.895,988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.99499146865292,-55.502392344497466,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2218.0,-17.3883836683098,False,False,False,False,1191.8209949377817,False,False,False,False
2025-02-04 16:00:00+00:00,19.925,20.015,19.835,19.92,2297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.302845799435417,-55.502392344497466,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,79.0,-15.893990123064684,False,False,False,False,1208.9555531558008,False,False,False,False
2025-02-04 17:00:00+00:00,19.92,20.015,19.795,19.91,1256.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,16.434902305319504,-55.502392344497466,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1177.0,-33.895633687048175,False,False,False,False,1209.684924424703,False,False,False,False
2025-02-04 18:00:00+00:00,19.91,19.91,19.68,19.81,1767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.51021427141058,-55.502392344497466,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2944.0,-79.01353083918696,False,False,False,False,1218.325468232072,False,False,False,False
