date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_162,aVWAP_peak_154,aVWAP_peak_147,aVWAP_peak_134,aVWAP_peak_125,aVWAP_peak_119,aVWAP_peak_111,aVWAP_peak_90,aVWAP_peak_84,aVWAP_peak_67,aVWAP_peak_55,aVWAP_peak_45,aVWAP_peak_37,aVWAP_peak_16,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_159,aVWAP_valley_150,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_116,aVWAP_valley_95,aVWAP_valley_83,aVWAP_valley_78,aVWAP_valley_62,aVWAP_valley_51,aVWAP_valley_41,aVWAP_valley_27,aVWAP_valley_19,aVWAP_valley_5,aVWAP_OB_bull_171,aVWAP_OB_bull_136,aVWAP_OB_bull_95,aVWAP_OB_bear_67,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,40.8667870818,41.6190477445,40.4634666061,40.4951884413,143770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,143770.0,False,False,False,False
2022-01-07 00:00:00+00:00,37.3411316871,40.9585085024,37.0123122071,40.6130124005,305857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-305857,-22656.074074074073,False,False,False,False,155776.44444444444,False,False,False,False
2022-01-14 00:00:00+00:00,35.3925046695,38.193089546,35.0571595548,36.9423429021,281195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-587052,-64463.17969821673,False,False,False,False,165066.70781893004,False,False,False,False
2022-01-21 00:00:00+00:00,33.7973495294,36.389476632,33.6342086628,34.6674341513,246389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-833441,-121424.49972057104,False,False,False,False,171090.5813138241,False,False,False,False
2022-01-28 00:00:00+00:00,31.2686660972,34.2414552218,30.4529617642,33.3169903111,731022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1564463,-228316.24048201024,False,False,False,False,212566.98269798528,False,False,False,False
2022-02-04 00:00:00+00:00,30.7792434974,32.6191099374,30.2526610336,30.9333209826,329134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.2170048228,,,,,31.2170048228,#000000,,31.2170048228,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1893597,-351670.3708166762,False,False,False,False,221201.57657220858,False,False,False,False
2022-02-11 00:00:00+00:00,33.5435748481,34.2585850128,30.5889124864,30.7792434974,749430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.31486629298444,,,,,32.31486629298444,#000000,,32.31486629298444,,7.38378966889091,-43.02001132862656,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1144167,-410373.82483025576,False,False,False,False,260329.60793723015,False,False,False,False
2022-02-18 00:00:00+00:00,34.7490045846,36.8426457059,33.7610960035,34.1236312626,829132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.53299610027248,,,,,33.53299610027248,#000000,,33.53299610027248,,14.940572741805978,-36.17934057814964,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-315035,-403311.6896576442,False,False,False,False,302463.1184603983,False,False,False,False
2022-02-25 00:00:00+00:00,34.8758919252,35.5202983483,33.2545436127,34.8577651623,511072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.747934961683555,,,,,33.747934961683555,#000000,,33.747934961683555,,20.565223422946858,-31.393062832376053,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,196037,-358915.4904237446,False,False,False,False,317915.6282040725,False,False,False,False
2022-03-04 00:00:00+00:00,39.7429277786,40.107541795,34.7399412031,35.0209060289,917614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.97151911348431,,,,,34.97151911348431,#000000,,34.97151911348431,,30.753444498447465,-22.373291152843045,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1113651,-249836.4911330969,False,False,False,False,362337.7298185856,False,False,False,False
