date,Open,High,Low,Close,Volume,aVWAP_peak_420,aVWAP_peak_369,aVWAP_peak_300,aVWAP_peak_248,aVWAP_peak_188,aVWAP_peak_154,aVWAP_peak_109,aVWAP_peak_63,aVWAP_valley_430,aVWAP_valley_391,aVWAP_valley_344,aVWAP_valley_322,aVWAP_valley_281,aVWAP_valley_264,aVWAP_valley_195,aVWAP_valley_172,aVWAP_valley_151,aVWAP_valley_88,aVWAP_valley_43,aVWAP_valley_25,aVWAP_OB_bull_344,aVWAP_OB_bull_195,aVWAP_OB_bull_25,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,49.9,50.55,49.81,50.46,710582.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,710582.0,False,False,False,False
2023-12-15 17:00:00+00:00,50.595,50.76,49.92,50.305,614617.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-614617.0,-9528.945736434109,False,False,False,False,709094.1705426356,False,False,False,False
2023-12-18 17:00:00+00:00,50.32,50.39,49.535,49.645,474852.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1089469.0,-26272.20239168319,False,False,False,False,705462.508983835,False,False,False,False
2023-12-19 17:00:00+00:00,49.675,50.33,49.625,50.08,309990.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.6733207445373,-38.59401132991643,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-779479.0,-37949.82716080438,False,False,False,False,699331.1522554033,False,False,False,False
2023-12-20 17:00:00+00:00,50.47,50.565,49.295,49.33,277953.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,15.743062074590494,-36.59164337754079,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1057432.0,-53755.75232110199,False,False,False,False,692798.1576467924,False,False,False,False
2023-12-21 17:00:00+00:00,49.375,49.485,49.115,49.46,200873.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,19.77999498878697,-33.54813449839235,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-856559.0,-66202.3143006198,False,False,False,False,685171.4110166095,False,False,False,False
2023-12-22 17:00:00+00:00,49.535,49.685,49.085,49.17,148666.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,20.97684889441871,-32.97363218626735,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1005225.0,-80760.80555177297,False,False,False,False,676853.4976675148,False,False,False,False
2023-12-25 17:00:00+00:00,49.17,49.17,49.17,49.17,0.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,21.774751498173202,-32.495805619505184,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1005225.0,-95093.58376027261,False,False,False,False,666359.6449904991,False,False,False,False
2023-12-26 17:00:00+00:00,49.5,49.665,49.455,49.635,151682.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,28.595855797676805,-26.390838128919892,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-853543.0,-106852.48943840791,False,False,False,False,658380.1466185534,False,False,False,False
2023-12-27 17:00:00+00:00,49.27,49.385,49.155,49.275,268675.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,30.6571222604192,-24.794558113095587,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1122218.0,-122594.59037734731,False,False,False,False,652338.2063609014,False,False,False,False
