date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_peak_180,aVWAP_peak_159,aVWAP_peak_139,aVWAP_peak_134,aVWAP_peak_119,aVWAP_peak_94,aVWAP_peak_84,aVWAP_peak_76,aVWAP_peak_56,aVWAP_peak_45,aVWAP_peak_32,aVWAP_peak_23,aVWAP_peak_12,aVWAP_peak_5,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_162,aVWAP_valley_158,aVWAP_valley_141,aVWAP_valley_137,aVWAP_valley_127,aVWAP_valley_122,aVWAP_valley_116,aVWAP_valley_102,aVWAP_valley_86,aVWAP_valley_79,aVWAP_valley_74,aVWAP_valley_63,aVWAP_valley_50,aVWAP_valley_44,aVWAP_valley_28,aVWAP_valley_19,aVWAP_valley_11,aVWAP_OB_bull_182,aVWAP_OB_bear_139,aVWAP_OB_bear_94,aVWAP_OB_bear_56,aVWAP_OB_bear_23,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,14.4120903345,14.8295136826,14.0166366363,14.2363331353,1563055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,1563055.0,False,False,False,False
2022-01-07 00:00:00+00:00,14.7636047329,14.8075440327,14.2407270653,14.5790596737,1524797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1524797,112947.92592592591,False,False,False,False,1560221.074074074,False,False,False,False
2022-01-14 00:00:00+00:00,16.5651160247,16.5826917446,14.7196654331,15.0360283917,2044392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3569189,368965.7832647462,False,False,False,False,1596085.5871056241,False,False,False,False
2022-01-21 00:00:00+00:00,17.7690528392,18.3139001568,17.0089029527,17.6284470799,3026974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6596163,830239.6511710612,False,False,False,False,1702077.3213940966,False,False,False,False
2022-01-28 00:00:00+00:00,18.9114746341,19.3948069319,16.512388865,17.2066298018,3380686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9976849,1507766.2696028342,False,False,False,False,1826418.704994534,False,False,False,False
2022-02-04 00:00:00+00:00,19.9308663894,20.8360159653,19.2542011725,19.5090491113,2577306,,,,,,,,,,,,,,,20.007027842399996,,,,,,,,,,,,,,,,,,,,,,,,,,20.007027842399996,#000000,,20.007027842399996,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,12554155,2326017.286669291,False,False,False,False,1882039.98610605,False,False,False,False
2022-02-11 00:00:00+00:00,19.1663225729,19.7814727701,18.8148081745,19.5090491113,1805638,,,,,,,,,,,,,,,19.696886430010313,,,,,,,,,,,,,,,,,,,,,,,,,,19.696886430010313,#000000,,19.696886430010313,,95.88313465553944,46.10827572906463,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10748517,2949906.1543234177,False,False,False,False,1876380.579727824,False,False,False,False
2022-02-18 00:00:00+00:00,19.1135954131,19.9045028095,18.709353855,19.7551091902,1783466,,,,,,,,,,,,,,,19.565462921338582,,,,,,,,,,,,,,,,,,,,,,,,,,19.565462921338582,#000000,,19.565462921338582,,92.68489017945302,43.25379105290807,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8965051,3395472.4391883495,False,False,False,False,1869498.0182665037,False,False,False,False
2022-02-25 00:00:00+00:00,19.8517756498,19.9572299693,18.8235960345,19.4123826518,1717444,,,,,,,,,,,,,,,19.56083105854403,,,,,,,,,,,,,,,,,,,,,,,,,,19.56083105854403,#000000,,19.56083105854403,,90.99737150711545,41.912860578637535,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10682495,3935251.8881373606,False,False,False,False,1858234.7576541703,False,False,False,False
2022-03-04 00:00:00+00:00,21.3281361231,22.6006182453,19.6760184506,19.8869270896,2472319,,,,,,,,,,,,,,,19.95252805207023,,,,,,,,,,,,,,,,,,,,,,,,,,19.95252805207023,#000000,,19.95252805207023,,90.64668632713534,41.83240556684012,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13154814,4618182.414942001,False,False,False,False,1903722.4793094168,False,False,False,False
