date,Close,High,Low,Open,Volume,aVWAP_peak_99,aVWAP_peak_81,aVWAP_peak_72,aVWAP_peak_59,aVWAP_peak_55,aVWAP_peak_44,aVWAP_peak_38,aVWAP_peak_24,aVWAP_peak_4,aVWAP_valley_91,aVWAP_valley_75,aVWAP_valley_68,aVWAP_valley_52,aVWAP_valley_42,aVWAP_valley_27,aVWAP_valley_15,aVWAP_valley_6,aVWAP_OB_bull_91,aVWAP_OB_bear_72,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-07-14 00:00:00+00:00,24.8302883962,25.1820159859,24.8232271261,24.9954648633,2817,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2817.0,False,False,False,False
2023-07-21 00:00:00+00:00,25.4014878948,25.4301146656,24.8003257095,24.8003257095,6567,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6567,486.4444444444444,False,False,False,False,3094.777777777778,False,False,False,False
2023-07-28 00:00:00+00:00,25.7417647763,25.7831781713,25.3650364734,25.4682836932,1779,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8346,1068.633744855967,False,False,False,False,2997.312757201646,False,False,False,False
2023-08-04 00:00:00+00:00,25.6630235818,25.9243695111,25.4848114582,25.8804137692,1391,,,,,,,,,,,,,,,,,,,,,#000000,,,,97.48325285166203,47.620887461336764,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6955,1504.660874866636,False,False,False,False,2878.326627038561,False,False,False,False
2023-08-11 00:00:00+00:00,26.0476368781,26.3064983488,25.7141460945,25.7141460945,2873,,,,,,,,,26.02276044046667,,,,,,,,,,,26.02276044046667,#000000,,26.02276044046667,,96.47969419147432,46.77543687263412,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9828,2121.204513765404,False,False,False,False,2877.9320620727417,False,False,False,False
2023-08-18 00:00:00+00:00,25.5183516487,26.1008616249,25.4092265843,26.0008143898,1880,,,,,,,,,25.885660927781345,,,,,,,,,,,25.885660927781345,#000000,,25.885660927781345,,87.23793049762129,38.15551264362631,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7948,2552.818994227226,False,False,False,False,2804.011168585872,False,False,False,False
2023-08-25 00:00:00+00:00,25.3608751985,25.7045904846,25.2500301243,25.7045904846,1982,,,,,,,,,25.754068391957485,,,,,,,,25.438498602466666,,,25.596283497212077,#000000,,25.596283497212077,,78.95244889190387,30.784901932462347,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5966,2805.6472168770615,False,False,False,False,2743.121452394326,False,False,False,False
2023-09-01 00:00:00+00:00,26.049452444,26.049452444,25.5300094927,25.5300094927,1439,,,,,,,,,25.775587621455358,,,,,,,,25.622656190596715,,,25.699121906026036,#000000,,25.699121906026036,,76.6256763990066,29.25719076015416,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7405,3146.340015626909,False,False,False,False,2646.5198633280797,False,False,False,False
2023-09-08 00:00:00+00:00,25.7615620009,25.7782642365,25.5813784289,25.7782642365,265,,,,,,,,,25.773435987277235,,,,,,,,25.628724879785096,,,25.701080433531168,#000000,,25.701080433531168,,72.55996402720422,25.984485945367823,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7140,3442.1666811360265,False,False,False,False,2470.1109845630367,False,False,False,False
2023-09-15 00:00:00+00:00,25.6018560096,25.9271050596,25.5813784289,25.7883550971,546,,,,,,,,,25.76918286981489,,,,,,,,25.638365239967406,,,25.70377405489115,#000000,,25.70377405489115,,68.47996926028586,22.6812541481344,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,6594,3675.6358158666912,False,False,False,False,2327.584244965775,False,False,False,False
2023-09-22 00:00:00+00:00,25.0010208272,25.7883550971,25.0010208272,25.6189844533,850,,,,,,,,,25.725475732744805,,,,,,,,25.57566065364038,,,25.65056819319259,#000000,,25.65056819319259,,62.06828776007047,17.149275552254437,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5744,3828.8479776543436,False,False,False,False,2218.133560153495,False,False,False,False
2023-09-29 00:00:00+00:00,25.2722052367,25.4725793204,24.9761415236,25.0802518403,4818,,,,,,,,,25.56594971112737,,,,,,,,25.412456033071173,,,25.48920287209927,#000000,,25.48920287209927,,58.91007639423901,14.757910972370837,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10562,4327.599979309577,False,False,False,False,2410.7162594013844,False,False,False,False
2023-10-06 00:00:00+00:00,24.7177160406,24.9994897932,24.4699638267,24.9994897932,1655,,,,,,,,,25.481018500931558,,,,,,,,25.31457406520529,,,25.397796283068423,#000000,,25.397796283068423,,54.20476258142199,10.805663663900248,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8907,4666.814795657016,False,False,False,False,2354.737277223504,False,False,False,False
2023-10-13 00:00:00+00:00,25.0904465473,25.3598591095,25.0098432158,25.1374092494,1337,,,,,,,,,25.456192843718554,,,,,,,,25.29785730202212,,,25.37702507287034,#000000,,25.37702507287034,,52.61936308130937,9.780393161926561,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10244,5079.939625608347,False,False,False,False,2279.3493307625035,False,False,False,False
2023-10-20 00:00:00+00:00,24.7384179664,25.5802962824,24.7384179664,25.3103086667,40489,,,,,,,,,25.15172873271794,,,,,,,,25.08638001832263,,,25.119054375520285,#000000,,25.119054375520285,,50.11772123791896,7.732517526037036,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-30245,2463.2774311188405,False,False,False,False,5109.693824780095,False,False,False,False
