date,Close,High,Low,Open,Volume,aVWAP_peak_184,aVWAP_peak_161,aVWAP_peak_153,aVWAP_peak_152,aVWAP_peak_132,aVWAP_peak_124,aVWAP_peak_118,aVWAP_peak_81,aVWAP_peak_68,aVWAP_peak_57,aVWAP_peak_46,aVWAP_peak_33,aVWAP_peak_23,aVWAP_peak_13,aVWAP_valley_187,aVWAP_valley_182,aVWAP_valley_171,aVWAP_valley_155,aVWAP_valley_149,aVWAP_valley_136,aVWAP_valley_120,aVWAP_valley_95,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_52,aVWAP_valley_41,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_8,aVWAP_valley_4,aVWAP_OB_bull_95,aVWAP_OB_bull_63,aVWAP_OB_bull_52,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,5.7851358037,5.8265568237,5.7161007702,5.7506182869,4578215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4578215.0,False,False,False,False
2022-01-07 00:00:00+00:00,5.7437147836,5.8645260921,5.7091972668,5.8265568237,7092768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7092768,-525390.2222222222,False,False,False,False,4764478.185185185,False,False,False,False
2022-01-14 00:00:00+00:00,5.7299077769,5.8058463137,5.6263552267,5.7368112802,7507553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-14600321,-1567977.6872427983,False,False,False,False,4967668.912208505,False,False,False,False
2022-01-21 00:00:00+00:00,5.3029675866,5.6953902602,5.2888074595,5.6815832535,8110857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22711178,-3134140.6733729616,False,False,False,False,5200497.659452319,False,False,False,False
2022-01-28 00:00:00+00:00,5.3454479678,5.387928349,4.8817038064,5.1684463795,10526829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.205026707733333,,,,5.205026707733333,#000000,,5.205026707733333,,2.4939789765646396,-47.64241049871624,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12184349,-3804526.475345335,False,False,False,False,5595040.72171511,False,False,False,False
2022-02-04 00:00:00+00:00,5.4304087302,5.5720100009,5.3100476501,5.3737682219,5649978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28621736987909,,,,5.28621736987909,#000000,,5.28621736987909,,8.384530569260447,-42.17629055270665,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6534371,-4006737.18087531,False,False,False,False,5599110.1497362135,False,False,False,False
2022-02-11 00:00:00+00:00,5.3454479678,5.5507698103,5.2888074595,5.4445688573,5885628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3152397151820905,,,,5.3152397151820905,#000000,,5.3152397151820905,,11.638290969175296,-39.41666282412553,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12419999,-4629941.760069732,False,False,False,False,5620333.694200197,False,False,False,False
2022-02-18 00:00:00+00:00,5.1684463795,5.3595372942,5.1472061889,5.3029675866,5661223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.296825519398007,,,,5.296825519398007,#000000,,5.296825519398007,,12.585042207514444,-38.88352371760262,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-18081222,-5626332.888953456,False,False,False,False,5623362.531666849,False,False,False,False
2022-02-25 00:00:00+00:00,5.1472061889,5.1967666336,4.7436425675,5.1330460618,8499711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.02920513,5.23402915256668,,,,5.13161714128334,#000000,,5.13161714128334,,13.131449843379212,-38.660723195166064,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26580933,-7178525.489771718,False,False,False,False,5836425.381173008,False,False,False,False
2022-03-04 00:00:00+00:00,5.1259659983,5.2880994532,5.0445452676,5.0905656806,6570471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.083122064579534,5.221568193620672,,,,5.1523451291001034,#000000,,5.1523451291001034,,13.391105777704901,-38.635026187240015,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-33151404,-9102442.416455295,False,False,False,False,5890799.130715748,False,False,False,False
