date,Open,High,Low,Close,Volume,aVWAP_peak_842,aVWAP_peak_791,aVWAP_peak_763,aVWAP_peak_731,aVWAP_peak_663,aVWAP_peak_648,aVWAP_peak_623,aVWAP_peak_582,aVWAP_peak_566,aVWAP_peak_528,aVWAP_peak_527,aVWAP_peak_492,aVWAP_peak_456,aVWAP_peak_392,aVWAP_peak_352,aVWAP_peak_315,aVWAP_peak_314,aVWAP_peak_247,aVWAP_peak_199,aVWAP_peak_173,aVWAP_peak_149,aVWAP_peak_106,aVWAP_peak_83,aVWAP_peak_68,aVWAP_peak_54,aVWAP_peak_19,aVWAP_valley_851,aVWAP_valley_809,aVWAP_valley_808,aVWAP_valley_767,aVWAP_valley_750,aVWAP_valley_669,aVWAP_valley_613,aVWAP_valley_572,aVWAP_valley_558,aVWAP_valley_557,aVWAP_valley_555,aVWAP_valley_536,aVWAP_valley_504,aVWAP_valley_486,aVWAP_valley_467,aVWAP_valley_433,aVWAP_valley_389,aVWAP_valley_373,aVWAP_valley_283,aVWAP_valley_282,aVWAP_valley_281,aVWAP_valley_240,aVWAP_valley_191,aVWAP_valley_162,aVWAP_valley_114,aVWAP_valley_91,aVWAP_valley_90,aVWAP_valley_59,aVWAP_valley_42,aVWAP_OB_bull_851,aVWAP_OB_bull_669,aVWAP_OB_bull_486,aVWAP_OB_bull_283,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2025-02-03 15:00:00+00:00,3.225,3.255,3.14,3.205,4545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,4545.0,False,False,False,False
2025-02-03 16:00:00+00:00,3.205,3.255,3.185,3.215,1035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1035.0,16.046511627906977,False,False,False,False,4490.581395348838,False,False,False,False
2025-02-03 17:00:00+00:00,3.215,3.24,3.2,3.205,672.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,82.3529411764706,-11.76470588235292,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,363.0,21.4256354786371,False,False,False,False,4431.3785830178485,False,False,False,False
2025-02-03 18:00:00+00:00,3.205,3.215,3.175,3.195,2526.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,64.73298997018146,-11.76470588235292,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2163.0,-12.44142863731076,False,False,False,False,4401.837829792766,False,False,False,False
2025-02-03 19:00:00+00:00,3.195,3.23,3.19,3.215,912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,63.714708821698885,-11.76470588235292,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1251.0,-31.64388710805013,False,False,False,False,4347.731816927761,False,False,False,False
2025-02-03 20:00:00+00:00,3.215,3.23,3.19,3.205,5029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,58.83537185130046,-11.76470588235292,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6280.0,-128.51762529242146,False,False,False,False,4358.294114339734,False,False,False,False
2025-02-04 15:00:00+00:00,3.18,3.19,3.135,3.16,1105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,47.26504631413181,-11.76470588235292,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7385.0,-241.02122800106608,False,False,False,False,4307.855445900358,False,False,False,False
2025-02-04 16:00:00+00:00,3.155,3.22,3.155,3.215,2843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,49.95789566926348,-11.76470588235292,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4542.0,-307.70306942740615,False,False,False,False,4285.144508754616,False,False,False,False
2025-02-04 17:00:00+00:00,3.215,3.22,3.2,3.215,1138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,51.753128572684595,-11.76470588235292,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4542.0,-373.35108385488826,False,False,False,False,4236.351570634389,False,False,False,False
2025-02-04 18:00:00+00:00,3.215,3.25,3.215,3.22,646.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,53.62278245458993,-11.76470588235292,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3896.0,-427.96579573310703,False,False,False,False,4180.687205198197,False,False,False,False
