date,Close,High,Low,Open,Volume,aVWAP_peak_868,aVWAP_peak_856,aVWAP_peak_814,aVWAP_peak_784,aVWAP_peak_763,aVWAP_peak_740,aVWAP_peak_726,aVWAP_peak_697,aVWAP_peak_664,aVWAP_peak_633,aVWAP_peak_597,aVWAP_peak_583,aVWAP_peak_565,aVWAP_peak_535,aVWAP_peak_521,aVWAP_peak_509,aVWAP_peak_462,aVWAP_peak_449,aVWAP_peak_419,aVWAP_peak_401,aVWAP_peak_382,aVWAP_peak_381,aVWAP_peak_346,aVWAP_peak_331,aVWAP_peak_288,aVWAP_peak_263,aVWAP_peak_230,aVWAP_peak_210,aVWAP_peak_193,aVWAP_peak_175,aVWAP_peak_163,aVWAP_peak_102,aVWAP_peak_86,aVWAP_peak_72,aVWAP_peak_43,aVWAP_peak_21,aVWAP_valley_890,aVWAP_valley_861,aVWAP_valley_819,aVWAP_valley_796,aVWAP_valley_768,aVWAP_valley_746,aVWAP_valley_708,aVWAP_valley_674,aVWAP_valley_649,aVWAP_valley_625,aVWAP_valley_586,aVWAP_valley_573,aVWAP_valley_531,aVWAP_valley_515,aVWAP_valley_487,aVWAP_valley_467,aVWAP_valley_440,aVWAP_valley_396,aVWAP_valley_384,aVWAP_valley_352,aVWAP_valley_334,aVWAP_valley_301,aVWAP_valley_284,aVWAP_valley_252,aVWAP_valley_233,aVWAP_valley_223,aVWAP_valley_182,aVWAP_valley_170,aVWAP_valley_148,aVWAP_valley_126,aVWAP_valley_82,aVWAP_valley_49,aVWAP_valley_14,aVWAP_OB_bull_819,aVWAP_OB_bull_796,aVWAP_OB_bull_649,aVWAP_OB_bull_126,aVWAP_OB_bear_868,aVWAP_OB_bear_597,aVWAP_OB_bear_7,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,54.3869874509,54.5095726968,52.8996198001,53.0385497455,849226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,849226.0,False,False,False,False
2022-01-04 00:00:00+00:00,54.5749514947,56.2257661401,54.2644022049,54.6730196914,1151731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1151731,45165.92156862745,False,False,False,False,861088.9411764706,False,False,False,False
2022-01-05 00:00:00+00:00,53.2755478877,56.7977488976,53.234686139,56.2094214406,1535746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,70.54067711001794,-67.83729155992825,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-384015,28335.29719338716,False,False,False,False,887546.0807381778,False,False,False,False
2022-01-06 00:00:00+00:00,54.5422620958,55.0898095276,53.2837202374,53.929335866,1401143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,65.23527304392883,-67.83729155992825,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1017128,67111.4816171759,False,False,False,False,907687.1363955042,False,False,False,False
2022-01-07 00:00:00+00:00,56.6343836265,56.953105266,54.5259173963,54.9835689812,1212864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,68.79526915566046,-64.06971133500194,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2229992,151930.32547532587,False,False,False,False,919654.8565368571,False,False,False,False
2022-01-10 00:00:00+00:00,57.3698951022,58.3178876709,55.9887679979,56.3810407849,2126465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,72.40161791582537,-56.03141883939763,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4356457,316813.7244762935,False,False,False,False,966980.7445158039,False,False,False,False
2022-01-11 00:00:00+00:00,57.1165522606,57.9337872336,55.833493353,57.4597909492,1893193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,73.3464778038925,-49.908863104746985,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2463264,400988.2450850663,False,False,False,False,1003302.7937504783,False,False,False,False
2022-01-12 00:00:00+00:00,59.7480488735,60.1975281087,56.8223476703,57.9256148838,1820893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.922641550833326,,#000000,,,,77.1615982180009,-40.781176695335745,False,False,True,False,True,,-1.0,60.19753,56.82235,37.0,0,,,False,False,False,False,,,False,False,False,False,4284157,553269.3727287892,False,False,False,False,1035365.1547798713,False,False,False,False
2022-01-13 00:00:00+00:00,57.2881716049,59.9932193654,57.1165522606,59.9278405676,1035899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.636182545457835,,#000000,,,,71.67619150785215,-40.781176695335745,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3248258,658955.2012492288,False,False,False,False,1035386.0898865431,False,False,False,False
2022-01-14 00:00:00+00:00,58.4486452665,58.5712305125,56.9408467414,57.5905485449,1534633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.40928605960175,,#000000,,,,69.70202797257642,-37.985521234743246,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4782891,820678.1737492591,False,False,False,False,1054964.400087071,False,False,False,False
2022-01-18 00:00:00+00:00,56.7733135719,59.8134276714,56.2012490909,59.6581530265,1462740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.206075052793324,,#000000,,,,64.67195620707778,-37.985521234743246,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3320151,918696.7159551706,False,False,False,False,1070955.6000836564,False,False,False,False
2022-01-19 00:00:00+00:00,55.1878777244,57.7375691166,54.6975367406,56.9367605665,1514240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.72689063385764,,#000000,,,,58.5890166685788,-37.985521234743246,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1805911,953489.4329765365,False,False,False,False,1088339.30204116,False,False,False,False
2022-01-20 00:00:00+00:00,52.9486538985,55.8089763038,52.8097239531,54.5831238444,2253471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.820266507932295,,#000000,,,,51.61000733585678,-37.985521234743246,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-447560,898546.3179578488,False,False,False,False,1134030.7411768008,False,False,False,False
2022-01-21 00:00:00+00:00,51.5184926958,52.7770345541,50.9300835152,52.2540041714,1823949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.01099886955072,,#000000,,,,45.486585478713536,-37.985521234743246,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2271509,774230.4231359723,False,False,False,False,1161086.3591698674,False,False,False,False
2022-01-24 00:00:00+00:00,52.1069018763,52.1641083244,50.2190890888,50.2926402363,1706694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.49669976316666,,,,,,,55.42521547710164,51.49669976316666,#000000,,51.49669976316666,,42.525065593227325,-37.985521234743246,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-564815,721718.8379149538,False,False,False,False,1182482.7372416372,False,False,False,False
2022-01-25 00:00:00+00:00,54.8609837352,55.531116413,51.7391461385,52.4256235158,2560519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.02504328762659,,,,,,,55.20009849009455,53.02504328762659,#000000,,53.02504328762659,,44.90213484944131,-37.985521234743246,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1995704,771679.0403496616,False,False,False,False,1236523.374996867,False,False,False,False
2022-01-26 00:00:00+00:00,55.9233892001,57.6722720422,54.9181901833,56.258455539,1722851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.929959099491825,,,,,,,55.29606191341398,53.929959099491825,#000000,,53.929959099491825,,47.835275588752964,-34.563412730983174,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3718555,887242.8034732043,False,False,False,False,1255595.0465656174,False,False,False,False
2022-01-27 00:00:00+00:00,56.4872813314,57.7785125887,54.656674992,57.4924803482,1875539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.49687701379226,,,,,,,55.39429246073313,54.49687701379226,#000000,,54.49687701379226,,50.482272819077096,-29.228550587791958,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5594094,1071825.2033370002,False,False,False,False,1279906.5741512796,False,False,False,False
2022-01-28 00:00:00+00:00,55.8906998011,57.4597909492,55.2859459212,56.4627642822,1822984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.81961830829422,,,,,,,55.464837745321546,54.81961830829422,#000000,,54.81961830829422,,51.325411014302205,-25.7638004024871,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,3771110,1177679.5090884904,False,False,False,False,1301203.7281061315,False,False,False,False
2022-01-31 00:00:00+00:00,55.7109081071,56.4219025336,55.1061542271,55.7599422055,1025009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.90827941120432,,,,,,,55.47785809939874,54.90827941120432,#000000,,54.90827941120432,,51.601846361894566,-22.937359356950125,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2746101,1239186.234222275,False,False,False,False,1290372.5622980478,False,False,False,False
2022-02-01 00:00:00+00:00,55.956078599,56.5935218779,55.1117931484,55.2941182709,1747240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0455325629343,,,,,,,55.50777019573998,55.0455325629343,#000000,,55.0455325629343,,52.163707001214576,-19.969838544032896,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4493341,1366800.1466057152,False,False,False,False,1308288.9324040068,False,False,False,False
2022-02-02 00:00:00+00:00,56.7978306211,58.252508873,55.4739099649,57.2064481076,2622070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.84141648633334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3577358849617,,,,,,,55.63958629840905,56.09957618564752,#000000,,56.09957618564752,,53.816218455287476,-16.169618325433348,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7115411,1592235.8663466675,False,False,False,False,1359809.7585842418,False,False,False,False
2022-02-03 00:00:00+00:00,55.3186353201,56.6262112768,54.8282943363,56.0541467957,1319916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.42274865739805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.37651015711601,,,,,,,55.63728572610516,55.89962940725703,#000000,,55.89962940725703,,52.310799746159674,-15.753862041047164,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5795495,1757069.5578624844,False,False,False,False,1358245.297463291,False,False,False,False
2022-02-04 00:00:00+00:00,54.7383984893,56.4791089817,54.5014003471,55.5719781617,1200942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.14647612279946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.36717249519255,,,,,,,55.6208464460112,55.756824308996,#000000,,55.756824308996,,50.39044239502805,-15.753862041047164,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,4594553,1868343.4183384655,False,False,False,False,1352076.540700025,False,False,False,False
2022-02-07 00:00:00+00:00,54.5831238444,55.1837915495,53.8230953195,54.1091275601,1411164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.79843281307793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.30504327505818,,,,,,,55.57031065673888,55.55173804406806,#000000,,55.55173804406806,,48.85951637645528,-15.753862041047164,False,False,False,False,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,3183389,1919913.8333055845,False,False,False,False,1354393.6959666908,False,False,False,False
2022-02-08 00:00:00+00:00,53.7086824233,54.8773284347,52.719828106,54.3461257022,1751533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.3703739484316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.17545410962543,,,,,,,55.472343908187746,55.27291402902851,#000000,,55.27291402902851,,46.45004443233974,-15.753862041047164,False,False,False,True,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,1431856,1900774.3104308557,False,False,False,False,1369967.7863209383,False,False,False,False
2022-02-09 00:00:00+00:00,53.6759930244,54.0927828606,53.0794114941,53.5452354287,1519998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.09898658151868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.06909929618901,,,,,,,55.38869869492147,55.08404293885384,#000000,,55.08404293885384,,44.792007420832924,-15.753862041047164,False,False,False,True,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-88142,1822777.5923747437,False,False,False,False,1375851.3241122742,False,False,False,False
2022-02-10 00:00:00+00:00,53.626958926,54.8691560849,53.1284455925,53.1284455925,1403707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.94596550839337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.99833697500266,,,,,,,55.32821953983954,54.972151241698015,#000000,,54.972151241698015,,43.60214525789926,-15.753862041047164,False,False,False,True,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-1491849,1692792.2358110282,False,False,False,False,1376943.7035588517,False,False,False,False
2022-02-11 00:00:00+00:00,56.5117983806,56.8795541184,54.5586067952,55.0244307298,1813838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.09022437016768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.068388689759274,,,,,,,55.36037789385305,55.079306529963475,#000000,,55.079306529963475,,48.36230764493999,-12.528420911725426,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,321989,1639035.24617138,False,False,False,False,1394076.8132232106,False,False,False,False
2022-02-14 00:00:00+00:00,55.3840141179,57.1901034082,54.8691560849,56.4954536811,738963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.12905415112702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.08939595192535,,,,,,,55.369280372594204,55.10922505152618,#000000,,55.10922505152618,,49.43950026393075,-10.800400879886006,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-416974,1558407.4325960318,False,False,False,False,1368386.0754497515,False,False,False,False
2022-02-15 00:00:00+00:00,55.7926316044,56.1031808941,54.1581616585,54.4360215493,831714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.141704178760946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.097442208225786,,,,,,,55.36889268380129,55.119573193493366,#000000,,55.119573193493366,,50.82731083522131,-8.791836009952071,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,414740,1513557.7293569718,False,False,False,False,1347340.111706624,False,False,False,False
2022-02-16 00:00:00+00:00,54.4033321503,56.9122435174,53.8762155928,56.0623191455,1064263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.136424732182135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.09617473507203,,,,,,,55.360693569298874,55.11629973362709,#000000,,55.11629973362709,,49.35168398088198,-8.791836009952071,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-649523,1428731.0340880712,False,False,False,False,1336239.048502443,False,False,False,False
2022-02-17 00:00:00+00:00,54.6076408936,55.866182752,53.9211635163,54.3379533525,784768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.12030806646699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.088093484661655,,,,,,,55.34976142321138,55.10420077556432,#000000,,55.10420077556432,,48.74801708063195,-8.791836009952071,False,False,False,False,True,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,135245,1378006.0915748137,False,False,False,False,1314612.7328748961,False,False,False,False
2022-02-18 00:00:00+00:00,53.7577165217,54.9835689812,53.7168547731,54.1663340082,1050456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.062271389246085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.055312738400346,,,,,,,55.31940298612379,55.05879206382322,#000000,,55.05879206382322,,46.939765083501854,-8.791836009952071,False,False,False,True,False,,0.0,0.0,0.0,0.0,1,,,False,False,False,False,,,False,False,False,False,-915211,1288076.009552272,False,False,False,False,1304253.6453111747,False,False,False,False
