date,Close,High,Low,Open,Volume,aVWAP_peak_126,aVWAP_peak_119,aVWAP_peak_104,aVWAP_peak_82,aVWAP_peak_76,aVWAP_peak_68,aVWAP_peak_57,aVWAP_peak_48,aVWAP_peak_33,aVWAP_peak_23,aVWAP_peak_14,aVWAP_valley_136,aVWAP_valley_121,aVWAP_valley_107,aVWAP_valley_96,aVWAP_valley_74,aVWAP_valley_69,aVWAP_valley_63,aVWAP_valley_52,aVWAP_valley_41,aVWAP_valley_28,aVWAP_valley_19,aVWAP_valley_8,aVWAP_valley_4,aVWAP_OB_bear_82,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,28.3342350143,28.5711763524,27.9603613279,28.1960192337,11495,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,11495.0,False,False,False,False
2022-01-07 00:00:00+00:00,27.3556672879,28.9256011039,27.3173617716,28.5316861293,6315,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6315,-467.77777777777777,False,False,False,False,11111.296296296296,False,False,False,False
2022-01-14 00:00:00+00:00,27.2872504765,27.8473205645,26.4693092323,26.9027144299,4894,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11209,-1263.4238683127571,False,False,False,False,10650.755829903977,False,False,False,False
2022-01-21 00:00:00+00:00,25.4167960634,26.6559005361,25.4030732109,26.57692009,3873,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15082,-2287.02210028959,False,False,False,False,10148.699842503682,False,False,False,False
2022-01-28 00:00:00+00:00,23.8319546882,25.1240747853,23.4275748045,24.5036833817,12695,,,,,,,,,,,,,,,,,,,,,,,,24.127868092666667,,24.127868092666667,#000000,,24.127868092666667,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27777,-4175.16861137925,False,False,False,False,10337.31466898489,False,False,False,False
2022-02-04 00:00:00+00:00,24.5120750541,25.2135201404,24.2931017674,24.7297649084,1266,,,,,,,,,,,,,,,,,,,,,,,,24.177292139125075,,24.177292139125075,#000000,,24.177292139125075,,4.236437122688358,-45.99524303245866,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-26511,-5829.674640165972,False,False,False,False,9665.365434245268,False,False,False,False
2022-02-11 00:00:00+00:00,24.5333010489,25.5501742916,24.4049578241,24.5530461604,9221,,,,,,,,,,,,,,,,,,,,,,,,24.436709068440344,,24.436709068440344,#000000,,24.436709068440344,,7.3825234219384495,-43.19496844405907,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17290,-6678.587629783307,False,False,False,False,9632.449476153026,False,False,False,False
2022-02-18 00:00:00+00:00,24.5226386887,25.4638881543,24.259732529,24.4938108259,3203,,,,,,,,,,,,,,,,,,,,,,,,24.47458957289202,,24.47458957289202,#000000,,24.47458957289202,,9.61819071589108,-41.33730298595818,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-20493,-7701.877434984544,False,False,False,False,9156.19395940095,False,False,False,False
2022-02-25 00:00:00+00:00,25.224774854,25.224774854,22.8747116822,24.305245011,10119,,,,,,,,,,,,,,,,,,,,,,,24.4414204634,24.465395012872577,,24.45340773813629,#000000,,24.45340773813629,,15.029164609053266,-36.4967197940609,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10374,-7899.812439800504,False,False,False,False,9227.512925371248,False,False,False,False
2022-03-04 00:00:00+00:00,24.4661676698,25.895713743,24.1877615975,25.175017173,6575,,,,,,,,,,,,,,,,,,,,,,,24.602294313329267,24.52407779074432,,24.563186052036794,#000000,,24.563186052036794,,17.636414472503876,-34.44491734437503,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16949,-8570.122629444912,False,False,False,False,9031.030486454858,False,False,False,False
