date,Open,High,Low,Close,Volume,aVWAP_peak_402,aVWAP_peak_339,aVWAP_peak_304,aVWAP_peak_255,aVWAP_peak_211,aVWAP_peak_153,aVWAP_peak_105,aVWAP_peak_70,aVWAP_peak_51,aVWAP_valley_431,aVWAP_valley_409,aVWAP_valley_344,aVWAP_valley_323,aVWAP_valley_305,aVWAP_valley_282,aVWAP_valley_264,aVWAP_valley_231,aVWAP_valley_169,aVWAP_valley_131,aVWAP_valley_89,aVWAP_valley_24,aVWAP_OB_bull_344,aVWAP_OB_bull_169,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,52.17,52.28,51.93,51.96,9607.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,9607.0,False,False,False,False
2023-12-15 17:00:00+00:00,51.61,51.66,51.07,51.145,7352.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7352.0,-113.98449612403101,False,False,False,False,9572.038759689922,False,False,False,False
2023-12-18 17:00:00+00:00,50.95,51.06,50.63,51.04,9168.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16520.0,-368.34132564148786,False,False,False,False,9565.774592873024,False,False,False,False
2023-12-19 17:00:00+00:00,51.48,51.57,51.11,51.18,16881.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,5.319448353504086,-45.21249648184632,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,361.0,-357.0337081896819,False,False,False,False,9679.18894027034,False,False,False,False
2023-12-20 17:00:00+00:00,51.265,51.34,50.305,50.365,8746.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,6.147331918424797,-44.78656817462793,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8385.0,-481.4983018611597,False,False,False,False,9664.720894684753,False,False,False,False
2023-12-21 17:00:00+00:00,50.66,50.83,50.44,50.74,6221.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,13.128221801851478,-38.723662640751286,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2164.0,-507.5835995067231,False,False,False,False,9611.329873061733,False,False,False,False
2023-12-22 17:00:00+00:00,50.975,51.03,50.72,50.88,5051.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,19.74500210915531,-33.28199497018576,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2887.0,-454.9543964135956,False,False,False,False,9540.627084332094,False,False,False,False
2023-12-25 17:00:00+00:00,50.88,50.88,50.88,50.88,0.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,24.156188980691194,-29.942918990142328,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2887.0,-403.14114995757086,False,False,False,False,9392.710385350201,False,False,False,False
2023-12-26 17:00:00+00:00,51.11,51.26,51.09,51.21,4318.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,31.434624611670166,-23.914513573983086,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7205.0,-285.1854732140426,False,False,False,False,9314.032704957175,False,False,False,False
2023-12-27 17:00:00+00:00,51.51,51.725,51.29,51.425,8786.0,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,38.52973820801296,-18.11496514733307,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,15991.0,-32.841512389018675,False,False,False,False,9305.846151391948,False,False,False,False
