date,Close,High,Low,Open,Volume,aVWAP_peak_879,aVWAP_peak_850,aVWAP_peak_828,aVWAP_peak_804,aVWAP_peak_778,aVWAP_peak_750,aVWAP_peak_738,aVWAP_peak_721,aVWAP_peak_692,aVWAP_peak_660,aVWAP_peak_642,aVWAP_peak_627,aVWAP_peak_612,aVWAP_peak_610,aVWAP_peak_567,aVWAP_peak_562,aVWAP_peak_548,aVWAP_peak_520,aVWAP_peak_502,aVWAP_peak_449,aVWAP_peak_436,aVWAP_peak_415,aVWAP_peak_401,aVWAP_peak_390,aVWAP_peak_351,aVWAP_peak_310,aVWAP_peak_239,aVWAP_peak_207,aVWAP_peak_206,aVWAP_peak_177,aVWAP_peak_136,aVWAP_peak_110,aVWAP_peak_63,aVWAP_peak_52,aVWAP_peak_23,aVWAP_valley_873,aVWAP_valley_839,aVWAP_valley_821,aVWAP_valley_799,aVWAP_valley_798,aVWAP_valley_795,aVWAP_valley_772,aVWAP_valley_761,aVWAP_valley_745,aVWAP_valley_712,aVWAP_valley_699,aVWAP_valley_686,aVWAP_valley_666,aVWAP_valley_629,aVWAP_valley_580,aVWAP_valley_543,aVWAP_valley_526,aVWAP_valley_472,aVWAP_valley_462,aVWAP_valley_436,aVWAP_valley_425,aVWAP_valley_375,aVWAP_valley_359,aVWAP_valley_331,aVWAP_valley_319,aVWAP_valley_246,aVWAP_valley_215,aVWAP_valley_190,aVWAP_valley_165,aVWAP_valley_145,aVWAP_valley_99,aVWAP_valley_53,aVWAP_valley_15,aVWAP_valley_14,aVWAP_OB_bear_879,aVWAP_OB_bear_502,aVWAP_OB_bear_436,aVWAP_OB_bear_351,aVWAP_OB_bear_177,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,5.85,5.97,5.65,5.8,17065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,17065.0,False,False,False,False
2022-01-04 00:00:00+00:00,5.93,6.21,5.7973,6.21,14546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14546,570.4313725490196,False,False,False,False,16966.21568627451,False,False,False,False
2022-01-05 00:00:00+00:00,6.12,6.46,6.0,6.13,42948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,57494,2802.7281814686658,False,False,False,False,17985.10918877355,False,False,False,False
2022-01-06 00:00:00+00:00,5.62,6.4016,5.5115,6.29,38491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,77.44220730797913,29.32202336564754,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,19003,3438.0329586659727,False,False,False,False,18789.26176960596,False,False,False,False
2022-01-07 00:00:00+00:00,5.58,5.915,5.475,5.593,20966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,61.798035309889904,16.23474307251135,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1963,3226.2277446006406,False,False,False,False,18874.624053150827,False,False,False,False
2022-01-10 00:00:00+00:00,5.85,5.85,5.55,5.8,12582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,58.18895820714248,14.578799752248557,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10619,3516.140382067282,False,False,False,False,18627.85448243903,False,False,False,False
2022-01-11 00:00:00+00:00,5.98,6.03,5.5,6.03,28586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,57.987725282852935,14.578799752248557,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,39205,4915.703504339153,False,False,False,False,19018.369992931617,False,False,False,False
2022-01-12 00:00:00+00:00,5.85,6.05,5.54,5.87,51394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,55.37312762544039,13.796051237498197,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12189,4244.930817894481,False,False,False,False,20288.002542228416,False,False,False,False
2022-01-13 00:00:00+00:00,5.95,6.68,5.9,5.9,147099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,55.268083937071964,13.796051237498197,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,134910,9369.051177977051,False,False,False,False,25260.98283469005,False,False,False,False
2022-01-14 00:00:00+00:00,6.15,6.18,5.88,5.9,17356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,57.86762965405435,13.796051237498197,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,152266,14972.853092566187,False,False,False,False,24950.98350783946,False,False,False,False
