date,Close,High,Low,Open,Volume,aVWAP_peak_184,aVWAP_peak_162,aVWAP_peak_149,aVWAP_peak_144,aVWAP_peak_138,aVWAP_peak_124,aVWAP_peak_123,aVWAP_peak_110,aVWAP_peak_102,aVWAP_peak_81,aVWAP_peak_76,aVWAP_peak_60,aVWAP_peak_56,aVWAP_peak_44,aVWAP_peak_33,aVWAP_peak_23,aVWAP_peak_13,aVWAP_valley_188,aVWAP_valley_181,aVWAP_valley_175,aVWAP_valley_171,aVWAP_valley_156,aVWAP_valley_148,aVWAP_valley_132,aVWAP_valley_120,aVWAP_valley_106,aVWAP_valley_97,aVWAP_valley_84,aVWAP_valley_71,aVWAP_valley_63,aVWAP_valley_58,aVWAP_valley_46,aVWAP_valley_41,aVWAP_valley_18,aVWAP_valley_10,aVWAP_OB_bull_132,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,50.5159240589,51.3438979461,49.9068398201,50.0210431148,2248586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,2248586.0,False,False,False,False
2022-01-07 00:00:00+00:00,49.7545687603,51.4200334759,49.2977555812,50.7823984134,3009582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3009582,-222932.0,False,False,False,False,2304956.074074074,False,False,False,False
2022-01-14 00:00:00+00:00,48.9836965206,50.7443306485,48.4888155765,49.3167894637,3664101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-6673683,-700765.4074074074,False,False,False,False,2405633.4759945134,False,False,False,False
2022-01-21 00:00:00+00:00,47.4229181585,49.4643020528,47.3943673348,48.5173664002,3684660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10358343,-1416141.525377229,False,False,False,False,2500376.181476401,False,False,False,False
2022-01-28 00:00:00+00:00,46.376054623,47.3467826287,44.4917002591,46.4617070941,6153598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16511941,-2534348.8938678047,False,False,False,False,2770985.205070742,False,False,False,False
2022-02-04 00:00:00+00:00,46.414122388,47.8321466315,45.719385678,46.2333005045,4303417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.30387729476868636,-49.71274099478897,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-12208524,-3250954.457285004,False,False,False,False,2884498.671361798,False,False,False,False
2022-02-11 00:00:00+00:00,42.6834814251,47.7322187486,42.5169349535,46.3475037993,4444613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.3606136989234249,-49.671571079904695,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-16653137,-4243708.719708337,False,False,False,False,3000062.695705368,False,False,False,False
2022-02-18 00:00:00+00:00,41.2940080052,43.1022268393,40.998982827,41.903092244,6419866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.3761725409043212,-49.66827831827314,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-23073003,-5638471.258989201,False,False,False,False,3253381.458986452,False,False,False,False
2022-02-25 00:00:00+00:00,40.7610592962,41.5890331834,38.6387814015,41.1131861218,4552321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.37937537805637256,-49.66827831827314,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-27625324,-7267127.0175825935,False,False,False,False,3349599.202765233,False,False,False,False
2022-03-04 00:00:00+00:00,39.9140515266,40.998982827,39.1336623456,40.0472887038,6595887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.37037370932822655,-49.66827831827314,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-34221211,-9263725.831094993,False,False,False,False,3590064.9655233636,False,False,False,False
