date,Open,High,Low,Close,Volume,aVWAP_peak_372,aVWAP_peak_296,aVWAP_peak_259,aVWAP_peak_164,aVWAP_peak_114,aVWAP_peak_83,aVWAP_peak_60,aVWAP_peak_40,aVWAP_valley_344,aVWAP_valley_322,aVWAP_valley_281,aVWAP_valley_264,aVWAP_valley_191,aVWAP_valley_169,aVWAP_valley_132,aVWAP_valley_100,aVWAP_valley_24,aVWAP_OB_bull_344,aVWAP_OB_bear_296,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-14 17:00:00+00:00,42.05,42.48,41.36,41.945,124308.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,124308.0,False,False,False,False
2023-12-15 17:00:00+00:00,42.08,42.14,41.325,41.85,98177.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-98177.0,-1522.124031007752,False,False,False,False,123902.86821705426,False,False,False,False
2023-12-18 17:00:00+00:00,41.835,41.985,41.74,41.825,32076.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-130253.0,-3517.9515654107327,False,False,False,False,122479.19584159604,False,False,False,False
2023-12-19 17:00:00+00:00,41.82,41.895,41.365,41.48,35229.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-165482.0,-6029.022083776457,False,False,False,False,121126.47962699765,False,False,False,False
2023-12-20 17:00:00+00:00,41.095,41.37,40.195,40.375,48895.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-214377.0,-9259.223291779923,False,False,False,False,120006.61172580389,False,False,False,False
2023-12-21 17:00:00+00:00,40.88,40.95,40.47,40.905,22640.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,9.489630758222418,-41.459332317599824,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-191737.0,-12088.336108961628,False,False,False,False,118497.05185408599,False,False,False,False
2023-12-22 17:00:00+00:00,40.935,41.14,40.68,40.695,32023.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,14.747415016643965,-37.296704330513776,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-223760.0,-15370.067332078503,False,False,False,False,117156.36887960404,False,False,False,False
2023-12-25 17:00:00+00:00,40.695,40.695,40.695,40.695,0.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,18.25260452225833,-34.76116901522926,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-223760.0,-18600.919001348604,False,False,False,False,115339.99106751716,False,False,False,False
2023-12-26 17:00:00+00:00,40.79,41.045,40.77,40.895,27448.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,23.566770820309912,-30.478447087294434,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-196312.0,-21356.12955946723,False,False,False,False,113977.32453933859,False,False,False,False
2023-12-27 17:00:00+00:00,41.51,41.84,41.41,41.655,46638.0,,,,,,,,,,,,,,,,,,,,,#000000,,,,34.526914450059834,-21.112633501090052,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-149674.0,-23345.553907382466,False,False,False,False,112933.30400384497,False,False,False,False
