date,Close,High,Low,Open,Volume,aVWAP_peak_189,aVWAP_peak_160,aVWAP_peak_152,aVWAP_peak_133,aVWAP_peak_126,aVWAP_peak_118,aVWAP_peak_104,aVWAP_peak_81,aVWAP_peak_62,aVWAP_peak_48,aVWAP_peak_33,aVWAP_peak_23,aVWAP_peak_13,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_136,aVWAP_valley_131,aVWAP_valley_127,aVWAP_valley_120,aVWAP_valley_95,aVWAP_valley_86,aVWAP_valley_66,aVWAP_valley_53,aVWAP_valley_41,aVWAP_valley_24,aVWAP_valley_20,aVWAP_valley_8,aVWAP_valley_4,aVWAP_OB_bull_95,aVWAP_OB_bull_66,aVWAP_OB_bull_53,aVWAP_OB_bear_152,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,114.0954856887,114.281964332,112.1816259288,112.2110699251,43151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,43151.0,False,False,False,False
2022-01-07 00:00:00+00:00,105.9100547154,114.8315855964,105.8462593901,114.8315855964,510286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-510286,-37798.96296296296,False,False,False,False,77753.59259259258,False,False,False,False
2022-01-14 00:00:00+00:00,103.3975003639,107.4809900651,102.1346473623,105.2132134695,154184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-664470,-84219.03978052127,False,False,False,False,83415.10425240055,False,False,False,False
2022-01-21 00:00:00+00:00,96.8609331838,102.7113571033,96.7235278677,102.7113571033,293460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-957930,-148938.37016714935,False,False,False,False,98973.9854188894,False,False,False,False
2022-01-28 00:00:00+00:00,95.4476213611,99.1379355649,92.2038744346,94.9765174202,168643,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.5964771202,,,,,95.5964771202,#000000,,95.5964771202,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1126573,-221355.7501547679,False,False,False,False,104134.65316563833,False,False,False,False
2022-02-04 00:00:00+00:00,95.9481692983,99.7738277384,94.6035601336,94.6035601336,164333,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.17820289291379,,,,,96.17820289291379,#000000,,96.17820289291379,,0.9069924923848913,-49.142608659542404,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-962240,-276236.0649581184,False,False,False,False,108593.78996818364,False,False,False,False
2022-02-11 00:00:00+00:00,94.4465254867,99.7366301564,93.8969042223,95.8696519748,169437,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.12710456856966,,,,,96.12710456856966,#000000,,96.12710456856966,,1.4708665937533352,-48.646772287038026,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1131677,-339602.06014640594,False,False,False,False,113100.69441498486,False,False,False,False
2022-02-18 00:00:00+00:00,94.770409446,97.5970330915,94.0244948729,94.8685561004,85701,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.03047277162538,,,,,96.03047277162538,#000000,,96.03047277162538,,2.4549195059986912,-47.76678804708027,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1045976,-391926.0556911166,False,False,False,False,111071.08742128227,False,False,False,False
2022-02-25 00:00:00+00:00,96.0168719564,96.0365012872,88.5969848871,94.2109735162,82425,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5501193769,95.72557905394417,,,,,94.63784921542208,#000000,,94.63784921542208,,5.317881041638202,-45.136608117124375,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-963551,-434268.6441584413,False,False,False,False,108949.15501970581,False,False,False,False
2022-03-04 00:00:00+00:00,94.5348574756,97.6559210841,93.6515375864,94.5544868065,78327,,,,,,,,,,,,,,,,,,,,,,,,,,,94.39338622163027,95.6790548449405,,,,,95.03622053328539,#000000,,95.03622053328539,,7.035029216209653,-43.68448850709566,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1041878,-479276.7445911493,False,False,False,False,106680.84724046834,False,False,False,False
