date,Close,High,Low,Open,Volume,aVWAP_peak_175,aVWAP_peak_167,aVWAP_peak_162,aVWAP_peak_142,aVWAP_peak_127,aVWAP_peak_108,aVWAP_peak_107,aVWAP_peak_96,aVWAP_peak_79,aVWAP_peak_70,aVWAP_peak_57,aVWAP_peak_47,aVWAP_peak_33,aVWAP_peak_23,aVWAP_peak_16,aVWAP_valley_171,aVWAP_valley_159,aVWAP_valley_131,aVWAP_valley_120,aVWAP_valley_103,aVWAP_valley_92,aVWAP_valley_86,aVWAP_valley_74,aVWAP_valley_63,aVWAP_valley_52,aVWAP_valley_51,aVWAP_valley_41,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_4,aVWAP_OB_bull_171,aVWAP_OB_bear_142,aVWAP_OB_bear_108,aVWAP_OB_bear_70,aVWAP_OB_bear_33,aVWAP_OB_bear_16,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,40.0278845706,40.1509526246,39.3087056299,39.4971535876,3053589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3053589.0,False,False,False,False
2022-01-07 00:00:00+00:00,40.1124938577,40.2278701583,39.6356051484,40.0355763239,4381350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4381350,324544.44444444444,False,False,False,False,3151941.6666666665,False,False,False,False
2022-01-14 00:00:00+00:00,40.712450621,40.8662856886,39.7048309287,40.0586515841,4382465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8763815,949675.5967078189,False,False,False,False,3243091.5432098764,False,False,False,False
2022-01-21 00:00:00+00:00,39.9663505435,41.0816547831,39.9038935061,41.0047372493,4885871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,84.55014918837095,35.395062904631914,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3877944,1166584.3673220547,False,False,False,False,3364778.910379515,False,False,False,False
2022-01-28 00:00:00+00:00,40.0201928172,40.3201711989,38.9435011796,39.5125370943,7480691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.76128839856666,,,,,,,39.76128839856666,#000000,,39.76128839856666,,74.13457840590182,26.182778936524784,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11358635,1921551.0808537544,False,False,False,False,3669661.2873884398,False,False,False,False
2022-02-04 00:00:00+00:00,40.9508949757,41.1278053034,39.8894330098,39.8894330098,6473053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.176360024587915,,,,,,,40.176360024587915,#000000,,40.176360024587915,,73.01778123095278,26.01631994103569,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,17831688,3100079.741531254,False,False,False,False,3877319.9327670736,False,False,False,False
2022-02-11 00:00:00+00:00,40.2278701583,41.1854934537,40.0971103509,41.1854934537,5839588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.272872930689715,,,,,,,40.272872930689715,#000000,,40.272872930689715,,66.96458615553195,20.974909472605916,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,11992100,3758747.908825235,False,False,False,False,4022673.1229324755,False,False,False,False
2022-02-18 00:00:00+00:00,40.2124866516,40.7047588677,39.7432896956,40.0971103509,6174459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.26034355579597,,,,,,,40.26034355579597,#000000,,40.26034355579597,,62.55297506086329,17.516544647575202,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5817641,3911258.5081715137,False,False,False,False,4182064.669381922,False,False,False,False
2022-02-25 00:00:00+00:00,40.6586083474,40.7278341278,38.9818061114,40.0663433374,8341783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.22688993393694,,,,,,,40.22688993393694,#000000,,40.22688993393694,,61.558455841741036,17.22868659864787,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,14159424,4670381.877936587,False,False,False,False,4490191.953131409,False,False,False,False
2022-03-04 00:00:00+00:00,43.0045931272,43.0430518941,40.2355619117,40.4201639927,9774538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.64096361869378,,,,,,,40.64096361869378,#000000,,40.64096361869378,,66.3127962326091,17.22868659864787,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,23933962,6097313.738830172,False,False,False,False,4881624.993640194,False,False,False,False
