date,Close,High,Low,Open,Volume,aVWAP_peak_188,aVWAP_peak_176,aVWAP_peak_164,aVWAP_peak_153,aVWAP_peak_133,aVWAP_peak_128,aVWAP_peak_123,aVWAP_peak_116,aVWAP_peak_111,aVWAP_peak_80,aVWAP_peak_76,aVWAP_peak_71,aVWAP_peak_57,aVWAP_peak_48,aVWAP_peak_32,aVWAP_valley_170,aVWAP_valley_159,aVWAP_valley_148,aVWAP_valley_136,aVWAP_valley_126,aVWAP_valley_114,aVWAP_valley_96,aVWAP_valley_91,aVWAP_valley_85,aVWAP_valley_61,aVWAP_valley_52,aVWAP_valley_41,aVWAP_valley_27,aVWAP_valley_19,aVWAP_valley_11,aVWAP_OB_bull_170,aVWAP_OB_bull_136,aVWAP_OB_bull_96,aVWAP_OB_bull_41,aVWAP_OB_bear_32,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,137.739,145.7,135.137,144.361,29817930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,29817930.0,False,False,False,False
2022-01-07 00:00:00+00:00,114.448,139.367,112.14,139.19,88686320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-88686320,-6569357.037037036,False,False,False,False,34178551.48148148,False,False,False,False
2022-01-14 00:00:00+00:00,110.291,119.12,104.8601,111.701,90058020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-178744340,-19323059.478737995,False,False,False,False,38317771.37174211,False,False,False,False
2022-01-21 00:00:00+00:00,88.212,112.249,86.875,108.721,108477010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-287221350,-39167377.29512778,False,False,False,False,43514752.01087232,False,False,False,False
2022-01-28 00:00:00+00:00,87.223,96.399,78.0,83.4,205727180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-492948530,-72780796.01400721,False,False,False,False,55530487.417474374,False,False,False,False
2022-02-04 00:00:00+00:00,87.6,98.85,80.6,88.19,134040770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.2590086413796452,-49.75515589369581,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-358907760,-93975385.93889557,False,False,False,False,61346063.90506887,False,False,False,False
2022-02-11 00:00:00+00:00,85.4,93.254,83.501,88.156,75604690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.43012175803242736,-49.60402392691656,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-434512450,-119200353.64712553,False,False,False,False,62402258.430619314,False,False,False,False
2022-02-18 00:00:00+00:00,65.688,89.13477,64.04201,84.637,242562510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.4690289376856658,-49.582009025195205,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-677074960,-160524398.56215325,False,False,False,False,75747462.25057344,False,False,False,False
2022-02-25 00:00:00+00:00,67.695,68.465,58.503,63.203,113779600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,1.5125846107353325,-48.60765848513703,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-563295360,-190359284.59458634,False,False,False,False,78564657.63941985,False,False,False,False
2022-03-04 00:00:00+00:00,60.084,71.1175,59.15101,68.976,98975360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,2.10861247065213,-48.09533228038303,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-662270720,-225315687.21720958,False,False,False,False,80076561.51798135,False,False,False,False
2022-03-11 00:00:00+00:00,54.437,60.607,51.12,59.9,177071670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,2.4401645834502057,-47.8428093667527,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-839342390,-270799146.68260145,False,False,False,False,87261384.36850125,False,False,False,False
