date,Close,High,Low,Open,Volume,aVWAP_peak_180,aVWAP_peak_173,aVWAP_peak_154,aVWAP_peak_147,aVWAP_peak_133,aVWAP_peak_126,aVWAP_peak_100,aVWAP_peak_96,aVWAP_peak_86,aVWAP_peak_81,aVWAP_peak_70,aVWAP_peak_60,aVWAP_peak_52,aVWAP_peak_40,aVWAP_peak_35,aVWAP_peak_15,aVWAP_peak_6,aVWAP_valley_187,aVWAP_valley_176,aVWAP_valley_157,aVWAP_valley_150,aVWAP_valley_136,aVWAP_valley_128,aVWAP_valley_113,aVWAP_valley_107,aVWAP_valley_97,aVWAP_valley_91,aVWAP_valley_84,aVWAP_valley_77,aVWAP_valley_63,aVWAP_valley_56,aVWAP_valley_45,aVWAP_valley_30,aVWAP_valley_20,aVWAP_valley_5,aVWAP_OB_bull_157,aVWAP_OB_bull_136,aVWAP_OB_bull_113,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.5913649539,12.231103357,10.4059928589,10.4059928589,45490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,45490.0,False,False,False,False
2022-01-07 00:00:00+00:00,11.882341605,12.7838922126,11.4482616829,12.5072258886,69690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,69690,5162.222222222222,False,False,False,False,47282.59259259259,False,False,False,False
2022-01-14 00:00:00+00:00,12.2687204368,12.7778818752,11.6963073527,12.1065367297,85287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,154977,16259.613168724278,False,False,False,False,50097.733882030174,False,False,False,False
2022-01-21 00:00:00+00:00,12.0196253431,13.0510183185,11.467342119,13.0510183185,187334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,91.75498274806148,42.20588212902686,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-32357,12658.38256363359,False,False,False,False,60263.38322410201,False,False,False,False
2022-01-28 00:00:00+00:00,11.2002160131,11.7535486611,11.0571127421,11.562362691,69587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,75.61637981553712,27.28803358009897,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-101944,4169.317188549621,False,False,False,False,60954.02150379816,False,False,False,False
2022-02-04 00:00:00+00:00,11.2765377577,11.8298704057,10.8567681626,10.8567681626,48492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32105877533333,,,,11.32105877533333,#000000,,11.32105877533333,,64.97486177578763,18.13699404301805,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-53452,-98.92852912072112,False,False,False,False,60030.908799813114,False,False,False,False
2022-02-11 00:00:00+00:00,12.5501568699,14.3198673217,11.4369088234,11.744008443,43021,,,,,,,,,,,,,,,,,12.768977671666667,,,,,,,,,,,,,,,,,,12.00173713621273,,,,12.385357403939699,#000000,,12.385357403939699,,65.49788670972593,18.13699404301805,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10431,-864.2671565932603,False,False,False,False,58770.91555538251,False,False,False,False
2022-02-18 00:00:00+00:00,12.4276604699,12.8792943933,12.3545823995,12.8792943933,42758,,,,,,,,,,,,,,,,,12.661741512168254,,,,,,,,,,,,,,,,,,12.177553658688357,,,,12.419647585428304,#000000,,12.419647585428304,,65.00515817077776,18.13699404301805,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-53189,-4740.173293141907,False,False,False,False,57584.77366239122,False,False,False,False
2022-02-25 00:00:00+00:00,11.7171050281,12.4089616425,11.6867671346,12.4022834898,20752,,,,,,,,,,,,,,,,,12.520682563893303,,,,,,,,,,,,,,,,,,12.145434008808893,,,,12.333058286351097,#000000,,12.333058286351097,,60.644288638200855,16.52947476858617,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-73941,-9866.160456612877,False,False,False,False,54856.42005776965,False,False,False,False
2022-03-04 00:00:00+00:00,11.9668140545,12.0605756468,11.5391884062,11.8329232754,50143,,,,,,,,,,,,,,,,,12.307801397991422,,,,,,,,,,,,,,,,,,12.074579893171247,,,,12.191190645581335,#000000,,12.191190645581335,,58.627948755417705,15.13239968266491,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-23798,-10898.14857093785,False,False,False,False,54507.27783126819,False,False,False,False
2022-03-11 00:00:00+00:00,13.1084260876,13.6427426591,12.2110347495,12.2396708232,15400,,,,,,,,,,,,,,,,,12.368623116659508,,,,,,,,,,,,,,,,,,12.138313413261935,,,,12.253468264960722,#000000,,12.253468264960722,,60.80251903973884,15.13239968266491,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8398,-10712.95238049801,False,False,False,False,51610.44243635943,False,False,False,False
2022-03-18 00:00:00+00:00,13.4943905585,13.6126699931,12.263901347,12.9293309113,21942,,,,,,,,,,,,,,,,,12.4540123984745,,,,,,,,,,,,,,,,,,12.227466523314252,,,,12.340739460894376,#000000,,12.340739460894376,,63.222663473505264,15.13239968266491,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,13544,-8916.141093053713,False,False,False,False,49412.78003366614,False,False,False,False
2022-03-25 00:00:00+00:00,13.7912863053,13.8607311783,13.3431652732,13.6277063261,53056,,,,,,,,,,,,,,,,,12.714071775099388,,,,,,,,,,,,,,,,,,12.485525719474698,,,,12.599798747287043,#000000,,12.599798747287043,,65.55674980166074,7.8438088721865284,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,66600,-3322.352863938623,False,False,False,False,49682.648179320495,False,False,False,False
2022-04-01 00:00:00+00:00,14.1552230273,14.2031094381,13.5901633801,13.7046119018,25011,,,,,,,,,,,,,,,,,12.830701482567045,,,,,,,,,,,,,,,,,,12.602344330077996,,,,12.71652290632252,#000000,,12.71652290632252,,67.9027680754724,9.938731993144017,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,91611,3709.7473482049786,False,False,False,False,47855.118684556015,False,False,False,False
2022-04-08 00:00:00+00:00,14.7647212637,14.7647212637,14.1327164142,14.1552230273,16792,,,,,,,,,,,,,,,,,12.93087809305203,,,,,,,,,,,,,,,,,,12.6994880686726,,,,12.815183080862315,#000000,,12.815183080862315,,70.55052580314609,12.37388380746797,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,108403,11464.803100189794,False,False,False,False,45554.14693014446,False,False,False,False
2022-04-15 00:00:00+00:00,15.668433608,15.8943138077,14.749014521,14.7777463675,31994,,,,,,,,,,,,,,,,15.437253978900003,13.180790020012315,,,,,,,,,,,,,,,,,,12.936632982542273,,,,13.851558993818196,#000000,,13.851558993818196,,73.55611431875607,15.180087829904608,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,140397,21015.336203879437,False,False,False,False,44549.691601985614,False,False,False,False
2022-04-22 00:00:00+00:00,14.5000051849,15.8599792511,14.4329642098,15.703869552,8213,,,,,,,,,,,,,,,,15.33383903823327,13.22447011790572,,,,,,,,,,,,,,,,,,12.980014136233201,,,,13.846107764124064,#000000,,13.846107764124064,,71.27039222511047,15.180087829904608,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,132184,29250.05204062911,False,False,False,False,41858.08481665335,False,False,False,False
2022-04-29 00:00:00+00:00,13.7564920393,14.4311445262,13.7012598531,14.4311445262,16540,,,,,,,,,,,,,,,,14.934271681876748,13.259811366932269,,,,,,,,,,,,,,,,,,13.021266198093267,,,,13.738449748967428,#000000,,13.738449748967428,,67.47601797224497,15.180087829904608,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,115644,35649.603741323255,False,False,False,False,39982.67112653088,False,False,False,False
2022-05-06 00:00:00+00:00,13.7817090232,13.9965389547,13.2549585046,13.7529771767,30720,,,,,,,,,,,,,,,,14.492953336827144,13.293925627866846,,,,,,,,,,,,,,,,,,13.068735884548152,,,,13.618538283080715,#000000,,13.618538283080715,,64.81587946946794,23.677740845368874,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,146364,43850.670130854865,False,False,False,False,39296.54733938044,False,False,False,False
2022-05-13 00:00:00+00:00,12.1631483387,13.6681224568,11.9762955639,13.5039678407,26864,,,,,,,,,,,,,,,,14.048764584745756,13.24786018280723,,,,,,,,,,,,,,,,,,13.041008583173793,,,,13.445877783575591,#000000,,13.445877783575591,,59.2076900972739,18.354420063155473,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,119500,49454.32419523599,False,False,False,False,38375.617906833744,False,False,False,False
2022-05-20 00:00:00+00:00,11.7130160774,12.2780757246,11.4423620836,12.2780757246,45103,,,,,,,,,,,,,,,,13.415756116047849,13.10331728726476,,,,,,,,,,,,,,,,,11.811151295200002,12.929353708768383,,,,12.814894601820248,#000000,,12.814894601820248,,54.39698190260299,13.88198233136766,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,74397,51301.92981040369,False,False,False,False,38873.94250632754,False,False,False,False
2022-05-27 00:00:00+00:00,12.1425571821,12.1425571821,11.5502022807,11.7130160774,3210,,,,,,,,,,,,,,,,13.386730831853717,13.095083171575105,,,,,,,,,,,,,,,,,11.820051449453537,12.923034974590328,,,,12.806225106868173,#000000,,12.806225106868173,,51.947368552018105,11.677117402338311,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,77607,53250.453528151564,False,False,False,False,36232.16898734032,False,False,False,False
2022-06-03 00:00:00+00:00,12.6037033179,12.6898988574,12.115261928,12.115261928,1789,,,,,,,,,,,,,,,,13.376752854007105,13.092614759001284,,,,,,,,,,,,,,,,,11.843245744768339,12.92141848008533,,,,12.808507959465514,#000000,,12.808507959465514,,51.19571268675631,11.001925901675222,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,79396,55187.16067421441,False,False,False,False,33680.823136426225,False,False,False,False
