date,Close,High,Low,Open,Volume,aVWAP_peak_187,aVWAP_peak_180,aVWAP_peak_152,aVWAP_peak_143,aVWAP_peak_124,aVWAP_peak_118,aVWAP_peak_110,aVWAP_peak_104,aVWAP_peak_81,aVWAP_peak_57,aVWAP_peak_32,aVWAP_peak_23,aVWAP_peak_14,aVWAP_valley_171,aVWAP_valley_162,aVWAP_valley_148,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_124,aVWAP_valley_120,aVWAP_valley_115,aVWAP_valley_96,aVWAP_valley_86,aVWAP_valley_73,aVWAP_valley_63,aVWAP_valley_52,aVWAP_valley_45,aVWAP_valley_30,aVWAP_valley_24,aVWAP_valley_19,aVWAP_valley_11,aVWAP_valley_4,aVWAP_OB_bear_152,aVWAP_OB_bear_104,aVWAP_OB_bear_23,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,40.43,42.98,39.82,41.36,3518102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3518102.0,False,False,False,False
2022-01-07 00:00:00+00:00,36.44,41.5,35.15,40.77,4905102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-4905102,-363340.8888888889,False,False,False,False,3620842.7407407407,False,False,False,False
2022-01-14 00:00:00+00:00,36.56,40.53,33.82,35.82,7224828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.8919280511372399,-52.2298201278431,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2319726,-164595.19341563786,False,False,False,False,3887804.611796982,False,False,False,False
2022-01-21 00:00:00+00:00,29.99,35.89,29.8,35.85,5325177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.95212237750632,-52.12414036340076,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3005451,-375028.95686633134,False,False,False,False,3994276.640552761,False,False,False,False
2022-01-28 00:00:00+00:00,28.88,31.595,26.14,28.45,7662028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.871666666666663,,,,28.871666666666663,#000000,,28.871666666666663,,0.9620998059420282,-52.03181718173112,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-10667479,-1137432.6637651215,False,False,False,False,4265961.926437741,False,False,False,False
2022-02-04 00:00:00+00:00,31.52,35.5,26.41,29.6,12236916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.26863497714585,,,,30.26863497714585,#000000,,30.26863497714585,,6.932256842662195,-46.27832718770446,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1569437,-936923.7997825199,False,False,False,False,4856402.968923834,False,False,False,False
2022-02-11 00:00:00+00:00,29.74,33.92,29.16,31.55,6914565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.44176401778173,,,,30.44176401778173,#000000,,30.44176401778173,,10.37137261313234,-43.143008390019645,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5345128,-1263457.444243074,False,False,False,False,5008859.415670217,False,False,False,False
2022-02-18 00:00:00+00:00,26.6,31.845,26.5,29.54,5976161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.054145472695108,,,,30.054145472695108,#000000,,30.054145472695108,,11.744730463553399,-42.022438401158,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11321289,-2008482.0039287722,False,False,False,False,5080511.38487983,False,False,False,False
2022-02-25 00:00:00+00:00,26.36,26.88,22.31,26.02,6647254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.233150268388073,,,,29.233150268388073,#000000,,29.233150268388073,,12.655868362024865,-41.2958070495045,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-17968543,-3190708.7443784927,False,False,False,False,5196566.39340725,False,False,False,False
2022-03-04 00:00:00+00:00,22.47,27.44,22.16,25.98,6910952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.456312193500874,,,,28.456312193500874,#000000,,28.456312193500874,,12.374250701537058,-41.2958070495045,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-24879495,-4797285.50405416,False,False,False,False,5323557.919821528,False,False,False,False
