date,Close,High,Low,Open,Volume,aVWAP_peak_187,aVWAP_peak_178,aVWAP_peak_173,aVWAP_peak_162,aVWAP_peak_152,aVWAP_peak_140,aVWAP_peak_133,aVWAP_peak_127,aVWAP_peak_113,aVWAP_peak_105,aVWAP_peak_96,aVWAP_peak_83,aVWAP_peak_76,aVWAP_peak_68,aVWAP_peak_56,aVWAP_peak_51,aVWAP_peak_44,aVWAP_peak_33,aVWAP_peak_13,aVWAP_valley_179,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_155,aVWAP_valley_127,aVWAP_valley_120,aVWAP_valley_115,aVWAP_valley_95,aVWAP_valley_72,aVWAP_valley_63,aVWAP_valley_48,aVWAP_valley_41,aVWAP_valley_29,aVWAP_valley_28,aVWAP_valley_19,aVWAP_valley_11,aVWAP_valley_4,aVWAP_OB_bull_95,aVWAP_OB_bull_72,aVWAP_OB_bear_152,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,11.5400894164,11.5594845247,10.696402207,11.5303918623,111952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,111952.0,False,False,False,False
2022-01-07 00:00:00+00:00,11.7339783965,11.8990103854,11.4916016458,11.6467625119,29172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,29172,2160.8888888888887,False,False,False,False,105820.14814814815,False,False,False,False
2022-01-14 00:00:00+00:00,11.5784656159,11.8504429961,11.5493251823,11.6853138724,81005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.79482469777427,-9.423288860015766,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-51833,-1838.6584362139918,False,False,False,False,103981.9890260631,False,False,False,False
2022-01-21 00:00:00+00:00,11.3647691028,11.8018756068,11.3356286692,11.6076060495,237004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,71.1403432507237,-9.423288860015766,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-288837,-23097.794848346286,False,False,False,False,113835.4713204288,False,False,False,False
2022-01-28 00:00:00+00:00,11.1704995455,11.6561734388,10.4517021835,11.3162017135,176599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.092791722600001,,,,11.092791722600001,#000000,,11.092791722600001,,57.37217367710213,-9.423288860015766,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-465436,-55863.58782254285,False,False,False,False,118484.62159298963,False,False,False,False
2022-02-04 00:00:00+00:00,10.990800205,11.5200876139,10.9276625989,11.1025052005,40213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.102694506775922,,,,11.102694506775922,#000000,,11.102694506775922,,46.10198144093328,-9.423288860015766,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-505649,-89181.02576161375,False,False,False,False,112686.72369721263,False,False,False,False
2022-02-11 00:00:00+00:00,11.2384938906,11.3744825807,10.9277597336,10.9277597336,18050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.108654575463817,,,,11.108654575463817,#000000,,11.108654575463817,,43.78156535607539,-9.423288860015766,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-487599,-118693.4682977905,False,False,False,False,105676.59601593761,False,False,False,False
2022-02-18 00:00:00+00:00,11.3113449746,11.3162017135,10.9276625989,11.1704995455,31302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.11764132115215,,,,11.11764132115215,#000000,,11.11764132115215,,43.39098286359913,-9.423288860015766,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-456297,-143701.137312769,False,False,False,False,100167.36668142372,False,False,False,False
2022-02-25 00:00:00+00:00,10.9762299882,11.3647691028,10.5735091959,11.2070222223,49484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.094731242690575,,,,11.094731242690575,#000000,,11.094731242690575,,39.95450165821288,33.26364478306205,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-505781,-170521.86788219353,False,False,False,False,96413.04322354047,False,False,False,False
2022-03-04 00:00:00+00:00,10.8013873866,11.4521904036,10.6945391301,11.0830782447,134637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.061235143429023,,,,11.061235143429023,#000000,,11.061235143429023,,36.360635398913246,28.11888468351097,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-640418,-205328.98877980883,False,False,False,False,99244.44742920414,False,False,False,False
