date,Close,High,Low,Open,Volume,aVWAP_peak_183,aVWAP_peak_163,aVWAP_peak_153,aVWAP_peak_124,aVWAP_peak_119,aVWAP_peak_115,aVWAP_peak_108,aVWAP_peak_87,aVWAP_peak_76,aVWAP_peak_66,aVWAP_peak_59,aVWAP_peak_50,aVWAP_peak_33,aVWAP_valley_171,aVWAP_valley_137,aVWAP_valley_129,aVWAP_valley_113,aVWAP_valley_98,aVWAP_valley_91,aVWAP_valley_70,aVWAP_valley_55,aVWAP_valley_51,aVWAP_valley_41,aVWAP_valley_27,aVWAP_valley_20,aVWAP_valley_7,aVWAP_OB_bull_171,aVWAP_OB_bull_137,aVWAP_OB_bull_70,aVWAP_OB_bull_55,aVWAP_OB_bull_41,aVWAP_OB_bear_119,aVWAP_OB_bear_33,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,56.5993727313,57.4166115833,55.6258313667,55.7419418047,62051109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,62051109.0,False,False,False,False
2022-01-07 00:00:00+00:00,54.9285212909,56.581509587,53.8322871019,56.1795888401,116958651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-116958651,-8663603.777777778,False,False,False,False,66118334.33333333,False,False,False,False
2022-01-14 00:00:00+00:00,55.1351883921,56.444828827,54.3804041964,54.6904048482,94458060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.3433436479661465,-58.35835911991536,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-22500591,-9688565.794238683,False,False,False,False,68217573.27160493,False,False,False,False
2022-01-21 00:00:00+00:00,50.9299621588,54.1108384122,50.8670634759,53.8951857849,94124212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.3295934257083033,-58.190022201704785,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-116624803,-17609768.550221004,False,False,False,False,70136583.54778235,False,False,False,False
2022-01-28 00:00:00+00:00,49.9685108619,51.2174989953,48.0231444527,50.4627147996,144924624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.178881180707016,-58.029572061505114,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-261549427,-35679372.879834265,False,False,False,False,75676438.39609477,False,False,False,False
2022-02-04 00:00:00+00:00,49.5551766595,50.6019904547,48.8722766729,49.8067713914,114616822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,3.0196033833163947,-57.784194580361486,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-376166249,-60900622.9628095,False,False,False,False,78560911.25564331,False,False,False,False
2022-02-11 00:00:00+00:00,48.431985892,50.6603963746,48.3151740522,49.71691613,88669983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,2.78744404598606,-57.55042659064183,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-464836232,-90821779.18778658,False,False,False,False,79309731.38485491,False,False,False,False
2022-02-18 00:00:00+00:00,51.4061950442,51.8375002989,47.3537227553,47.9916951112,128448278,,,,,,,,,,,,,,,,,,,,,,,,,,50.19913936613334,,,,,,,,50.19913936613334,#000000,,50.19913936613334,,11.272478515806567,-49.01116260491966,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-336387954,-109011866.2109135,False,False,False,False,82949623.7267175,False,False,False,False
2022-02-25 00:00:00+00:00,50.3548884859,51.3432963613,47.8119845884,51.1546003123,93604140,,,,,,,,,,,,,,,,,,,,,,,,,,50.04636616515646,,,,,,,,50.04636616515646,#000000,,50.04636616515646,,16.359117838335287,-44.000497504718176,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-429992094,-132788179.38047546,False,False,False,False,83738847.15436806,False,False,False,False
2022-03-04 00:00:00+00:00,50.7772082145,51.2174989953,48.7554648331,49.7888003391,93854499,,,,,,,,,,,,,,,,,,,,,,,,,,50.106881883088924,,,,,,,,50.106881883088924,#000000,,50.106881883088924,,20.868226339930665,-39.63427964853788,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-336137595,-147851099.0559958,False,False,False,False,84488154.69848894,False,False,False,False
2022-03-11 00:00:00+00:00,49.1418424571,50.7143095315,48.494884575,50.5974976917,103025394,,,,,,,,,,,,,,,,,,,,,,,,,,49.945424016071044,,,,,,,,49.945424016071044,#000000,,49.945424016071044,,22.692732343719463,-37.85485031115738,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-439162989,-169429757.5703665,False,False,False,False,85861283.53563792,False,False,False,False
