date,Open,High,Low,Close,Volume,aVWAP_peak_327,aVWAP_peak_302,aVWAP_peak_218,aVWAP_peak_179,aVWAP_peak_155,aVWAP_peak_133,aVWAP_peak_126,aVWAP_peak_46,aVWAP_valley_410,aVWAP_valley_390,aVWAP_valley_338,aVWAP_valley_319,aVWAP_valley_261,aVWAP_valley_235,aVWAP_valley_183,aVWAP_valley_164,aVWAP_valley_148,aVWAP_valley_146,aVWAP_valley_145,aVWAP_valley_83,aVWAP_valley_68,aVWAP_valley_21,aVWAP_OB_bull_164,aVWAP_OB_bear_302,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2023-12-19 17:00:00+00:00,2.855,2.96,2.84,2.96,1264.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0.0,0.0,False,False,False,False,1264.0,False,False,False,False
2023-12-20 17:00:00+00:00,2.92,2.94,2.8,2.81,826.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-826.0,-12.806201550387597,False,False,False,False,1257.2093023255813,False,False,False,False
2023-12-21 17:00:00+00:00,2.845,2.87,2.845,2.85,864.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,7.692307692307702,-61.538461538461554,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,38.0,-12.018508503094766,False,False,False,False,1251.1130340724715,False,False,False,False
2023-12-22 17:00:00+00:00,2.855,2.855,2.78,2.78,1064.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,10.417461326552239,-58.3165924984107,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1026.0,-27.73915178211655,False,False,False,False,1248.21205680003,False,False,False,False
2023-12-25 17:00:00+00:00,2.78,2.78,2.78,2.78,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,12.234230416048597,-55.61424030514942,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1026.0,-43.21606415758761,False,False,False,False,1228.8599318884017,False,False,False,False
2023-12-26 17:00:00+00:00,2.855,2.87,2.82,2.86,2442.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,22.173515215936007,-45.38817196999328,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1416.0,-20.592559286927337,False,False,False,False,1247.6683050374186,False,False,False,False
2023-12-27 17:00:00+00:00,3.0,3.01,2.98,3.01,1743.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,36.45494100767096,-31.648879807422663,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3159.0,28.703449384187813,False,False,False,False,1255.3478661996292,False,False,False,False
2023-12-28 17:00:00+00:00,2.915,2.93,2.9,2.93,1301.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,41.812403448570365,-26.44997630067463,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1858.0,57.064636215440714,False,False,False,False,1256.05565121979,False,False,False,False
2023-12-29 17:00:00+00:00,2.91,2.93,2.73,2.745,4148.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,39.54937182498081,-26.44997630067463,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2290.0,20.67603720434861,False,False,False,False,1300.8919977125063,False,False,False,False
2024-01-01 17:00:00+00:00,2.745,2.745,2.745,2.745,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,38.04068407592111,-26.44997630067463,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2290.0,-15.148397480990127,False,False,False,False,1280.723129530917,False,False,False,False
