date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_166,aVWAP_peak_152,aVWAP_peak_135,aVWAP_peak_128,aVWAP_peak_124,aVWAP_peak_118,aVWAP_peak_103,aVWAP_peak_94,aVWAP_peak_83,aVWAP_peak_59,aVWAP_peak_43,aVWAP_peak_33,aVWAP_peak_25,aVWAP_valley_188,aVWAP_valley_173,aVWAP_valley_163,aVWAP_valley_144,aVWAP_valley_132,aVWAP_valley_118,aVWAP_valley_111,aVWAP_valley_97,aVWAP_valley_92,aVWAP_valley_73,aVWAP_valley_49,aVWAP_valley_44,aVWAP_valley_28,aVWAP_valley_21,aVWAP_valley_8,aVWAP_OB_bull_173,aVWAP_OB_bear_94,aVWAP_OB_bear_59,aVWAP_OB_bear_33,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,40.93,41.62,40.07,40.07,4930538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,4930538.0,False,False,False,False
2022-01-07 00:00:00+00:00,43.29,44.59,40.85,40.85,5302874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5302874,392805.48148148146,False,False,False,False,4958118.444444444,False,False,False,False
2022-01-14 00:00:00+00:00,45.14,45.32,42.51,43.07,5207198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10510072,1142232.6310013717,False,False,False,False,4976568.781893004,False,False,False,False
2022-01-21 00:00:00+00:00,44.36,45.8,44.18,44.73,6825097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,95.11544798717492,45.38257192537628,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3684975,1330583.9175938629,False,False,False,False,5113496.798049077,False,False,False,False
2022-01-28 00:00:00+00:00,43.66,44.79,42.7,44.0,5520094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,88.28244563786205,39.1235923456925,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-1835119,1096087.4051795027,False,False,False,False,5143615.109304701,False,False,False,False
2022-02-04 00:00:00+00:00,39.89,43.83,39.16,43.53,7979969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,74.26924284608562,26.303079847278752,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9815088,287852.1899810211,False,False,False,False,5353715.397504352,False,False,False,False
2022-02-11 00:00:00+00:00,43.15,43.18,39.65,40.12,6637532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,69.35960772603744,22.543315200570362,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3177556,31155.287019463984,False,False,False,False,5448812.923615141,False,False,False,False
2022-02-18 00:00:00+00:00,43.26,44.18,41.62,43.13,4688880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,65.98156898398472,20.180637104084852,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1511324,140797.4139069111,False,False,False,False,5392521.5959399445,False,False,False,False
2022-02-25 00:00:00+00:00,36.63,42.95,32.6,42.95,10182169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.39333333333334,,,,,37.39333333333334,#000000,,37.39333333333334,,56.922996045332425,12.329229927900947,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-8670845,-511916.8389750823,False,False,False,False,5747310.292536986,False,False,False,False
2022-03-04 00:00:00+00:00,35.33,37.18,34.3,35.35,6493988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.69627594055393,,,,,36.69627594055393,#000000,,36.69627594055393,,49.68595719021175,6.3277305176444045,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-15164833,-1597318.0360880392,False,False,False,False,5802619.752349061,False,False,False,False
