date,Close,High,Low,Open,Volume,aVWAP_peak_179,aVWAP_peak_173,aVWAP_peak_164,aVWAP_peak_154,aVWAP_peak_143,aVWAP_peak_133,aVWAP_peak_118,aVWAP_peak_100,aVWAP_peak_90,aVWAP_peak_81,aVWAP_peak_67,aVWAP_peak_56,aVWAP_peak_48,aVWAP_peak_40,aVWAP_peak_16,aVWAP_valley_182,aVWAP_valley_176,aVWAP_valley_171,aVWAP_valley_157,aVWAP_valley_149,aVWAP_valley_136,aVWAP_valley_128,aVWAP_valley_123,aVWAP_valley_113,aVWAP_valley_102,aVWAP_valley_92,aVWAP_valley_91,aVWAP_valley_85,aVWAP_valley_77,aVWAP_valley_73,aVWAP_valley_60,aVWAP_valley_44,aVWAP_valley_39,aVWAP_valley_28,aVWAP_valley_19,aVWAP_valley_4,aVWAP_OB_bull_182,aVWAP_OB_bull_157,aVWAP_OB_bull_113,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,6.76,6.81,6.335,6.68,6021392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,6021392.0,False,False,False,False
2022-01-07 00:00:00+00:00,6.44,7.11,6.33,6.69,7676179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7676179,-568605.8518518518,False,False,False,False,6143968.814814814,False,False,False,False
2022-01-14 00:00:00+00:00,6.86,7.1,6.4,6.44,7089007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,16.697588126159562,-91.74397031539891,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-587172,-569981.122085048,False,False,False,False,6213971.64334705,False,False,False,False
2022-01-21 00:00:00+00:00,6.92,7.52,6.73,6.84,7970964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,29.599359826329597,-78.63461490443257,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,7383792,19187.25732865918,False,False,False,False,6344119.225321343,False,False,False,False
2022-01-28 00:00:00+00:00,5.56,6.92,5.47,6.85,16681608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9833333333333325,,,,5.9833333333333325,#000000,,5.9833333333333325,,27.044998296119534,-78.63461490443257,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9297816,-670961.1321030933,False,False,False,False,7109859.134556798,False,False,False,False
2022-02-04 00:00:00+00:00,5.76,6.01,5.55,5.57,8752861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9110652309404745,,,,5.9110652309404745,#000000,,5.9110652309404745,,27.373339286156842,-78.3426811340942,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-544955,-661627.3445399012,False,False,False,False,7231562.976441479,False,False,False,False
2022-02-11 00:00:00+00:00,6.4,6.485,5.7993,5.8,10198709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.001804972215314,,,,6.001804972215314,#000000,,6.001804972215314,,32.64726945857167,-71.2701744438474,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9653754,102474.97727786924,False,False,False,False,7451351.570779147,False,False,False,False
2022-02-18 00:00:00+00:00,6.58,6.965,6.16,6.5,11647909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.141371788778179,,,,6.141371788778179,#000000,,6.141371788778179,,37.48097125601292,-64.4813205060133,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,21301663,1672785.2011832122,False,False,False,False,7762207.676647358,False,False,False,False
2022-02-25 00:00:00+00:00,6.91,6.9718,6.28,6.67,10339704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.245310803646667,,,,6.245310803646667,#000000,,6.245310803646667,,42.651756613141664,-57.284488306832614,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31641367,3892680.1492437148,False,False,False,False,7953133.330229035,False,False,False,False
2022-03-04 00:00:00+00:00,7.84,7.865,6.87,7.1,14202808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.498363842042595,,,,6.498363842042595,#000000,,6.498363842042595,,49.70491835299447,-48.28560040930739,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,45844175,7000198.286336773,False,False,False,False,8416072.194656514,False,False,False,False
2022-03-11 00:00:00+00:00,7.92,8.12,7.41,7.92,19025564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7744418369633195,,,,6.7744418369633195,#000000,,6.7744418369633195,,54.96515125586373,-41.07348804818488,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,64869739,11286830.931793308,False,False,False,False,9201960.47653381,False,False,False,False
2022-03-18 00:00:00+00:00,8.02,8.09,7.25,7.73,15292709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.920281169467534,,,,6.920281169467534,#000000,,6.920281169467534,,59.00405855767544,-35.04169704009009,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,80162448,16388728.492401212,False,False,False,False,9653127.033827601,False,False,False,False
2022-03-25 00:00:00+00:00,8.74,8.81,8.02,8.04,11647531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.078797974016106,,,,7.078797974016106,#000000,,7.078797974016106,,63.588826481594396,-28.49364209317239,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,91809979,21975487.78926038,False,False,False,False,9800860.660951482,False,False,False,False
2022-04-01 00:00:00+00:00,8.51,8.63,7.9,8.63,8730539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.166287557816775,,,,7.166287557816775,#000000,,7.166287557816775,,65.53790550216297,-24.49047313307701,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,83079440,26501706.47153739,False,False,False,False,9721577.574955076,False,False,False,False
2022-04-08 00:00:00+00:00,8.56,8.785,7.995,8.56,8075957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.243112236009756,,,,7.243112236009756,#000000,,7.243112236009756,,67.05012112619622,-20.86285077485725,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,91155397,31290868.73290499,False,False,False,False,9599679.754588034,False,False,False,False
2022-04-15 00:00:00+00:00,8.9,8.95,8.4201,8.73,6891751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.316837893238973,,,,7.316837893238973,#000000,,7.316837893238973,,68.91146816359772,-16.891297686748132,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,98047148,36235778.30824536,False,False,False,False,9399092.439433366,False,False,False,False
2022-04-22 00:00:00+00:00,7.68,9.07,7.615,8.99,9407958,,,,,,,,,,,,,,,8.121666666666666,,,,,,,,,,,,,,,,,,,,,7.36701692361605,,,,7.744341795141358,#000000,,7.744341795141358,,64.67311545495917,-16.891297686748132,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,88639190,40117512.507634595,False,False,False,False,9399749.147623487,False,False,False,False
2022-04-29 00:00:00+00:00,7.13,7.48,7.0021,7.35,8677133,,,,,,,,,,,,,,,7.681390945711397,,,,,,,,,,,,,,,,,,,,,7.35815431788002,,,,7.519772631795709,#000000,,7.519772631795709,,59.893014111216914,-16.891297686748132,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,79962057,43068960.24780981,False,False,False,False,9346222.025577303,False,False,False,False
2022-05-06 00:00:00+00:00,5.8,7.245,5.79,7.01,16565642,,,,,,,,,,,,,,,7.010624468360693,,,,,,,,,,,,,,,,,,,,,7.256598214381056,,,,7.133611341370875,#000000,,7.133611341370875,,53.36718505361925,-16.891297686748132,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,63396415,44574697.63686094,False,False,False,False,9880993.87553454,False,False,False,False
2022-05-13 00:00:00+00:00,5.54,5.84,5.25,5.75,15588807,,,,,,,,,,,,,,,6.555339282295047,,,,,,,,,,,,,,,,,,,,5.543333333333333,7.11729739027504,,,,6.405323335301141,#000000,,6.405323335301141,,48.22508287435942,-16.891297686748132,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,47807608,44814172.47857495,False,False,False,False,10303794.847717166,False,False,False,False
2022-05-20 00:00:00+00:00,5.83,5.97,5.2937,5.38,10443991,,,,,,,,,,,,,,,6.4077689613238435,,,,,,,,,,,,,,,,,,,,5.605343297670116,7.043972530143487,,,,6.35236159637915,#000000,,6.35236159637915,,45.50278192863067,-16.891297686748132,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,58251599,45809537.40608791,False,False,False,False,10314179.747886265,False,False,False,False
2022-05-27 00:00:00+00:00,5.95,6.13,5.57,5.91,9863563,,,,,,,,,,,,,,,6.3344448374963065,,,,,,,,,,,,,,,,,,,,5.681729097058984,6.989981200128221,,,,6.335385044894504,#000000,,6.335385044894504,,43.94912479336935,-16.891297686748132,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,68115162,47461805.89452584,False,False,False,False,10280800.72952432,False,False,False,False
2022-06-03 00:00:00+00:00,6.12,6.38,5.77,5.97,6491611,,,,,,,,,,,,,,,6.313846869293385,,,,,,,,,,,,,,,,,,,,5.744254756095274,6.963246082258591,,,,6.340449235882417,#000000,,6.340449235882417,,43.40037485708719,-16.891297686748132,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,74606773,49472544.198635034,False,False,False,False,10000120.008818815,False,False,False,False
2022-06-10 00:00:00+00:00,6.11,6.27,5.57,6.22,8390775,,,,,,,,,,,,,,,6.281384249660265,,,,,,,,,,,,,,,,,,,,5.783760546754596,6.927011588212843,,,,6.330718794875902,#000000,,6.330718794875902,,42.98366782964014,-16.891297686748132,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,66215998,50712800.03577318,False,False,False,False,9880909.267424827,False,False,False,False
2022-06-17 00:00:00+00:00,5.39,5.95,5.25,5.89,13775711,,,,,,,,,,,,,,,6.177046440630981,,,,,,,,,,,,,,,,,,,,5.729608872902833,6.847055625156711,,,,6.251236979563508,#000000,,6.251236979563508,,41.04247055554305,-16.891297686748132,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,52440287,50840762.033123314,False,False,False,False,10169413.099467434,False,False,False,False
2022-06-24 00:00:00+00:00,5.17,5.63,4.94,5.36,6791627,,,,,,,,,,,,,,,6.117433402123448,,,,,,,,,,,,,,,,,,,,5.68363629672976,6.803136728149474,,,,6.201402142334228,#000000,,6.201402142334228,,39.21158172269089,-16.891297686748132,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,45648660,50456161.88252159,False,False,False,False,9919206.721729105,False,False,False,False
2022-07-01 00:00:00+00:00,4.68,5.1725,4.31,5.15,12070352,,,,,,,,,,,,,,,5.974654893639499,,,,,,,,,,,,,,,,,,,,5.544318782187176,6.70630117354014,,,,6.075091616455605,#000000,,6.075091616455605,,36.98343899489566,-16.891297686748132,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,0.8923474093584491,1.0536384987686254,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,33578308,49205950.48381629,False,False,False,False,10078550.816415837,False,False,False,False
2022-07-08 00:00:00+00:00,4.34,4.61,4.15,4.61,9630956,,,,,,,,,,,,,,,5.853380883224552,,,,,,,,,,,,,,,,,,,,5.422424816733626,6.622593492820116,,,,5.966133064259431,#000000,,5.966133064259431,,34.81144817096213,-16.891297686748132,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,0.8802265269397692,1.0924151005129095,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,23947352,47334943.18871879,False,False,False,False,10045395.644829478,False,False,False,False
2022-07-15 00:00:00+00:00,3.9,4.42,3.75,4.3,12354249,,,,,,,,,,,,,,,5.691949396516839,,,,,,,,,,,,,,,,,,,4.023333333333333,5.2584356773641785,6.508535439347685,,,,5.37056346164051,#000000,,5.37056346164051,,32.56918871118865,0.19102069843658853,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,0.8574064972486435,1.1012219684485431,False,False,False,False,-0.34282825441539394,-0.34282825441539394,False,False,False,False,11593103,44687399.47103592,False,False,False,False,10216421.819286555,False,False,False,False
2022-07-22 00:00:00+00:00,4.08,4.32,3.97,4.02,9740247,,,,,,,,,,,,,,,5.589950328074235,,,,,,,,,,,,,,,,,,,4.06741782840396,5.162413479907096,6.428775634476658,,,,5.312139317715487,#000000,,5.312139317715487,,31.69407502376139,-1.6949478811615322,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,0.8459874211368075,1.1251361401925095,False,False,False,False,-0.3331980108413167,-0.3380131326283553,False,False,False,False,21333350,42957469.880588815,False,False,False,False,10181149.610450514,False,False,False,False
