date,Close,High,Low,Open,Volume,aVWAP_peak_181,aVWAP_peak_176,aVWAP_peak_169,aVWAP_peak_158,aVWAP_peak_145,aVWAP_peak_139,aVWAP_peak_132,aVWAP_peak_119,aVWAP_peak_105,aVWAP_peak_100,aVWAP_peak_96,aVWAP_peak_67,aVWAP_peak_56,aVWAP_peak_45,aVWAP_peak_34,aVWAP_peak_22,aVWAP_peak_16,aVWAP_valley_171,aVWAP_valley_166,aVWAP_valley_155,aVWAP_valley_141,aVWAP_valley_136,aVWAP_valley_129,aVWAP_valley_122,aVWAP_valley_111,aVWAP_valley_102,aVWAP_valley_97,aVWAP_valley_92,aVWAP_valley_77,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_53,aVWAP_valley_39,aVWAP_valley_28,aVWAP_valley_19,aVWAP_OB_bull_77,aVWAP_OB_bull_63,aVWAP_OB_bear_145,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,17.2442880997,17.4483625151,16.452479368,16.5422721108,16361588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,16361588.0,False,False,False,False
2022-01-07 00:00:00+00:00,19.3013582067,19.3217656483,17.2728585178,17.2728585178,37496414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,37496414,2777512.148148148,False,False,False,False,17927130.666666668,False,False,False,False
2022-01-14 00:00:00+00:00,21.1992502698,21.2931245008,18.78709068,19.1829950458,38117219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,75613633,8172780.359396433,False,False,False,False,19422692.765432097,False,False,False,False
2022-01-21 00:00:00+00:00,20.7298791144,22.0930962091,20.5380491639,21.6767844018,44576400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,96.67451288829753,46.85637546471875,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,31037233,9866443.51795966,False,False,False,False,21285930.338363055,False,False,False,False
2022-01-28 00:00:00+00:00,20.7747754858,21.2767985476,19.4972696455,19.8972554996,47191817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,94.33836502435283,44.78438261939945,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,78229050,14930340.294407092,False,False,False,False,23204884.90589172,False,False,False,False
2022-02-04 00:00:00+00:00,21.8645328639,22.1992149051,20.5013157692,20.6768197664,31686564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,93.44075127406464,44.13113178229261,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,109915614,21966286.49482138,False,False,False,False,23833157.43138122,False,False,False,False
2022-02-11 00:00:00+00:00,21.6482139836,22.0461590936,20.4584601419,21.7869845861,37478990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,91.56115842707014,42.53063232908154,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,72436624,25704830.0137235,False,False,False,False,24843959.8438715,False,False,False,False
2022-02-18 00:00:00+00:00,21.1706798516,22.3379855076,20.8931386467,21.5788286824,29059767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,87.71056852591823,39.08915441304538,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,43376857,27013869.04974398,False,False,False,False,25156241.855436575,False,False,False,False
2022-02-25 00:00:00+00:00,22.3502299725,22.4053300647,20.8523237636,21.7012733316,35502267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.28145613769539,38.02988256767135,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,78879124,30855739.786799982,False,False,False,False,25922614.088367198,False,False,False,False
2022-03-04 00:00:00+00:00,24.0726180383,24.7556551066,22.2318668116,22.3502299725,50841515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,86.48684520547462,38.02988256767135,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,129720639,38179065.65444443,False,False,False,False,27768458.600339998,False,False,False,False
