date,Close,High,Low,Open,Volume,aVWAP_peak_896,aVWAP_peak_880,aVWAP_peak_864,aVWAP_peak_842,aVWAP_peak_809,aVWAP_peak_785,aVWAP_peak_759,aVWAP_peak_715,aVWAP_peak_693,aVWAP_peak_667,aVWAP_peak_627,aVWAP_peak_581,aVWAP_peak_522,aVWAP_peak_521,aVWAP_peak_494,aVWAP_peak_462,aVWAP_peak_451,aVWAP_peak_433,aVWAP_peak_402,aVWAP_peak_382,aVWAP_peak_356,aVWAP_peak_323,aVWAP_peak_292,aVWAP_peak_261,aVWAP_peak_213,aVWAP_peak_192,aVWAP_peak_164,aVWAP_peak_108,aVWAP_peak_72,aVWAP_peak_60,aVWAP_peak_44,aVWAP_peak_19,aVWAP_valley_908,aVWAP_valley_885,aVWAP_valley_838,aVWAP_valley_819,aVWAP_valley_793,aVWAP_valley_774,aVWAP_valley_773,aVWAP_valley_746,aVWAP_valley_720,aVWAP_valley_688,aVWAP_valley_649,aVWAP_valley_608,aVWAP_valley_525,aVWAP_valley_514,aVWAP_valley_512,aVWAP_valley_488,aVWAP_valley_441,aVWAP_valley_412,aVWAP_valley_369,aVWAP_valley_353,aVWAP_valley_307,aVWAP_valley_285,aVWAP_valley_253,aVWAP_valley_183,aVWAP_valley_171,aVWAP_valley_132,aVWAP_valley_87,aVWAP_valley_49,aVWAP_OB_bull_838,aVWAP_OB_bear_667,aVWAP_OB_bear_627,aVWAP_OB_bear_213,aVWAP_OB_bear_108,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2022-01-03 00:00:00+00:00,4.2855,4.32,4.0,4.15,143985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,143985.0,False,False,False,False
2022-01-04 00:00:00+00:00,4.69,4.71,4.21154,4.2167,382246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,382246,14990.039215686274,False,False,False,False,153328.56862745096,False,False,False,False
2022-01-05 00:00:00+00:00,4.8901,5.1095,4.44,4.44,500024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,882270,49001.018069973084,False,False,False,False,166924.46789696268,False,False,False,False
2022-01-06 00:00:00+00:00,5.141,5.25,4.82,4.82,327503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1209773,94521.48794958199,False,False,False,False,173221.6652343367,False,False,False,False
2022-01-07 00:00:00+00:00,5.4,5.5,4.91,4.95,648513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1858286,163688.72371626506,False,False,False,False,191860.54110749997,False,False,False,False
2022-01-10 00:00:00+00:00,5.57,5.64,5.3,5.3,370171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2228457,244660.0286685684,False,False,False,False,198853.10812289212,False,False,False,False
2022-01-11 00:00:00+00:00,5.97,6.03,5.56,5.74,510182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2738639,342463.12558352656,False,False,False,False,211062.08427493557,False,False,False,False
2022-01-12 00:00:00+00:00,5.82,6.15,5.78,6.15,506189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,96.35745570040406,46.66100105870372,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2232450,416580.25791358436,False,False,False,False,222635.6888131734,False,False,False,False
2022-01-13 00:00:00+00:00,5.71,6.0795,5.68049,5.83,383859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,91.52388089037096,42.43258772170648,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1848591,472737.5419169732,False,False,False,False,228958.17160481363,False,False,False,False
2022-01-14 00:00:00+00:00,6.12,6.12,5.71,5.71,414889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,89.80935866422672,41.25595151425652,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,2263480,542962.7363516017,False,False,False,False,236249.576639919,False,False,False,False
