date,Close,High,Low,Open,Volume,aVWAP_peak_184,aVWAP_peak_176,aVWAP_peak_162,aVWAP_peak_153,aVWAP_peak_134,aVWAP_peak_118,aVWAP_peak_110,aVWAP_peak_81,aVWAP_peak_76,aVWAP_peak_71,aVWAP_peak_59,aVWAP_peak_48,aVWAP_peak_33,aVWAP_peak_23,aVWAP_peak_6,aVWAP_valley_171,aVWAP_valley_158,aVWAP_valley_136,aVWAP_valley_126,aVWAP_valley_121,aVWAP_valley_115,aVWAP_valley_95,aVWAP_valley_85,aVWAP_valley_74,aVWAP_valley_63,aVWAP_valley_52,aVWAP_valley_39,aVWAP_valley_25,aVWAP_valley_10,aVWAP_valley_4,aVWAP_OB_bull_171,aVWAP_OB_bull_126,aVWAP_OB_bull_39,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,63.0479700092,63.5191230564,61.211434662,61.8364336021,3115436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,3115436.0,False,False,False,False
2022-01-07 00:00:00+00:00,61.0768195056,64.4133523092,59.4325915246,63.4229693733,3934204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,,False,False,False,True,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3934204,-291422.5185185185,False,False,False,False,3176085.481481482,False,False,False,False
2022-01-14 00:00:00+00:00,58.3556702739,62.0287409683,57.336441233,60.4902820387,4029517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-7963721,-859740.9245541837,False,False,False,False,3239302.631001372,False,False,False,False
2022-01-21 00:00:00+00:00,54.2691387421,58.5575930084,53.8660625025,57.7691328069,3693530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,0.0,-50.0,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-11657251,-1659556.485698318,False,False,False,False,3272949.102779048,False,False,False,False
2022-01-28 00:00:00+00:00,56.6152886097,59.538360576,52.499910973,53.0383715984,6011369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.21785338623333,,,,56.21785338623333,#000000,,56.21785338623333,,6.6151140292570325,-43.74665001921796,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5645882,-1954839.8571280725,False,False,False,False,3475795.021091711,False,False,False,False
2022-02-04 00:00:00+00:00,60.9806658225,61.4806649746,55.5095212541,56.2883660872,7223799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.91298975462572,,,,57.91298975462572,#000000,,57.91298975462572,,18.274060491944596,-32.99662522756487,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1577917,-1693154.1640074747,False,False,False,False,3753424.9454552876,False,False,False,False
2022-02-11 00:00:00+00:00,66.8941173332,69.9229583509,61.2498961352,61.2498961352,8700302,,,,,,,,,,,,,,,66.02232393976666,,,,,,,,,,,,,,,61.12940847871278,,,,63.57586620923972,#000000,,63.57586620923972,,31.32334726732129,-21.33701001273502,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,10278219,-806385.7814884025,False,False,False,False,4119860.28282897,False,False,False,False
2022-02-18 00:00:00+00:00,65.7787346092,68.7354603646,65.0960434592,67.2498859607,6146838,,,,,,,,,,,,,,,66.23529896088684,,,,,,,,,,,,,,,62.3130016734697,,,,64.27415031717827,#000000,,64.27415031717827,,39.55310857057499,-14.579712986795805,False,False,False,True,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4131381,-440625.27915592823,False,False,False,False,4270006.780397194,False,False,False,False
2022-02-25 00:00:00+00:00,67.7691158494,67.8268080593,61.057588769,64.7306594634,4866098,,,,,,,,,,,,,,,66.06642593125078,,,,,,,,,,,,,,,62.791241766805605,,,,64.4288338490282,#000000,,64.4288338490282,,46.59902179086842,-8.981903271222151,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,8997479,258493.55633710342,False,False,False,False,4314161.6855529575,False,False,False,False
2022-03-04 00:00:00+00:00,64.4710445191,69.2306518326,63.0287392726,66.7691175452,7101461,,,,,,,,,,,,,,,65.93675917171811,,,,,,,,,,,,,,,63.28516644037447,,,,64.61096280604629,#000000,,64.61096280604629,,48.80754970574047,-7.9156565184005885,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,1896018,379791.66327509575,False,False,False,False,4520628.301437924,False,False,False,False
2022-03-11 00:00:00+00:00,61.7498952873,64.7114287268,57.0287494471,64.7114287268,7593794,,,,,,,,,,,,,,,64.88329174606737,,,,,,,,,,,,,,61.1633578204,62.94697711509339,,,,62.997875560520264,#000000,,62.997875560520264,,48.52575076636035,-7.9156565184005885,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-5697776,-70398.53400454094,False,False,False,False,4748270.205035115,False,False,False,False
2022-03-18 00:00:00+00:00,66.389356577,66.5435711102,59.6617475626,61.9074967035,5326102,,,,,,,,,,,,,,,64.79146408498573,,,,,,,,,,,,,,62.41445245757731,63.07278991712129,,,,63.426235486561445,#000000,,63.426235486561445,,51.000913829467095,-7.126212422080492,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-371674,-92715.23518938976,False,False,False,False,4791072.560217698,False,False,False,False
2022-03-25 00:00:00+00:00,66.5146558853,67.2182596933,64.8568496525,66.0327354688,4421131,,,,,,,,,,,,,,,64.93215339703092,,,,,,,,,,,,,,63.378715906742784,63.313433012108455,,,,63.87476743862738,#000000,,63.87476743862738,,52.83210190376268,-5.742103149368418,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4049457,214112.33778760204,False,False,False,False,4763669.481683053,False,False,False,False
2022-04-01 00:00:00+00:00,63.1224341207,67.9122250931,61.9729972944,66.6014015602,7154249,,,,,,,,,,,,,,,64.8490146119017,,,,,,,,,,,,,,63.6582730599239,63.42676268136956,,,,63.978016784398385,#000000,,63.978016784398385,,52.001723383495616,-5.742103149368418,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-3104792,-31732.427974442544,False,False,False,False,4940749.446002827,False,False,False,False
2022-04-08 00:00:00+00:00,59.8576471685,64.8514189268,57.8968431706,63.0451610568,6193943,,,,,,,,,,,,,,,64.42027451062893,,,,,,,,,,,,,,63.09524633949094,63.2027721107599,,,,63.57276432029326,#000000,,63.57276432029326,,49.718249626579066,-5.742103149368418,False,False,False,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-9298735,-718177.0629392987,False,False,False,False,5033578.5981507655,False,False,False,False
