date,Close,High,Low,Open,Volume,aVWAP_peak_186,aVWAP_peak_178,aVWAP_peak_161,aVWAP_peak_154,aVWAP_peak_126,aVWAP_peak_117,aVWAP_peak_104,aVWAP_peak_90,aVWAP_peak_82,aVWAP_peak_76,aVWAP_peak_67,aVWAP_peak_59,aVWAP_peak_45,aVWAP_peak_33,aVWAP_peak_23,aVWAP_peak_12,aVWAP_valley_171,aVWAP_valley_167,aVWAP_valley_162,aVWAP_valley_136,aVWAP_valley_128,aVWAP_valley_122,aVWAP_valley_111,aVWAP_valley_95,aVWAP_valley_88,aVWAP_valley_70,aVWAP_valley_63,aVWAP_valley_51,aVWAP_valley_41,aVWAP_valley_28,aVWAP_valley_19,aVWAP_valley_8,aVWAP_OB_bull_171,aVWAP_OB_bull_122,aVWAP_OB_bull_111,aVWAP_OB_bull_95,aVWAP_OB_bear_82,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI,OB,OB_High,OB_Low,OB_Mitigated_Index,TTM_squeeze_Active,VI_plus,VI_minus,VI_Regular_Bullish,VI_Regular_Bearish,VI_Hidden_Bullish,VI_Hidden_Bearish,Fisher,Fisher_Signal,Fisher_Regular_Bullish,Fisher_Regular_Bearish,Fisher_Hidden_Bullish,Fisher_Hidden_Bearish,OBV,OBV_Smoothed,OBV_Regular_Bullish,OBV_Regular_Bearish,OBV_Hidden_Bullish,OBV_Hidden_Bearish,Volume_MA,Vol_Regular_Bullish,Vol_Regular_Bearish,Vol_Hidden_Bullish,Vol_Hidden_Bearish
2021-12-31 00:00:00+00:00,47.487849277,47.6956289882,46.7149541808,46.8519836383,6869260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,,,False,False,False,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,0,0.0,False,False,False,False,6869260.0,False,False,False,False
2022-01-07 00:00:00+00:00,50.5393591525,50.5597297124,47.500071613,47.500071613,4809740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4809740,356277.037037037,False,False,False,False,6716702.962962964,False,False,False,False
2022-01-14 00:00:00+00:00,53.6112395879,53.6764253796,49.9771316988,50.6208413922,4538460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,100.0,50.0,False,False,True,False,True,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,9348200,1022345.4046639232,False,False,False,False,6555351.632373114,False,False,False,False
2022-01-21 00:00:00+00:00,51.7901115314,53.9738355544,51.5578871483,53.6764253796,4296128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,92.91733581979167,43.30466901714682,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,5052072,1320843.670985114,False,False,False,False,6388001.733678809,False,False,False,False
2022-01-28 00:00:00+00:00,50.7104718558,52.60900804,50.0341692666,51.0017708626,5495640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,84.93499753977548,36.04936475983537,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-443568,1190146.5101714018,False,False,False,False,6321900.864517416,False,False,False,False
2022-02-04 00:00:00+00:00,52.3115978652,52.7678984073,50.404913457,50.4986180327,4858492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,81.01176824531392,32.879910503234555,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,4414924,1429018.916825372,False,False,False,False,6213500.207886497,False,False,False,False
2022-02-11 00:00:00+00:00,52.1445592739,53.6886477156,51.8349267632,52.4704882326,3665256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,77.81315962759966,30.404145084883666,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,749668,1378696.6266901593,False,False,False,False,6024741.377672682,False,False,False,False
2022-02-18 00:00:00+00:00,51.2849216454,52.6375268239,51.2238099657,52.1853003937,3705752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#000000,,,,73.5936432634598,26.928326198650225,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2956084,1057601.7654538513,False,False,False,False,5852964.386733965,False,False,False,False
2022-02-25 00:00:00+00:00,52.4664141206,52.5397481363,48.4921178809,51.0323267025,6039850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.16609337926667,,,,,,51.16609337926667,#000000,,51.16609337926667,,71.89931986486069,25.843950071571754,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,3083766,1207688.0050498622,False,False,False,False,5866807.765494413,False,False,False,False
2022-03-04 00:00:00+00:00,51.1015866062,52.0549288103,50.1278738422,51.5782577082,6019884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.130503918757285,,,,,,51.130503918757285,#000000,,51.130503918757285,,68.09924501136773,22.65704784440733,False,False,True,False,False,,0.0,0.0,0.0,0.0,0,,,False,False,False,False,,,False,False,False,False,-2936118,900739.4120832058,False,False,False,False,5878146.74582816,False,False,False,False
