date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_232,aVWAP_BoS_CHoCH_bull_339,aVWAP_BoS_CHoCH_bear_49,aVWAP_BoS_CHoCH_bear_90,aVWAP_BoS_CHoCH_bear_223,aVWAP_BoS_CHoCH_bear_248,aVWAP_BoS_CHoCH_bear_355,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,2.88,3.03,2.88,3.01,174925,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,2.79,2.99,2.76,2.95,432438,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,2.61,2.82,2.57,2.78,801236,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-06 00:00:00+00:00,2.65,2.679,2.48,2.59,811318,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,4.795877923107412,-45.60377857048487,False,False,False,True,True,
2022-01-07 00:00:00+00:00,2.59,2.71,2.54,2.65,285571,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,7.073034712715918,-43.782822509071934,False,False,False,True,True,
2022-01-10 00:00:00+00:00,2.55,2.6,2.42,2.53,933649,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,8.113106659071743,-43.122455474443015,False,False,False,True,True,
2022-01-11 00:00:00+00:00,2.69,2.74,2.51,2.55,890883,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,18.444731821321227,-33.881161871815934,False,False,False,True,True,
2022-01-12 00:00:00+00:00,2.6,2.77,2.57,2.73,494486,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,22.91491939322198,-30.476056466946435,False,False,False,True,True,
2022-01-13 00:00:00+00:00,2.54,2.73,2.54,2.6,546854,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,24.6238338645079,-29.554998154812477,False,False,False,True,True,
2022-01-14 00:00:00+00:00,2.52,2.56,2.42,2.48,524672,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,25.370054857154177,-29.302005910427802,False,False,False,True,True,
2022-01-18 00:00:00+00:00,2.49,2.66,2.45,2.65,436056,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,25.28657471692921,-29.302005910427802,False,False,False,True,True,
2022-01-19 00:00:00+00:00,2.39,2.5,2.37,2.47,375162,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,23.62176013330493,-29.302005910427802,False,False,False,True,True,
2022-01-20 00:00:00+00:00,2.32,2.51,2.28,2.45,636916,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,21.63997464920272,-29.302005910427802,False,False,False,True,False,
2022-01-21 00:00:00+00:00,2.2,2.3199,2.1699,2.3,792185,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,19.166615972371147,-25.498825926509404,False,False,False,True,False,
