date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_83,aVWAP_BoS_CHoCH_bull_132,aVWAP_BoS_CHoCH_bull_146,aVWAP_BoS_CHoCH_bull_160,aVWAP_BoS_CHoCH_bear_24,aVWAP_BoS_CHoCH_bear_41,aVWAP_BoS_CHoCH_bear_64,aVWAP_BoS_CHoCH_bear_155,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,6.6730817154,6.9490362224,6.6417232487,6.8988626757,2614491,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,6.6918967954,6.9114060624,6.5288954855,6.7169835688,1913323,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,6.8549608223,6.9302211424,6.4347573684,6.5852780086,1561018,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-21 00:00:00+00:00,6.1395657895,6.8925909823,6.1269068909,6.8925909823,1193263,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,76.8774170671374,28.14193332127833,False,False,True,False,False,
2022-01-28 00:00:00+00:00,6.1079185431,6.2534958763,5.6205509495,6.0003179056,2192077,,,,,,,,,,"rgba(38, 166, 154, 0.5)",,5.9939884563,,0,,,0.0,0.0,0.0,0.0,60.15999976027399,13.287136963989695,False,False,True,False,False,
2022-02-04 00:00:00+00:00,6.2281780792,6.3610965138,6.0730432777,6.0889301953,1225919,,,,,,,,,,#000000,,6.075328229533025,,0,,,0.0,0.0,0.0,0.0,51.26834083388944,6.258948280851939,False,False,False,False,False,
2022-02-11 00:00:00+00:00,6.0826007461,6.3927437602,6.0509534997,6.2598253256,1800691,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,6.109868941135004,,0,,,0.0,0.0,0.0,0.0,43.714239217220545,0.46670275997166044,False,False,False,True,False,
2022-02-18 00:00:00+00:00,6.0717357381,6.3357787168,5.9306939637,6.0509534997,1211031,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,6.110408975105939,,0,,,0.0,0.0,0.0,0.0,38.2371499417232,-3.4674443652892464,False,False,False,True,False,
2022-02-25 00:00:00+00:00,6.0014314295,6.0174096815,5.5029099689,5.9503010233,1374178,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,5.951739740951245,,0,,,0.0,0.0,0.0,0.0,33.80875588135915,-6.601961255655304,False,False,False,True,False,
2022-03-04 00:00:00+00:00,5.8544315117,6.0525618358,5.8033011055,5.9375184218,929492,,,,,,,,,,"rgba(239, 83, 80, 0.5)",,5.955932882649307,,0,,,0.0,0.0,0.0,0.0,29.72598943844232,-9.620659245179553,False,False,False,True,False,
