date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_32,aVWAP_BoS_CHoCH_bull_57,aVWAP_BoS_CHoCH_bull_82,aVWAP_BoS_CHoCH_bull_115,aVWAP_BoS_CHoCH_bull_143,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,24.7086831382,24.9637620009,24.601012487,24.9637620009,126773,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,24.5597909513,24.7329214011,24.4031491158,24.6504783298,85364,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-14 00:00:00+00:00,24.6587226369,24.8400973939,24.4608592657,24.5268137228,121140,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,11.881658676195274,-79.70414669048819,False,False,False,True,True,
2022-01-21 00:00:00+00:00,24.7568298918,24.8400973939,24.4443706514,24.6257454084,155674,,,,,,,"rgba(239, 83, 80, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,25.48307405380924,-66.19678050748306,False,False,False,True,True,
2022-01-28 00:00:00+00:00,24.4986683854,24.6834555583,24.3941221476,24.6834555583,134382,,,,,,,"rgba(239, 83, 80, 0.5)",,24.525415363766665,,0,,,0.0,0.0,0.0,0.0,27.32037316094408,-63.88071738237185,False,False,False,True,True,
2022-02-04 00:00:00+00:00,24.7997251287,24.9156116947,24.4437878188,24.5182863255,294152,,,,,,,"rgba(239, 83, 80, 0.5)",,24.658780815519496,,0,,,0.0,0.0,0.0,0.0,35.76710364642098,-54.885596729317,False,False,False,True,True,
2022-02-11 00:00:00+00:00,24.7169490101,25.1142743793,24.7169490101,24.7748922931,62616,,,,,,,"rgba(239, 83, 80, 0.5)",,24.7662361026757,,0,,,0.0,0.0,0.0,0.0,40.215772544772705,-49.62515474592111,False,False,False,True,True,
2022-02-18 00:00:00+00:00,25.0294288578,25.1059967675,24.7169490101,24.7748922931,100340,,,,,,,#000000,,24.820161900046593,,0,,,0.0,0.0,0.0,0.0,47.32577771731749,-41.65994972409583,False,False,False,False,True,
2022-02-25 00:00:00+00:00,24.5292972091,24.9780038653,23.7655818613,24.8699818925,93881,,,,,,,#000000,,24.710223866579327,,0,,,0.0,0.0,0.0,0.0,46.329409866241505,-41.44689206615008,False,False,False,False,True,
2022-03-04 00:00:00+00:00,23.1084758914,24.5834743831,23.0336083549,23.9060935198,279436,,,,,,,"rgba(239, 83, 80, 0.5)",,24.247429179711204,,0,,,0.0,0.0,0.0,0.0,39.373518118280394,-41.44689206615008,False,False,False,True,True,
