date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_214,aVWAP_BoS_CHoCH_bull_534,aVWAP_BoS_CHoCH_bear_137,aVWAP_BoS_CHoCH_bear_228,aVWAP_BoS_CHoCH_bear_308,aVWAP_BoS_CHoCH_bear_427,aVWAP_BoS_CHoCH_bear_511,aVWAP_BoS_CHoCH_bear_611,aVWAP_BoS_CHoCH_bear_682,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,8.75,8.8825,8.41875,8.75,9242,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,8.55,8.95,8.4375,8.75,11302,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,,False,False,False,True,False,
2022-01-05 00:00:00+00:00,8.41,8.9,8.395,8.725,16872,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-06 00:00:00+00:00,8.395,8.5,8.3925,8.3925,12695,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,0.0,-50.0,False,False,False,True,True,
2022-01-07 00:00:00+00:00,8.445,8.7225,8.3925,8.5,17706,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,5.05660664083282,-45.36477724590325,False,False,False,True,True,
2022-01-10 00:00:00+00:00,8.3925,8.745,8.375,8.5,10446,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,7.673791910183588,-43.246613340155754,False,False,False,True,True,
2022-01-11 00:00:00+00:00,8.6,8.75,8.395,8.5,8260,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,20.835491595568904,-31.502697762989843,False,False,False,True,True,
2022-01-12 00:00:00+00:00,9.2,9.25,8.605,8.625,28978,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,39.398434644489654,-15.406289227782665,False,False,False,True,True,
2022-01-13 00:00:00+00:00,9.75,10.0,9.211225,9.225,44790,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,54.58394890948139,-3.065641122944875,False,False,True,False,True,
2022-01-14 00:00:00+00:00,9.5,9.9125,9.4,9.9125,13856,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,60.39680175744347,0.4996944329252955,False,False,True,False,True,
2022-01-18 00:00:00+00:00,9.755,9.8975,9.09,9.5,24959,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,65.63251232135765,4.013239533797197,False,False,True,False,True,
2022-01-19 00:00:00+00:00,11.0,11.125,9.5575,9.875,61720,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,72.62214116907032,9.547208650075568,False,False,True,False,True,
2022-01-20 00:00:00+00:00,11.205,11.81,11.0,11.25,80058,,,,,,,,,,11.338333333333333,#000000,,11.338333333333333,,0,,,0.0,0.0,0.0,0.0,77.6110663253537,13.472707799811374,False,False,True,False,True,
2022-01-21 00:00:00+00:00,10.25,11.735,10.175,11.25,46446,,,,,,,,,,11.111311974324922,#000000,,11.111311974324922,,0,,,0.0,0.0,0.0,0.0,72.93303268707575,13.472707799811374,False,False,True,False,True,
2022-01-24 00:00:00+00:00,10.0,10.5,9.0025,10.25,36784,,,,,,,,,,10.823608572991686,#000000,,10.823608572991686,,0,,,0.0,0.0,0.0,0.0,68.26378530272474,13.472707799811374,False,False,True,False,False,
2022-01-25 00:00:00+00:00,10.1975,10.995,9.7125,10.08,19131,,,,,,,,,,10.768870466709425,#000000,,10.768870466709425,,0,,,0.0,0.0,0.0,0.0,65.96944091116643,13.472707799811374,False,False,True,False,False,
2022-01-26 00:00:00+00:00,9.5,10.825,9.5,10.5,22876,,,,,,,,,,10.676695235311788,#000000,,10.676695235311788,,0,,,0.0,0.0,0.0,0.0,60.58380088738448,26.137541495803816,False,False,True,False,False,
2022-01-27 00:00:00+00:00,8.7775,9.4525,8.625,9.45,34353,,,,,,,,,,10.429416282770285,#000000,,10.429416282770285,,0,,,0.0,0.0,0.0,0.0,54.05806688668941,19.78640222652767,False,False,False,False,False,
2022-01-28 00:00:00+00:00,9.0,9.0,8.5,8.6875,14392,,,,,,,,,,9.586163766860862,#000000,,9.586163766860862,,0,,,0.0,0.0,0.0,0.0,50.81865522338318,16.50128967254237,False,False,False,False,False,
2022-01-31 00:00:00+00:00,9.31,10.355,9.0,9.31,23822,,,,,,,,,,9.777494361613783,#000000,,9.777494361613783,,0,,,0.0,0.0,0.0,0.0,50.13762005097864,15.409641966834428,False,False,False,False,False,
2022-02-01 00:00:00+00:00,9.169975,9.75,9.0275,9.505,19973,,,,,,,,,,9.75103873101104,#000000,,9.75103873101104,,0,,,0.0,0.0,0.0,0.0,49.06433791315608,13.716429583595954,False,False,False,False,False,
2022-02-02 00:00:00+00:00,9.475,9.5375,9.08,9.125,12078,,,,,,,,,,9.740597853148108,#000000,,9.740597853148108,,0,,,0.0,0.0,0.0,0.0,49.828642262941784,13.706916301257195,False,False,False,False,False,
2022-02-03 00:00:00+00:00,8.8075,9.725,8.75,9.375,13355,,,,,,,,,,9.701328400619065,#000000,,9.701328400619065,,0,,,0.0,0.0,0.0,0.0,47.46929893589115,10.621303950310029,False,False,False,True,False,
2022-02-04 00:00:00+00:00,9.2625,9.29,8.8075,8.8075,10284,,,,,,,,,,9.677405303124157,#000000,,9.677405303124157,,0,,,0.0,0.0,0.0,0.0,48.02664252717838,10.355405879431416,False,False,False,False,False,
2022-02-07 00:00:00+00:00,9.565,9.625,9.0,9.25,20824,,,,,,,,,,9.669553792915737,#000000,,9.669553792915737,,0,,,0.0,0.0,0.0,0.0,49.67772695474322,10.355405879431416,False,False,False,False,False,
2022-02-08 00:00:00+00:00,9.85,10.0,9.2975,9.575,16354,,,,,,,,,,9.689114839925125,#000000,,9.689114839925125,,0,,,0.0,0.0,0.0,0.0,51.915478157018455,10.355405879431416,False,False,False,False,False,
2022-02-09 00:00:00+00:00,10.1,10.2375,9.79,10.0125,16839,,,,,,,,,,9.729348956149831,#000000,,9.729348956149831,,0,,,0.0,0.0,0.0,0.0,54.35828516740951,10.355405879431416,False,False,True,False,True,
2022-02-10 00:00:00+00:00,10.2075,10.375,9.81,10.05,13810,,,,,,,,,,9.761383297814266,#000000,,9.761383297814266,,0,,,0.0,0.0,0.0,0.0,56.394588759246886,10.355405879431416,False,False,True,False,True,
2022-02-11 00:00:00+00:00,10.5,10.935,10.0,10.25,24632,,,,,,,,,,9.840059961271391,#000000,,9.840059961271391,,0,,,0.0,0.0,0.0,0.0,58.83836149472376,10.355405879431416,False,False,True,False,True,
2022-02-14 00:00:00+00:00,10.75,11.25,10.5,10.5,27848,,,,,,,,,,9.943012895401665,#000000,,9.943012895401665,,0,,,0.0,0.0,0.0,0.0,61.33721145888468,2.304151785854387,False,False,True,False,True,
2022-02-15 00:00:00+00:00,10.8775,11.14,10.075025,10.395,23497,,,,,,,,,,10.003201796653405,#000000,,10.003201796653405,,0,,,0.0,0.0,0.0,0.0,63.43834285843863,4.721357126575256,False,False,True,False,True,
2022-02-16 00:00:00+00:00,11.25,11.25,10.6375,11.235,20538,,,,,,,,,,10.068899504621427,#000000,,10.068899504621427,,0,,,0.0,0.0,0.0,0.0,66.03455607750084,7.562853529077735,False,False,True,False,True,
2022-02-17 00:00:00+00:00,11.8,11.8,11.28,11.375,32186,,,,,,,,,,10.20537174058342,#000000,,10.20537174058342,,0,,,0.0,0.0,0.0,0.0,69.22843431173669,10.896235858639209,False,False,True,False,True,
2022-02-18 00:00:00+00:00,10.925,12.25,10.9025,12.0,34012,,,,,,,,,,10.302090128527473,#000000,,10.302090128527473,,0,,,0.0,0.0,0.0,0.0,66.0467510941068,10.896235858639209,False,False,True,False,True,
2022-02-22 00:00:00+00:00,11.245,11.875,10.925,11.06,34267,,,,,,,,,,10.382678198677906,#000000,,10.382678198677906,,0,,,0.0,0.0,0.0,0.0,64.97575052694935,10.896235858639209,False,False,True,False,False,
2022-02-23 00:00:00+00:00,11.7,12.0,10.725,11.37,37358,,,,,,,,,,10.466496444821669,#000000,,10.466496444821669,,0,,,0.0,0.0,0.0,0.0,65.61096654248243,10.896235858639209,False,False,True,False,False,
2022-02-24 00:00:00+00:00,12.125,12.3375,10.675,12.025,62273,,,,,,,,,,10.606522929153837,#000000,,10.606522929153837,,0,,,0.0,0.0,0.0,0.0,67.14543328407726,10.896235858639209,False,False,True,False,False,
2022-02-25 00:00:00+00:00,11.875,12.125,11.2825,12.0,23305,,,,,,,,,,10.652802008506391,#000000,,10.652802008506391,,0,,,0.0,0.0,0.0,0.0,66.73750930033896,10.896235858639209,False,False,True,False,False,
2022-02-28 00:00:00+00:00,11.7475,12.185,11.2,12.185,27079,,,,,,,,,,10.699723515507586,#000000,,10.699723515507586,,0,,,0.0,0.0,0.0,0.0,65.73689281667299,10.896235858639209,False,False,True,False,False,
2022-03-01 00:00:00+00:00,12.4825,12.725,11.7475,11.7475,54462,,,,,,,,,,10.832142867891857,#000000,,10.832142867891857,,0,,,0.0,0.0,0.0,0.0,67.1700401795168,10.896235858639209,False,False,True,False,False,
2022-03-02 00:00:00+00:00,12.475,12.475,11.7775,12.29,44011,,,,,,,,,,10.919179460005399,#000000,,10.919179460005399,,0,,,0.0,0.0,0.0,0.0,68.0800326315893,12.010331357610617,False,False,True,False,False,
2022-03-03 00:00:00+00:00,12.425,12.425,11.78,12.205,23647,,,,,,,,,,10.960488490583499,#000000,,10.960488490583499,,0,,,0.0,0.0,0.0,0.0,68.35880274916778,12.664411713539934,False,False,True,False,False,
2022-03-04 00:00:00+00:00,12.3725,12.425,12.0,12.25,17314,,,,,,,,,,10.99034579856346,#000000,,10.99034579856346,,0,,,0.0,0.0,0.0,0.0,68.17723616961341,12.886524224422665,False,False,True,False,False,
2022-03-07 00:00:00+00:00,13.5,13.75,12.4725,12.6325,106201,,,,,,,,,,11.267497690401983,#000000,,11.267497690401983,,0,,,0.0,0.0,0.0,0.0,70.99824520654833,15.899746097338522,False,False,True,False,True,
