date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_33,aVWAP_BoS_CHoCH_bull_82,aVWAP_BoS_CHoCH_bull_117,aVWAP_BoS_CHoCH_bull_152,aVWAP_BoS_CHoCH_bear_28,aVWAP_BoS_CHoCH_bear_41,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2021-12-31 00:00:00+00:00,19.231428014,19.588951319,18.7408727814,19.0318801228,18187068,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-07 00:00:00+00:00,21.9086955542,21.9918405088,19.4725483825,19.4974918689,45913327,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-14 00:00:00+00:00,22.4574522549,22.4657667504,21.56780124,22.1581304182,49097387,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,100.0,50.0,False,False,True,False,True,
2022-01-21 00:00:00+00:00,20.6116342614,22.5904841824,20.5035458203,22.5738551915,41044369,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,88.75574875008242,39.37066874031228,False,False,True,False,False,
2022-01-28 00:00:00+00:00,20.8943271072,21.443083808,19.8882731558,20.2457964609,51486587,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,81.40622903626276,32.88426587851454,False,False,True,False,False,
2022-02-04 00:00:00+00:00,21.7590346358,21.9086955542,20.3871428838,20.6365777478,33537019,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,77.90816011868023,30.215227119031397,False,False,True,False,False,
2022-02-11 00:00:00+00:00,21.8006071131,22.5322827141,21.6343172038,21.754877388,44712415,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,75.48416527815304,28.522472789259893,False,False,True,False,False,
2022-02-18 00:00:00+00:00,21.318366376,22.2994768411,21.2435359168,21.8837520678,33629132,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,71.86353038950526,25.612223832271326,False,False,True,False,False,
2022-02-25 00:00:00+00:00,21.0356735302,21.5012852763,19.3519881982,21.334995367,37671398,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,68.26439990601956,22.6952366909846,False,False,True,False,False,
2022-03-04 00:00:00+00:00,19.4564268179,21.006572796,19.1380184548,20.3111018977,58175859,,,,,,,,"rgba(38, 166, 154, 0.5)",,,,0,,,0.0,0.0,0.0,0.0,61.41743589143226,16.675750192551064,False,False,True,False,False,
