date,Close,High,Low,Open,Volume,aVWAP_BoS_CHoCH_bull_155,aVWAP_BoS_CHoCH_bull_230,aVWAP_BoS_CHoCH_bull_281,aVWAP_BoS_CHoCH_bull_338,aVWAP_BoS_CHoCH_bull_643,aVWAP_BoS_CHoCH_bull_736,aVWAP_BoS_CHoCH_bull_777,aVWAP_BoS_CHoCH_bear_44,aVWAP_BoS_CHoCH_bear_118,aVWAP_BoS_CHoCH_bear_353,aVWAP_BoS_CHoCH_bear_552,aVWAP_BoS_CHoCH_bear_758,Peaks_Valleys_avg,color,StDev,StDev_Mean,StdDev_ZScore,MA_Cross_Count,MA_Avg_Deviation_Z,MA_Oscillation_Score,BoS,CHoCH,BoS_CHoCH_Price,BoS_CHoCH_Break_Index,QQEMOD,QQE1_Value,QQE1_Above_Upper,QQE1_Below_Lower,QQE2_Above_Threshold,QQE2_Below_Threshold,QQE2_Above_TL,banker_RSI
2022-01-03 00:00:00+00:00,62.4325864373,64.4133523092,62.3075866493,63.4229693733,954036,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,,,False,False,False,False,False,
2022-01-04 00:00:00+00:00,62.4902786472,63.4614308465,61.7873952237,62.9710470627,853792,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,100.0,,False,False,True,False,False,
2022-01-05 00:00:00+00:00,59.9806675183,62.6248938035,59.8652830985,62.4133557007,990832,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,67.3490276360853,-80.60388945565882,False,False,True,False,True,
2022-01-06 00:00:00+00:00,60.8460506662,61.4325881331,59.4325915246,60.2691285676,519528,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,54.426714941743235,-80.60388945565882,False,False,True,False,True,
2022-01-07 00:00:00+00:00,61.0768195056,62.2018175979,60.6345125633,60.8364352979,616016,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,47.56427309922267,-80.60388945565882,False,False,False,False,True,
2022-01-10 00:00:00+00:00,60.1345134112,60.778743088,58.5672083767,60.4902820387,890443,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,40.1864487127311,-80.60388945565882,False,False,False,True,True,
2022-01-11 00:00:00+00:00,61.2402807669,61.3845112915,59.9614367816,60.0575904647,724178,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,41.304369532605506,-80.60388945565882,False,False,False,True,True,
2022-01-12 00:00:00+00:00,61.057588769,62.0287409683,60.4518205655,61.7210491824,739357,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,41.436162908076774,-80.60388945565882,False,False,False,True,True,
2022-01-13 00:00:00+00:00,59.9998982549,61.7210491824,59.8268216253,60.9229736126,773761,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,38.575861359593745,-80.60388945565882,False,False,False,True,True,
2022-01-14 00:00:00+00:00,58.3556702739,60.2787439359,57.336441233,60.2306670943,901778,,,,,,,,,,,,,,#000000,,,,0,,,0.0,0.0,0.0,0.0,33.7541041133621,-80.60388945565882,False,False,False,True,True,
